Supplier,Description,Date,Total
Adnet Agency,Advertising,2021/10/18,395.00
Bclan Highway Signs,Advertising,2022/03/01,3600.00
"City of Greater Sudbury, the",Public Utilities,2022/03/23,-106.00
1085967 Ontario Limited,Office Rental and Related Fees,2022/04/01,2741.25
2802798 Ontario inc.,Office Rental and Related Fees,2022/04/01,250.00
ALARM NORTH SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2022/04/01,179.94
Bclan Highway Signs,Advertising,2022/04/01,3600.00
Bclan Highway Signs,Advertising,2022/04/01,2400.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,18.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,32.00
Benefit Show for the Cure,Advertising,2022/04/01,226.00
Club Alidor,Advertising,2022/04/01,225.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.99
Purolator,"Postage, Parcel Post and Courier Services",2022/04/01,10.64
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/04/01,190.79
Sunwire Inc.,Constituency Office Internet,2022/04/01,169.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.86
Canada Strong Masks,"Safety Supplies (fire extinguishers, first aid kits)",2022/04/04,298.00
Metro,Cleaning Products,2022/04/07,13.99
Purolator,"Postage, Parcel Post and Courier Services",2022/04/08,14.38
EASTLINK,Constituency Office Cable,2022/04/10,59.32
EASTLINK,Constituency Office Cable,2022/04/10,149.95
EASTLINK,Monthly Phone Service,2022/04/10,54.29
BTNX INC.,Rapid Antigen Tests (COVID-19),2022/04/11,149.00
BTNX INC.,Rapid Antigen Tests (COVID-19),2022/04/13,298.00
Zoom Voice Communications Inc.,Image/Video Communications Services,2022/04/14,20.00
Purolator,"Postage, Parcel Post and Courier Services",2022/04/15,7.19
House of Commons,Rapid Antigen Tests (COVID-19),2022/04/19,149.00
Kingsportwear,"Office Supplies, Stationery and Accessories",2022/04/19,25.00
Publication Voyageur,Advertising,2022/04/20,195.10
Purolator,"Postage, Parcel Post and Courier Services",2022/04/22,7.19
1085967 Ontario Limited,Constituency Office Rental and Related Fees,2022/04/26,670.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2022/04/26,180.24
The Express,Advertising,2022/04/26,120.00
ALARM NORTH SECURITY,"Security Equipment, Intercom and Alarm System (Central Budget)",2022/04/28,614.00
ALARM NORTH SECURITY,"Security Equipment, Intercom and Alarm System (Central Budget)",2022/04/28,5423.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/04/29,233.91
Purolator,"Postage, Parcel Post and Courier Services",2022/04/29,7.19
BTNX INC.,Pins and Flags,2022/04/30,149.00
Metro,Cleaning Products,2022/04/30,5.98
1085967 Ontario Limited,Office Rental and Related Fees,2022/05/01,2741.25
2802798 Ontario inc.,Office Rental and Related Fees,2022/05/01,250.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,48.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,435.50
Sunwire Inc.,Constituency Office Internet,2022/05/01,169.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.11
Purolator,"Postage, Parcel Post and Courier Services",2022/05/06,14.64
EASTLINK,Constituency Office Cable,2022/05/10,56.80
EASTLINK,Constituency Office Internet,2022/05/10,149.95
EASTLINK,Monthly Phone Service,2022/05/10,45.72
Ville du Grand Sudbury,"Office Supplies, Stationery and Accessories",2022/05/12,96.00
Purolator,"Postage, Parcel Post and Courier Services",2022/05/13,7.45
Zoom Video Communications Inc.,Computer Software and Licences,2022/05/14,20.00
Crystal North Inc,Spring Water,2022/05/17,42.60
The Express,Advertising,2022/05/19,142.50
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2022/05/26,168.00
Purolator,"Postage, Parcel Post and Courier Services",2022/05/27,22.35
Productions Café Heritage,Advertising,2022/05/30,500.00
1085967 Ontario Limited,Office Rental and Related Fees,2022/06/01,2741.25
2802798 Ontario inc.,Office Rental and Related Fees,2022/06/01,250.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,42.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,32.00
Sunwire Inc.,Constituency Office Internet,2022/06/01,169.95
Purolator,"Postage, Parcel Post and Courier Services",2022/06/03,7.45
"TRIBUNE, LA",Advertising,2022/06/08,315.00
"TRIBUNE, LA",Advertising,2022/06/08,570.00
EASTLINK,Constituency Office Cable,2022/06/10,56.80
EASTLINK,Monthly Phone Service,2022/06/10,45.72
EASTLINK,Constituency Office Internet,2022/06/10,149.95
Purolator,"Postage, Parcel Post and Courier Services",2022/06/10,15.56
Publication Voyageur,Advertising,2022/06/15,256.20
Purolator,"Postage, Parcel Post and Courier Services",2022/06/17,7.78
Metro,Cleaning Products,2022/06/19,4.99
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2022/06/24,168.00
1085967 Ontario Limited,Office Rental and Related Fees,2022/07/01,1728.75
1085967 Ontario Limited,Office Rental Related Fees,2022/07/01,1012.50
2802798 Ontario inc.,Office Rental and Related Fees,2022/07/01,250.00
