Supplier,Description,Date,Total
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/03/01,13.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,126.00
E. Gelmici & son LTD.,Office Rental and Related Fees,2022/04/01,1750.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/04/01,18.25
MADD Canada,Advertising,2022/04/02,399.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/04/08,12.08
House of Commons,Other Chemical Products,2022/04/08,49.00
"Bulletin Lac Ste. Anne, The",Advertising,2022/04/11,51.00
Community Voice,Advertising,2022/04/11,75.00
Community Voice,Advertising,2022/04/11,75.00
Weekly Anchor,Advertising,2022/04/11,160.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/04/12,142.74
Dollarama,Gifts given as a matter of protocol,2022/04/13,58.66
Fredrickson Enterprises Inc,Advertising,2022/04/14,60.28
Community Voice,Advertising,2022/04/15,140.00
Community Voice,Advertising,2022/04/15,140.00
Community Voice,Advertising,2022/04/15,140.00
Postmedia Network Inc.,Advertising,2022/04/16,104.00
Gelmici Jewellers Ltd.,Gifts given as a matter of protocol,2022/04/19,86.85
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/04/19,153.60
The McLeod River Post,Advertising,2022/04/25,50.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/04/26,216.05
Costco,"Office Supplies, Stationery and Accessories",2022/04/27,39.99
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/04/27,120.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/04/27,69.00
Fredrickson Enterprises Inc,Advertising,2022/04/28,107.38
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/04/28,1665.00
Pembina Post,Advertising,2022/04/28,49.53
Walmart,"Office Supplies, Stationery and Accessories",2022/04/28,28.12
"Western Star, The",Advertising,2022/04/28,150.00
CE Media,Advertising,2022/04/29,266.00
Gelmici Jewellers Ltd.,Gifts given as a matter of protocol,2022/04/29,106.35
Aberdeen Publishing LP,Advertising,2022/04/30,241.75
Grand & Toy,"Freight, Express and Cartage",2022/04/30,14.91
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/04/30,43.76
Grand & Toy,Bulk Paper Purchases,2022/04/30,56.80
Grand & Toy,Cleaning Products,2022/04/30,22.58
New Pathway Ukrainian News,Advertising,2022/04/30,108.00
Postmedia Network Inc.,Advertising,2022/04/30,60.00
TELUS,Members’ Primary Residence Internet,2022/04/30,80.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,126.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,1.50
E. Gelmici & son LTD.,Office Rental and Related Fees,2022/05/01,1750.00
"Bulletin Lac Ste. Anne, The",Advertising,2022/05/02,196.00
Community Voice,Advertising,2022/05/02,180.00
Community Voice,Advertising,2022/05/02,180.00
Community Voice,Advertising,2022/05/02,75.00
Community Voice,Advertising,2022/05/02,75.00
Community Voice,Advertising,2022/05/02,180.00
Community Voice,Advertising,2022/05/02,75.00
Community Voice,Advertising,2022/05/02,140.00
Edson Frame Shop Inc,"Office Supplies, Stationery and Accessories",2022/05/02,59.66
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/05/02,15.75
Weekly Anchor,Advertising,2022/05/02,160.00
Weekly Anchor,Advertising,2022/05/02,160.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/03,153.60
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/03,98.13
Fredrickson Enterprises Inc,Advertising,2022/05/05,173.70
Fredrickson Enterprises Inc,Advertising,2022/05/05,107.38
Postmedia Network Inc.,Advertising,2022/05/07,460.00
Community Voice,Advertising,2022/05/09,140.00
Community Voice,Advertising,2022/05/09,140.00
Community Voice,Advertising,2022/05/09,140.00
Community Voice,Advertising,2022/05/09,140.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/10,134.60
Weekly Anchor,Advertising,2022/05/10,160.00
Postmedia Network Inc.,Advertising,2022/05/14,170.00
Weekly Anchor,Advertising,2022/05/16,160.00
CE Media,Promotional Items,2022/05/17,4735.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/17,45.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/17,125.00
MOUNTAINEER PUBLISHING CO. LTD.,Advertising,2022/05/24,200.00
Walmart,Photography and Video Services,2022/05/24,19.94
Pembina Post,Advertising,2022/05/25,105.89
"Western Star, The",Advertising,2022/05/25,140.00
Gelmici Jewellers Ltd.,Gifts given as a matter of protocol,2022/05/26,105.10
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/05/27,120.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/05/27,69.00
Canada Post – Postes Canada,Courier Services,2022/05/30,65.80
Aberdeen Publishing LP,Advertising,2022/05/31,396.00
CE Media,Advertising,2022/05/31,342.00
Community Voice,Advertising,2022/05/31,140.00
Community Voice,Advertising,2022/05/31,140.00
Community Voice,Advertising,2022/05/31,140.00
Community Voice,Advertising,2022/05/31,140.00
TELUS,Members’ Primary Residence Internet,2022/05/31,83.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,30.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,126.00
E. Gelmici & son LTD.,Office Rental and Related Fees,2022/06/01,1750.00
Fredrickson Enterprises Inc,Advertising,2022/06/02,133.43
"Bulletin Lac Ste. Anne, The",Advertising,2022/06/06,252.75
Community Voice,Advertising,2022/06/06,140.00
Community Voice,Advertising,2022/06/06,140.00
Fredrickson Enterprises Inc,Advertising,2022/06/09,101.06
Fredrickson Enterprises Inc,Advertising,2022/06/09,133.43
Alberta Native News,Advertising,2022/06/10,167.50
Postmedia Network Inc.,Advertising,2022/06/11,460.00
"Bulletin Lac Ste. Anne, The",Advertising,2022/06/13,101.00
Community Voice,Advertising,2022/06/13,140.00
Community Voice,Advertising,2022/06/13,140.00
Community Voice,Advertising,2022/06/13,140.00
Community Voice,Advertising,2022/06/13,140.00
Fredrickson Enterprises Inc,Advertising,2022/06/16,133.43
"HINTON VOICE INC., THE",Advertising,2022/06/16,180.00
"HINTON VOICE INC., THE",Advertising,2022/06/16,140.00
"HINTON VOICE INC., THE",Advertising,2022/06/16,180.00
"HINTON VOICE INC., THE",Advertising,2022/06/16,140.00
Postmedia Network Inc.,Advertising,2022/06/18,230.00
Community Voice,Advertising,2022/06/20,140.00
Community Voice,Advertising,2022/06/20,140.00
E. Gelmici & son LTD.,Office Rental and Related Fees,2022/07/01,1750.00
