Supplier,Description,Date,Total
HockeyQc Joliette Inc.,Advertising,2022/02/10,500.00
Club de soccer Lanaudière-Nord,Advertising,2022/02/14,500.00
Bouc Productions,Advertising,2022/02/16,500.00
Formation CAD Inc.,Professional Development and Training for Members' Employees,2022/03/29,1124.50
Rodéo Atelier Créatif,Professional Communication Services,2022/03/31,45.00
Rodéo Atelier Créatif,Signage,2022/03/31,830.00
Rodéo Atelier Créatif,Professional Communication Services,2022/03/31,135.00
Rodéo Atelier Créatif,Signage,2022/03/31,365.00
"Aut'journal, L'",Advertising,2022/04/01,85.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,198.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,244.07
J6E Immobilier S.E.N.C.,Office Rental and Related Fees,2022/04/01,2805.00
"PAPETIER, LE","Printed Matter, Books, Newspapers and Subscriptions",2022/04/01,36.50
Postes Canada,"Postage, Parcel Post and Courier Services",2022/04/01,103.69
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/04/01,16.79
SEMAINIER PAROISSIAL,Advertising,2022/04/03,780.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/04/05,1713.25
Association des techniques administratives du cégep Régional de Lanaudière à Joliette,Advertising,2022/04/07,300.00
Association des locataires de St-Thomas,Advertising,2022/04/12,200.00
LRC Filiale 83 de Lanaudière,Advertising,2022/04/14,250.00
Milieu d'intervention et de thérapie en agression sexuelle,Advertising,2022/04/14,250.00
Satelcom Internet,Constituency Office Internet,2022/04/15,112.20
Satelcom Internet,Constituency Office Cable,2022/04/15,26.20
Centre Action Communautaire Bénévole Matawinie,Advertising,2022/04/19,500.00
CORPORATION DE LA FÊTE NATIONALE,"Office Supplies, Stationery and Accessories",2022/04/19,458.16
Zoom,Computer Software and Licences,2022/04/19,143.01
Le Roi du Party,Office Decor,2022/04/20,44.95
Association Basketball Joliette,Advertising,2022/04/21,250.00
Frech-Net,Janitorial Services and Maintenance,2022/04/21,205.00
"PAPETIER, LE","Office Supplies, Stationery and Accessories",2022/04/21,164.36
CÉGEP RÉGIONAL DE LANAUDIÈRE À JOLIETTE,Advertising,2022/04/22,250.00
CHAMBRE DE COMMERCE DU GRAND JOLIETTE,Advertising,2022/04/22,500.00
Chambre de commerce Haute-Matawinie,Advertising,2022/04/22,236.69
Marché Metro Belair,Gifts given as a matter of protocol,2022/04/23,122.96
Marché Metro Belair,Gifts given as a matter of protocol,2022/04/23,21.47
"Aut'journal, L'",Advertising,2022/04/25,85.00
"Société de l'Autisme Région Lanaudière, La",Advertising,2022/04/25,250.00
Entraide pour la déficience intellectuelle du Joliette Métropolitain inc.,"Office Supplies, Stationery and Accessories",2022/04/26,275.00
Option Consommateurs,Advertising,2022/04/27,125.00
Groupe Lexis Média Inc.,Advertising,2022/04/28,887.00
"Bouvier, Éric",Janitorial Services and Maintenance,2022/04/30,424.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/04/30,42.13
Grand & Toy,Cleaning Products,2022/04/30,31.79
Grand & Toy,Other Consumable Supplies From Stores,2022/04/30,33.80
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,271.38
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,198.30
J6E Immobilier S.E.N.C.,Office Rental and Related Fees,2022/05/01,2805.00
Maison des Grands-Parents du Grand Joliette,Advertising,2022/05/01,500.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,16.79
"PAPETIER, LE","Office Supplies, Stationery and Accessories",2022/05/02,23.82
Postes Canada,"Postage, Parcel Post and Courier Services",2022/05/02,11.69
Boutique de l'assemblée nationale,"Office Supplies, Stationery and Accessories",2022/05/04,152.50
Accent Bleu,"Office Supplies, Stationery and Accessories",2022/05/10,9.00
"Assurances Boyer Tessier, Les",Constituency Office Insurance,2022/05/10,227.03
Postes Canada,"Postage, Parcel Post and Courier Services",2022/05/11,11.69
Postes Canada,"Postage, Parcel Post and Courier Services",2022/05/11,11.69
Syndicat de l'enseignement de Lanaudière,Advertising,2022/05/13,500.00
Distribution David Bissonnette,Spring Water,2022/05/14,14.00
Satelcom Internet,Constituency Office Cable,2022/05/15,23.95
Satelcom Internet,Constituency Office Internet,2022/05/15,114.45
Cercle des fermières de Chertsey,Advertising,2022/05/16,500.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2022/05/18,142.82
CÉGEP RÉGIONAL DE LANAUDIÈRE À JOLIETTE,Advertising,2022/05/18,300.00
Le Papetier/Le Libraire,"Office Supplies, Stationery and Accessories",2022/05/18,69.15
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2022/05/19,149.99
Dollarama,"Office Supplies, Stationery and Accessories",2022/05/19,13.50
Édifice C Espace création O.B.N.L.,Advertising,2022/05/19,500.00
Joliette Sécurité,"Safety Supplies (fire extinguishers, first aid kits)",2022/05/20,52.85
Mélanie Emond Photographie,Photography and Video Services,2022/05/20,100.00
Tout Naturellement,Gifts given as a matter of protocol,2022/05/20,151.00
"Aut'journal, L'",Advertising,2022/05/24,85.00
CÉGEP RÉGIONAL DE LANAUDIÈRE À JOLIETTE,Advertising,2022/05/25,300.00
Promotions de Pétanque L.M.,Advertising,2022/05/27,250.00
Arsenal Media Inc.,Advertising,2022/05/29,356.25
Orchestre Symphonique des Jeunes de Joliette,Advertising,2022/05/29,250.00
"Bouvier, Éric",Janitorial Services and Maintenance,2022/05/30,379.50
CRÉDIL,Advertising,2022/05/31,500.00
"Fortin, Caroline",Advertising,2022/05/31,500.00
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/05/31,31.62
Grand & Toy,Cleaning Products,2022/05/31,24.93
Grand & Toy,Bulk Paper Purchases,2022/05/31,79.60
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,6.07
Grand & Toy,Other Consumable Supplies From Stores,2022/05/31,40.69
Table des partenaires du développement social de Lanaudière,Advertising,2022/05/31,250.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,198.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,123.98
J6E Immobilier S.E.N.C.,Office Rental and Related Fees,2022/06/01,2805.00
Club Jet Triathlon,Advertising,2022/06/05,500.00
"Ensemble Vocal de Lanaudière, L'",Advertising,2022/06/05,500.00
Rassemblement pour un pays souverain,Advertising,2022/06/06,200.00
RADIO NORD-JOLI INC.,Advertising,2022/06/09,425.00
J6E Immobilier S.E.N.C.,Office Rental and Related Fees,2022/07/01,2805.00
