Supplier,Description,Date,Total
Lia Lee,Professional Communication Services,2021/12/13,583.00
"Facebook, Inc. ",Advertising,2022/03/13,296.05
LMP Publication Limited Partnership,Advertising,2022/03/18,3479.57
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,303.64
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,38.00
Bella Bay Properties,Office Rental and Related Fees,2022/04/01,2219.17
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.86
BC Hydro,Public Utilities,2022/04/12,338.34
Shaw Internet,Constituency Office Internet,2022/04/27,101.65
Zoom Professional Communications,Computer Software and Licences,2022/04/29,253.00
"Grootes, Suzanne",Janitorial Services and Maintenance,2022/04/30,120.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,14.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,302.66
Bella Bay Properties,Office Rental and Related Fees,2022/05/01,2219.17
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.11
Choice Communications,Advertising,2022/05/09,69.00
Shaw Cable,Constituency Office Internet,2022/05/27,101.65
Zoom Video Communiations,Computer Software and Licences,2022/05/29,53.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,304.20
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,36.00
Bella Bay Properties,Office Rental and Related Fees,2022/06/01,2219.17
BC Hydro,Public Utilities,2022/06/13,191.83
Bella Bay Properties,Office Rental and Related Fees,2022/07/01,1850.00
Bella Bay Properties,Office Rental Related Fees,2022/07/01,369.17
