Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0226738,2022/03/27,2022/03/27,,,,,,,18.0300,0.0000,0.0000,0,0.0000,0,18.03
T0226738,2022/03/27,2022/03/27,"Gilles, Claude",Employee,To represent the Member at an event,2022/03/27,Montréal-Nord,Montreal,,,,,,,
T0227648,2022/04/01,2022/04/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0227648,2022/04/01,2022/04/30,"Dubourg, Emmanuel",Member,Secondary Residence,2022/04/01,Gatineau,Gatineau,,,,,,,
T0227653,2022/04/05,2022/04/07,,,,,,,195.0700,0.0000,310.0400,1.0000,0,0,505.11
T0227653,2022/04/05,2022/04/07,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/04/05,Montréal,Ottawa,,,,,,,
T0227653,2022/04/05,2022/04/07,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/04/07,Ottawa,Montréal,,,,,,,
T0226000,2022/04/18,2022/05/17,,,,,,,0.0000,66.3800,0.0000,0,0,0,66.38
T0226000,2022/04/18,2022/05/17,"Dubourg, Emmanuel",Member,Secondary Residence,2022/04/18,Gatineau,Gatineau,,,,,,,
T0227660,2022/04/26,2022/04/28,,,,,,,195.0700,0.0000,310.0400,1.0000,0,0,505.11
T0227660,2022/04/26,2022/04/28,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/04/26,Ottawa,Montréal,,,,,,,
T0227660,2022/04/26,2022/04/28,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/04/28,Montréal,Ottawa,,,,,,,
T0229517,2022/05/01,2022/05/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0229517,2022/05/01,2022/05/31,"Dubourg, Emmanuel",Member,Secondary Residence,2022/05/01,Gatineau,Gatineau,,,,,,,
T0229520,2022/05/03,2022/05/05,,,,,,,195.0700,0.0000,310.0400,1.0000,0,0,505.11
T0229520,2022/05/03,2022/05/05,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/03,Montréal,Ottawa,,,,,,,
T0229520,2022/05/03,2022/05/05,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/05,Ottawa,Montréal,,,,,,,
T0228145,2022/05/05,2022/05/12,,,,,,,72.2700,0.0000,0.0000,0,0.0000,0,72.27
T0228145,2022/05/05,2022/05/12,"Gilles, Claude",Employee,To conduct constituency office business,2022/05/05,Montreal,Montréal-Nord,,,,,,,
T0228145,2022/05/05,2022/05/12,"Gilles, Claude",Employee,To conduct constituency office business,2022/05/06,Montreal,Montréal-Nord,,,,,,,
T0228145,2022/05/05,2022/05/12,"Gilles, Claude",Employee,To conduct constituency office business,2022/05/10,Montreal,Montréal-Nord,,,,,,,
T0229521,2022/05/11,2022/05/12,,,,,,,195.0700,0.0000,206.7000,1.0000,0,0,401.77
T0229521,2022/05/11,2022/05/12,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/11,Montréal,Ottawa,,,,,,,
T0229521,2022/05/11,2022/05/12,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/12,Ottawa,Montréal,,,,,,,
T0229523,2022/05/17,2022/05/18,,,,,,,195.0700,0.0000,206.7000,1.0000,0,0,401.77
T0229523,2022/05/17,2022/05/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/17,Montréal,Ottawa,,,,,,,
T0229523,2022/05/17,2022/05/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/18,Ottawa,Montréal,,,,,,,
T0229286,2022/05/18,2022/05/18,,,,,,,25.2500,0.0000,0.0000,0,0.0000,0,25.25
T0229286,2022/05/18,2022/05/18,"Barone De Iacovo, Emilia",Employee,To attend a constituency or community event,2022/05/18,Montreal,Montréal-Nord,,,,,,,
T0229504,2022/05/24,2022/05/31,,,,,,,373.8000,0.0000,100.8100,0.0000,0.0000,0,474.61
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To conduct constituency office business,2022/05/24,Montreal,Saint-Urbain,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2022/05/25,Montreal,Saint-Urbain,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To attend an event as a matter of protocol,2022/05/24,Montréal,Montréal,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To attend an event as a matter of protocol,2022/05/24,Montréal,Montréal,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To attend a constituency or community event,2022/05/25,Montreal,Montreal,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To support a parliamentary committee,2022/05/26,Montreal,Sainte-Anne-de-Bellevue,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To support a parliamentary committee,2022/05/27,Montreal,Québec,,,,,,,
T0229504,2022/05/24,2022/05/31,"Dubourg, Emmanuel",Member,To support a parliamentary committee,2022/05/27,Québec,Montréal,,,,,,,
T0229519,2022/06/18,2022/07/17,,,,,,,0.0000,66.3800,0.0000,0,0,0,66.38
T0229519,2022/06/18,2022/07/17,"Dubourg, Emmanuel",Member,Secondary Residence,2022/06/18,Gatineau,Gatineau,,,,,,,
