Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
400134781,2022/04/01,2022/04/30,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.00
400134781,2022/04/01,2022/04/30,"El-Khoury, Fayçal",Member,Secondary Residence,2022/04/01,GATINEAU,GATINEAU,,,,,,,
T0227010,2022/04/03,2022/04/06,,,,,,,185.3100,0.0000,413.3900,1.0000,0,0,598.70
T0227010,2022/04/03,2022/04/06,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/04/03,Laval,Ottawa,,,,,,,
T0227010,2022/04/03,2022/04/06,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/04/06,Ottawa,Laval,,,,,,,
T0227118,2022/04/15,2022/05/14,,,,,,,0.0000,94.1200,0.0000,0,0,0,94.12
T0227118,2022/04/15,2022/05/14,"El-Khoury, Fayçal",Member,Secondary Residence,2022/04/15,Gatineau,Gatineau,,,,,,,
T0227717,2022/04/24,2022/04/29,,,,,,,185.3100,0.0000,620.0900,1.0000,0,0,805.40
T0227717,2022/04/24,2022/04/29,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/04/24,Laval,Ottawa,,,,,,,
T0227717,2022/04/24,2022/04/29,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Laval,,,,,,,
T0228006,2022/05/01,2022/05/06,,,,,,,185.3100,0.0000,551.7400,1.0000,0,0,737.05
T0228006,2022/05/01,2022/05/06,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/01,Laval,Ottawa,,,,,,,
T0228006,2022/05/01,2022/05/06,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/06,Ottawa,Laval,,,,,,,
200569589,2022/05/01,2022/05/31,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.00
200569589,2022/05/01,2022/05/31,"El-Khoury, Fayçal",Member,Secondary Residence,2022/05/01,GATINEAU,GATINEAU,,,,,,,
T0228001,2022/05/04,2022/05/05,,,,,,,263.0900,228.7400,206.7000,1.0000,0,0,698.53
T0228001,2022/05/04,2022/05/05,"Sahakian, Karine",Employee,To travel to/from constituency and Ottawa,2022/05/04,Laval,Ottawa,,,,,,,
T0228001,2022/05/04,2022/05/05,"Sahakian, Karine",Employee,To travel to/from constituency and Ottawa,2022/05/05,Ottawa,Laval,,,,,,,
T0228705,2022/05/08,2022/05/13,,,,,,,185.3100,0.0000,620.0900,1.0000,0,0,805.40
T0228705,2022/05/08,2022/05/13,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/08,Laval,Ottawa,,,,,,,
T0228705,2022/05/08,2022/05/13,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/13,Ottawa,Laval,,,,,,,
T0229696,2022/05/15,2022/05/20,,,,,,,185.3100,0.0000,620.0900,1.0000,0,0,805.40
T0229696,2022/05/15,2022/05/20,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/15,Laval,Ottawa,,,,,,,
T0229696,2022/05/15,2022/05/20,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/20,Ottawa,Laval,,,,,,,
T0229698,2022/05/25,2022/05/25,,,,,,,185.3100,0.0000,103.3500,1.0000,0,0,288.66
T0229698,2022/05/25,2022/05/25,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/25,Laval,Ottawa,,,,,,,
T0229698,2022/05/25,2022/05/25,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/05/25,Ottawa,Laval,,,,,,,
200575727,2022/06/01,2022/06/30,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.00
200575727,2022/06/01,2022/06/30,"El-Khoury, Fayçal",Member,Secondary Residence,2022/06/01,GATINEAU,GATINEAU,,,,,,,
T0230268,2022/06/04,2022/06/11,,,,,,,185.3100,0.0000,826.7900,1.0000,0,0,1012.10
T0230268,2022/06/04,2022/06/11,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/06/04,Laval,Ottawa,,,,,,,
T0230268,2022/06/04,2022/06/11,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/06/11,Ottawa,Laval,,,,,,,
T0230668,2022/06/11,2022/06/16,,,,,,,185.3100,0.0000,620.0900,1.0000,0,0,805.40
T0230668,2022/06/11,2022/06/16,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/06/11,Laval,Ottawa,,,,,,,
T0230668,2022/06/11,2022/06/16,"El-Khoury, Fayçal",Member,To travel to/from constituency and Ottawa,2022/06/16,Ottawa,Laval,,,,,,,
