Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0227913,2022/04/01,2022/05/02,,,,,,,0.0000,1600.9900,0.0000,0,0,0,1600.99
T0227913,2022/04/01,2022/05/02,"Hutchings, Hon. Gudie",Member,Secondary Residence,2022/04/01,Ottawa,Ottawa,,,,,,,
T0227913,2022/04/01,2022/05/02,"Hutchings, Hon. Gudie",Member,Secondary Residence,2022/04/03,Ottawa,Ottawa,,,,,,,
T0227507,2022/04/22,2022/04/23,,,,,,,134.3100,0.0000,119.0100,0.0000,0,0,253.32
T0227507,2022/04/22,2022/04/23,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/04/22,Little Rapids,Rocky Harbour,,,,,,,
T0227424,2022/04/22,2022/04/23,,,,,,,49.3600,0.0000,0.0000,0.0000,0,0,49.36
T0227424,2022/04/22,2022/04/23,"Hiltz, Sarah Ann",Employee,To attend meetings about constituency issues,2022/04/22,Corner Brook,Little Rapids,,,,,,,
T0227424,2022/04/22,2022/04/23,"Hiltz, Sarah Ann",Employee,To attend meetings about constituency issues,2022/04/22,Little Rapids,Corner Brook,,,,,,,
T0227507,2022/04/22,2022/04/23,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/04/22,Rocky Harbour,Norris Point,,,,,,,
T0227507,2022/04/22,2022/04/23,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/04/22,Norris Point,Little Rapids,,,,,,,
T0227424,2022/04/22,2022/04/23,"Hiltz, Sarah Ann",Employee,To attend meetings about constituency issues,2022/04/23,Corner Brook,Little Rapids,,,,,,,
T0227507,2022/04/22,2022/04/23,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/04/23,Little Rapids,Deer Lake,,,,,,,
T0227424,2022/04/22,2022/04/23,"Hiltz, Sarah Ann",Employee,To attend meetings about constituency issues,2022/04/23,Little Rapids,Corner Brook,,,,,,,
T0227507,2022/04/22,2022/04/23,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/04/23,Deer Lake,Little Rapids,,,,,,,
T0227689,2022/04/24,2022/04/29,,,,,,,1740.9500,0.0000,394.6400,1.0000,0,0,2135.59
T0227689,2022/04/24,2022/04/29,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/04/24,Little Rapids,Ottawa,,,,,,,
T0227689,2022/04/24,2022/04/29,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Little Rapids,,,,,,,
T0228419,2022/05/01,2022/05/12,,,,,,,4262.8800,361.3600,537.9900,2.5000,0,0,5162.23
T0228419,2022/05/01,2022/05/12,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/05/01,Little Rapids,Ottawa,,,,,,,
T0228419,2022/05/01,2022/05/12,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/05/05,Ottawa,Little Rapids,,,,,,,
T0228419,2022/05/01,2022/05/12,"Hutchings, Hon. Gudie",Member,To attend a conference,2022/05/10,Ottawa,St. John's,,,,,,,
T0228419,2022/05/01,2022/05/12,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/05/08,Little Rapids,Ottawa,,,,,,,
T0228419,2022/05/01,2022/05/12,"Hutchings, Hon. Gudie",Member,To conduct constituency office business,2022/05/12,St. John's,Little Rapids,,,,,,,
T0229452,2022/05/01,2022/06/02,,,,,,,0.0000,1650.9900,0.0000,0,0,0,1650.99
T0229452,2022/05/01,2022/06/02,"Hutchings, Hon. Gudie",Member,Secondary Residence,2022/05/03,Ottawa,Ottawa,,,,,,,
T0229452,2022/05/01,2022/06/02,"Hutchings, Hon. Gudie",Member,Secondary Residence,2022/05/01,Ottawa,Ottawa,,,,,,,
T0228774,2022/05/11,2022/05/12,,,,,,,462.1400,44.6400,167.3700,0,0.0000,0,674.15
T0228774,2022/05/11,2022/05/12,"Cull, Dwayne",Employee,Attending event with Member,2022/05/11,Saint Anthony,Corner Brook,,,,,,,
T0228774,2022/05/11,2022/05/12,"Cull, Dwayne",Employee,Attending event with Member,2022/05/11,Corner Brook,Saint Anthony,,,,,,,
T0228775,2022/05/11,2022/05/16,,,,,,,26.7000,0.0000,0.0000,0.0000,0,0,26.70
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/11,Corner Brook,Mount Moriah,,,,,,,
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/11,Mount Moriah,Corner Brook,,,,,,,
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/12,Corner Brook,Mount Moriah,,,,,,,
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/12,Mount Moriah,Corner Brook,,,,,,,
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/16,Corner Brook,Mount Moriah,,,,,,,
T0228775,2022/05/11,2022/05/16,"Lockhart, Katherine",Employee,To attend a constituency or community event,2022/05/16,Mount Moriah,Corner Brook,,,,,,,
T0229031,2022/05/16,2022/05/18,,,,,,,755.4200,89.2900,206.7000,0.0000,0,0,1051.41
T0229031,2022/05/16,2022/05/18,"Felix, Michelle",Employee,To attend meetings about constituency issues,2022/05/16,Stephenville,St. John's,,,,,,,
T0229031,2022/05/16,2022/05/18,"Felix, Michelle",Employee,To attend meetings about constituency issues,2022/05/16,St. John's,Stephenville,,,,,,,
T0229526,2022/05/29,2022/06/01,,,,,,,538.1800,551.3800,345.2700,0,0.0000,0,1434.83
T0229526,2022/05/29,2022/06/01,"Felix, Michelle",Employee,To conduct constituency office business,2022/05/29,Stephenville,Saint Anthony,,,,,,,
T0229526,2022/05/29,2022/06/01,"Felix, Michelle",Employee,To conduct constituency office business,2022/05/29,Saint Anthony,Stephenville,,,,,,,
T0230488,2022/05/30,2022/06/12,,,,,,,2099.3700,0.0000,586.5600,1.0000,0,0,2685.93
T0230488,2022/05/30,2022/06/12,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/06/09,Ottawa,Little Rapids,,,,,,,
T0230488,2022/05/30,2022/06/12,"Hutchings, Hon. Gudie",Member,To travel to/from constituency and Ottawa,2022/06/12,Little Rapids,Ottawa,,,,,,,
T0230517,2022/06/10,2022/06/10,,,,,,,98.7600,0.0000,64.0200,0.0000,0,0,162.78
T0230517,2022/06/10,2022/06/10,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/06/10,Little Rapids,Rocky Harbour,,,,,,,
T0230517,2022/06/10,2022/06/10,"Hutchings, Hon. Gudie",Member,To attend a constituency or community event,2022/06/10,Rocky Harbour,Little Rapids,,,,,,,
