Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0227187,2022/03/31,2022/04/01,,,,,,,133.0800,0.0000,0.0000,0,0.0000,0,133.08
T0227187,2022/03/31,2022/04/01,"Girard, Claude",Employee,To drive Member to/from terminal,2022/04/01,Shipshaw,Saint-Nicolas,,,,,,,
T0227528,2022/04/03,2022/04/08,,,,,,,1325.3800,814.3000,516.7400,1.0000,0,0,2656.42
T0227528,2022/04/03,2022/04/08,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/04/03,Bagotville,Ottawa,,,,,,,
T0227528,2022/04/03,2022/04/08,,Designated Traveller,To travel to/from constituency and Ottawa,2022/04/06,Bagotville,Ottawa,,,,,,,
T0231571,2022/04/22,2022/05/22,,,,,,,0.0000,2966.0400,0.0000,0,0,0,2966.04
T0231571,2022/04/22,2022/05/22,"Martel, Richard",Member,Secondary Residence,2022/04/22,Ottawa,Ottawa,,,,,,,
T0229362,2022/04/22,2022/05/22,,,,,,,4348.6500,0.0000,2195.0000,3.5000,0.0000,0,6543.65
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To attend meetings with stakeholders about business of the House,2022/04/22,Toronto,Ottawa,,,,,,,
T0229362,2022/04/22,2022/05/22,,Designated Traveller,To travel to/from constituency and Ottawa,2022/05/10,Ottawa,Bagotville,,,,,,,
T0229362,2022/04/22,2022/05/22,,Designated Traveller,To travel to/from constituency and Ottawa,2022/04/25,Bagotville,Ottawa,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To attend an authorized funeral,2022/04/28,Ottawa,Montreal,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Bagotville,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/05/01,Bagotville,Ottawa,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To attend an authorized funeral,2022/05/02,Ottawa,Montreal,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/05/06,Ottawa,Chicoutimi,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/05/08,Chicoutimi,Ottawa,,,,,,,
T0229362,2022/04/22,2022/05/22,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/05/22,Ottawa,Chicoutimi,,,,,,,
T0229796,2022/05/29,2022/06/03,,,,,,,668.1000,223.2100,620.0900,1.0000,0,0,1511.40
T0229796,2022/05/29,2022/06/03,"Boulanger, Fanny",Employee,To travel to/from constituency and Ottawa,2022/05/29,Chicoutimi,Ottawa,,,,,,,
T0229796,2022/05/29,2022/06/03,"Boulanger, Fanny",Employee,To travel to/from constituency and Ottawa,2022/06/03,Ottawa,Chicoutimi,,,,,,,
T0230287,2022/05/29,2022/06/10,,,,,,,2751.5300,2327.3000,910.5800,2.0000,0,0,5989.41
T0230287,2022/05/29,2022/06/10,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/05/29,Bagotville,Ottawa,,,,,,,
T0230287,2022/05/29,2022/06/10,,Designated Traveller,To travel to/from constituency and Ottawa,2022/06/02,Bagotville,Ottawa,,,,,,,
T0230287,2022/05/29,2022/06/10,,Designated Traveller,To travel to/from constituency and Ottawa,2022/06/07,Ottawa,Bagotville,,,,,,,
T0230287,2022/05/29,2022/06/10,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,Bagotville,,,,,,,
T0229811,2022/05/31,2022/05/31,,,,,,,0.0000,0.0000,103.3500,0.0000,0,0,103.35
T0229811,2022/05/31,2022/05/31,"Girard, Claude",Employee,To travel to/from constituency and Ottawa,2022/05/31,Chicoutimi,Ottawa,,,,,,,
T0229811,2022/05/31,2022/05/31,"Girard, Claude",Employee,To travel to/from constituency and Ottawa,2022/05/31,Ottawa,Chicoutimi,,,,,,,
T0229493,2022/05/31,2022/06/01,,,,,,,670.3300,0.0000,103.3500,1.0000,0,0,773.68
T0229493,2022/05/31,2022/06/01,"Simard, Philip",Employee,To travel to/from constituency and Ottawa,2022/05/31,Chicoutimi,Ottawa,,,,,,,
T0229493,2022/05/31,2022/06/01,"Simard, Philip",Employee,To travel to/from constituency and Ottawa,2022/06/01,Ottawa,Chicoutimi,,,,,,,
T0229771,2022/06/01,2022/06/01,,,,,,,56.3400,0.0000,0.0000,0.0000,0,0,56.34
T0229771,2022/06/01,2022/06/01,"Fortin, Marc-Olivier",Employee,To attend a constituency or community event,2022/06/01,Chicoutimi,Ferland-et-Boilleau,,,,,,,
T0230057,2022/06/07,2022/06/07,,,,,,,26.0200,0.0000,62.4400,0.0000,0,0,88.46
T0230057,2022/06/07,2022/06/07,"Fortin, Marc-Olivier",Employee,To attend an event as a matter of protocol,2022/06/07,Chicoutimi,La Baie (Saguenay),,,,,,,
