Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
400134836,2022/04/01,2022/04/30,,,,,,,0.0000,1895.0000,0.0000,0,0,0,1895.00
400134836,2022/04/01,2022/04/30,"Morrice, Mike",Member,Secondary Residence,2022/04/01,OTTAWA,OTTAWA,,,,,,,
T0226147,2022/04/03,2022/04/08,,,,,,,565.7800,410.2500,292.5000,1.0000,0,0,1268.53
T0226147,2022/04/03,2022/04/08,"Horne, Rosalind",Employee,To travel to/from constituency and Ottawa,2022/04/03,Kitchener,Ottawa,,,,,,,
T0226147,2022/04/03,2022/04/08,"Horne, Rosalind",Employee,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Kitchener,,,,,,,
200569644,2022/05/01,2022/05/31,,,,,,,0.0000,1895.0000,0.0000,0,0,0,1895.00
200569644,2022/05/01,2022/05/31,"Morrice, Mike",Member,Secondary Residence,2022/05/01,OTTAWA,OTTAWA,,,,,,,
T0229711,2022/05/23,2022/05/27,,,,,,,530.2800,0.0000,218.7500,1.0000,0,0,749.03
T0229711,2022/05/23,2022/05/27,"Charnalia, Ameya",Employee,To travel to/from constituency and Ottawa,2022/05/23,Ottawa,Kitchener,,,,,,,
T0229711,2022/05/23,2022/05/27,"Charnalia, Ameya",Employee,To travel to/from constituency and Ottawa,2022/05/27,Kitchener,Ottawa,,,,,,,
200575782,2022/06/01,2022/06/30,,,,,,,0.0000,1895.0000,0.0000,0,0,0,1895.00
200575782,2022/06/01,2022/06/30,"Morrice, Mike",Member,Secondary Residence,2022/06/01,OTTAWA,OTTAWA,,,,,,,
