Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0228683,2022/04/12,2022/04/12,,,,,,,602.6500,0.0000,0.0000,0.5000,0,0,602.65
T0228683,2022/04/12,2022/04/12,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2022/04/12,Ottawa,Regina,,,,,,,
T0228500,2022/04/27,2022/04/29,,,,,,,1347.2600,333.6800,270.7100,1.0000,0,0,1951.65
T0228500,2022/04/27,2022/04/29,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2022/04/27,Regina,Ottawa,,,,,,,
T0228679,2022/04/27,2022/04/29,,,,,,,1558.9300,417.6100,270.7100,1.0000,0,0,2247.25
T0228679,2022/04/27,2022/04/29,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2022/04/27,Regina,Ottawa,,,,,,,
T0228679,2022/04/27,2022/04/29,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Regina,,,,,,,
T0228500,2022/04/27,2022/04/29,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Regina,,,,,,,
T0229710,2022/05/19,2022/05/22,,,,,,,1753.1300,0.0000,413.3900,1.0000,0,0,2166.52
T0229710,2022/05/19,2022/05/22,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2022/05/19,Regina,Ottawa,,,,,,,
T0229710,2022/05/19,2022/05/22,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2022/05/22,Ottawa,Regina,,,,,,,
