Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
400134864,2022/04/01,2022/04/30,,,,,,,0.0000,1701.0000,0.0000,0,0,0,1701.00
400134864,2022/04/01,2022/04/30,"Shipley, Doug",Member,Secondary Residence,2022/04/01,OTTAWA,OTTAWA,,,,,,,
T0226876,2022/04/03,2022/04/07,,,,,,,946.3600,0.0000,382.5000,1.0000,0,0,1328.86
T0226876,2022/04/03,2022/04/07,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/04/03,Barrie,Ottawa,,,,,,,
T0226876,2022/04/03,2022/04/07,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/04/07,Ottawa,Barrie,,,,,,,
T0227235,2022/04/12,2022/05/11,,,,,,,0.0000,115.4500,0.0000,0,0,0,115.45
T0227235,2022/04/12,2022/05/11,"Shipley, Doug",Member,Secondary Residence,2022/04/12,Ottawa,Ottawa,,,,,,,
T0230191,2022/04/20,2022/05/20,,,,,,,0.0000,59.4900,0.0000,0,0,0,59.49
T0230191,2022/04/20,2022/05/20,"Shipley, Doug",Member,Secondary Residence,2022/04/20,Ottawa,Ottawa,,,,,,,
T0227645,2022/04/24,2022/04/28,,,,,,,541.9700,0.0000,382.5000,1.0000,0,0,924.47
T0227645,2022/04/24,2022/04/28,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/04/24,Barrie,Ottawa,,,,,,,
T0227645,2022/04/24,2022/04/28,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/04/28,Ottawa,Barrie,,,,,,,
200569672,2022/05/01,2022/05/31,,,,,,,0.0000,1701.0000,0.0000,0,0,0,1701.00
200569672,2022/05/01,2022/05/31,"Shipley, Doug",Member,Secondary Residence,2022/05/01,OTTAWA,OTTAWA,,,,,,,
T0228251,2022/05/02,2022/05/02,,,,,,,904.5600,0.0000,382.5000,1.0000,0,0,1287.06
T0228251,2022/05/02,2022/05/02,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/05/02,Barrie,Ottawa,,,,,,,
T0228251,2022/05/02,2022/05/02,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/05/05,Ottawa,Barrie,,,,,,,
T0228845,2022/05/08,2022/05/18,,,,,,,344.8400,0.0000,868.3500,0.5000,0,0,1213.19
T0228845,2022/05/08,2022/05/18,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/05/18,Ottawa,Barrie,,,,,,,
T0229839,2022/05/18,2022/05/20,,,,,,,185.6400,0.0000,0.0000,2.0000,0,0,185.64
T0229839,2022/05/18,2022/05/20,"Batra, Prabhat",Employee,To drive Member to/from terminal,2022/05/18,Barrie,Toronto,,,,,,,
T0229839,2022/05/18,2022/05/20,"Batra, Prabhat",Employee,To drive Member to/from terminal,2022/05/18,Toronto,Barrie,,,,,,,
T0229839,2022/05/18,2022/05/20,"Batra, Prabhat",Employee,To drive Member to/from terminal,2022/05/20,Barrie,Toronto,,,,,,,
T0229839,2022/05/18,2022/05/20,"Batra, Prabhat",Employee,To drive Member to/from terminal,2022/05/20,Toronto,Barrie,,,,,,,
T0229843,2022/05/30,2022/06/03,,,,,,,528.3200,0.0000,421.8300,1.0000,0,0,950.15
T0229843,2022/05/30,2022/06/03,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/05/30,Barrie,Ottawa,,,,,,,
T0229843,2022/05/30,2022/06/03,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2022/06/03,Ottawa,Barrie,,,,,,,
200575810,2022/06/01,2022/06/30,,,,,,,0.0000,1701.0000,0.0000,0,0,0,1701.00
200575810,2022/06/01,2022/06/30,"Shipley, Doug",Member,Secondary Residence,2022/06/01,OTTAWA,OTTAWA,,,,,,,
T0230192,2022/06/08,2022/06/10,,,,,,,113.5800,690.8600,191.2500,1.0000,0,0,995.69
T0230192,2022/06/08,2022/06/10,"Shipley, Doug",Member,To attend meetings with stakeholders about business of the House,2022/06/08,Barrie,Toronto,,,,,,,
T0230192,2022/06/08,2022/06/10,"Shipley, Doug",Member,To attend meetings with stakeholders about business of the House,2022/06/10,Toronto,Barrie,,,,,,,
