Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
400134871,2022/04/01,2022/04/30,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
400134871,2022/04/01,2022/04/30,"Stubbs, Shannon",Member,Secondary Residence,2022/04/01,OTTAWA,OTTAWA,,,,,,,
T0229661,2022/04/04,2022/04/08,,,,,,,616.3600,763.8800,431.8000,0.5000,0,0,1812.04
T0229661,2022/04/04,2022/04/08,"Warawa, Tina",Employee,To travel to/from constituency and Ottawa,2022/04/04,Two Hills,Ottawa,,,,,,,
T0229666,2022/04/08,2022/04/08,,,,,,,1128.3700,0.0000,0.0000,0.5000,0,0,1128.37
T0229666,2022/04/08,2022/04/08,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Edmonton,,,,,,,
T0229687,2022/04/13,2022/04/13,,,,,,,72.3000,0.0000,0.0000,0.0000,0,0,72.30
T0229687,2022/04/13,2022/04/13,"Kucharski, Anna-Marie",Employee,To conduct constituency office business,2022/04/13,Two Hills,Lamont,,,,,,,
T0229687,2022/04/13,2022/04/13,"Kucharski, Anna-Marie",Employee,To conduct constituency office business,2022/04/13,Lamont,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,,,,,,,802.9000,0.0000,189.3300,0.0000,0.0000,0,992.23
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/04/14,Two Hills,Lloydminster,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To drive Member to/from terminal,2022/05/31,Calmar,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/04/14,Lloydminster,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/04/14,Two Hills,Bonnyville,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/04/14,Bonnyville,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/05/11,Two Hills,Athabasca,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/05/11,Athabasca,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/05/13,Two Hills,Boyle,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To conduct constituency office business,2022/05/13,Boyle,Two Hills,,,,,,,
T0229695,2022/04/14,2022/05/31,"Warawa, Tina",Employee,To drive Member to/from terminal,2022/05/31,Two Hills,Calmar,,,,,,,
T0229692,2022/04/23,2022/04/23,,,,,,,0.0000,380.6200,0.0000,0.0000,0,0,380.62
T0229692,2022/04/23,2022/04/23,"Stubbs, Shannon",Member,To support a parliamentary committee,2022/04/23,Two Hills,Two Hills,,,,,,,
200569679,2022/05/01,2022/05/31,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
200569679,2022/05/01,2022/05/31,"Stubbs, Shannon",Member,Secondary Residence,2022/05/01,OTTAWA,OTTAWA,,,,,,,
T0229664,2022/05/08,2022/05/12,,,,,,,2395.0000,0.0000,516.7400,1.0000,0,0,2911.74
T0229664,2022/05/08,2022/05/12,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/05/08,Two Hills,Ottawa,,,,,,,
T0229664,2022/05/08,2022/05/12,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/05/12,Ottawa,Two Hills,,,,,,,
200575817,2022/06/01,2022/06/30,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
200575817,2022/06/01,2022/06/30,"Stubbs, Shannon",Member,Secondary Residence,2022/06/01,OTTAWA,OTTAWA,,,,,,,
