Supplier,Description,Date,Total
PRINT THREE,External Printing Costs,2022/03/23,385.00
CEDAR SPRINGS,Spring Water,2022/04/30,50.39
CEDAR SPRINGS,Spring Water,2022/05/31,79.34
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/06/01,82.48
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,-4.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,506.69
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/07,140.81
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/06/14,56.24
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/06/17,1075.00
CEDAR SPRINGS,Spring Water,2022/06/30,78.29
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/06/30,364.76
Grand & Toy,Cleaning Products,2022/06/30,58.12
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2022/07/01,0.45
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,394.54
Canada Post – Postes Canada,Postage and Parcel Post,2022/07/04,463.50
BELL CANADA,Constituency Office Internet,2022/07/05,178.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/07/07,139.52
Canada Post – Postes Canada,Courier Services,2022/07/12,40.97
Canada Post – Postes Canada,Courier Services,2022/07/12,24.88
Canada Post – Postes Canada,Courier Services,2022/07/12,13.91
Canada Post – Postes Canada,Courier Services,2022/07/12,19.53
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,102.14
Choice Communication (Canada) Ltd.,Advertising,2022/07/18,163.88
Choice Communication (Canada) Ltd.,Advertising,2022/07/18,61.39
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,136.08
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,51.75
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,36.88
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/07/28,183.00
Cedar Springs,"Postage, Parcel Post and Courier Services",2022/07/31,6.64
Cedar Springs,Spring Water,2022/07/31,39.75
Cedar Springs,Equipment Rental (non-hospitality related),2022/07/31,7.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/07/31,140.79
Lisgar Development Ltd.,Office Rental Related Fees,2022/08/01,2137.62
Lisgar Development Ltd.,Office Rental,2022/08/01,1587.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/08/01,139.52
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,308.65
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/08/02,1210.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,1.75
BELL CANADA,Constituency Office Internet,2022/08/05,178.95
Cedar Springs,Spring Water,2022/08/15,69.75
Cedar Springs,"Postage, Parcel Post and Courier Services",2022/08/15,6.64
Cedar Springs,Equipment Rental (non-hospitality related),2022/08/31,7.95
Lisgar Development Ltd.,Office Rental,2022/09/01,1587.00
Lisgar Development Ltd.,Office Rental Related Fees,2022/09/01,2137.62
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/09/09,610.00
House of Commons / Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2022/09/30,197.06
Lisgar Development Ltd.,Office Rental Related Fees,2022/10/01,2137.62
Lisgar Development Ltd.,Office Rental,2022/10/01,1587.00
