Supplier,Description,Date,Total
Dishoom Media Inc.,Subject Matter Expert,2022/03/31,4000.00
Al Ameen Media Inc,Advertising,2022/04/29,200.00
Dishoom Media Inc.,Communications Officer,2022/04/30,2000.00
Dishoom Media Inc.,Communications Officer,2022/05/31,2000.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,243.75
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/07,140.81
Richmond Sentinel News Inc.,Advertising,2022/06/09,123.75
AMRE SUPPLY,Cleaning Products,2022/06/27,340.45
The Home Depot,Banking Fees and Cheque Orders,2022/06/27,44.62
Dishoom Media Inc.,Communications Officer,2022/06/30,2000.00
LMP Publication Limited Partnership,Advertising,2022/06/30,200.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,252.75
"Shaw Business ",Constituency Office Internet,2022/07/03,249.77
Canada Post – Postes Canada,Postage and Parcel Post,2022/07/04,107.98
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/07/07,139.52
Canada Post – Postes Canada,Courier Services,2022/07/12,10.97
Canada Post – Postes Canada,Courier Services,2022/07/12,15.81
Canada Post – Postes Canada,Courier Services,2022/07/12,41.52
Canada Post – Postes Canada,Courier Services,2022/07/12,106.28
Canada Post – Postes Canada,Courier Services,2022/07/12,64.78
LMP Publication Limited Partnership,Advertising,2022/07/12,25.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,17.48
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/07/14,43.27
Save-on-Foods,"Office Supplies, Stationery and Accessories",2022/07/14,29.13
Dishoom Media Inc.,Communications Officer,2022/07/31,2000.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/08/01,139.52
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental Related Fees,2022/08/01,2329.09
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental,2022/08/01,3395.75
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,220.97
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,0.61
"Shaw Communications ",Constituency Office Internet,2022/08/03,249.77
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental Related Fees,2022/09/01,2329.09
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental,2022/09/01,3395.75
Edley Imagineering inc.,Gifts given as a matter of protocol,2022/09/08,2503.80
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental Related Fees,2022/10/01,2329.09
Porte Realty Ltd - Coppersmith Way In Trust,Office Rental,2022/10/01,3395.75
