Supplier,Description,Date,Total
Comité Culturel de Piopolis Inc.,Advertising,2022/03/04,250.00
Festival du Cheval de Princeville,Advertising,2022/04/21,350.00
Kapwing inc.,Computer Software and Licences,2022/05/03,26.47
Prodesign,Pins and Flags,2022/05/05,90.00
Distribution H.G.,Spring Water,2022/05/10,20.25
Câble Axion Digitel inc.,Constituency Office Internet,2022/05/12,63.95
Carrefour Jeunesse Emploi du Granit,Advertising,2022/05/17,150.00
Défi 4 Vents,Advertising,2022/06/01,150.00
Mun.  de Lyster,Advertising,2022/06/01,100.00
Mun.  de Lyster,Advertising,2022/06/01,100.00
Kapwing inc.,Computer Software and Licences,2022/06/03,25.80
Rédaction MF.,Communications Officer,2022/06/03,605.00
Regroupement des chasseurs et pêcheurs de la MRC des Appalaches,Advertising,2022/06/04,150.00
"Constellation du Granit, La",Advertising,2022/06/07,250.00
Distribution H.G.,Spring Water,2022/06/07,20.25
Fondation Résidence Denis Marcotte,Advertising,2022/06/10,200.00
Câble Axion Digitel inc.,Constituency Office Internet,2022/06/13,63.95
JOURNAL MRG,Advertising,2022/06/17,121.98
BELL CANADA,Constituency Office Internet,2022/06/22,130.95
Cogeco Connexion inc.,Constituency Office Internet,2022/06/23,119.95
Héritage Centre-Ville,Advertising,2022/06/23,250.00
Arsenal Media Inc.,Advertising,2022/06/26,320.00
Arsenal Media Inc.,Advertising,2022/06/26,375.00
Arsenal Media Inc.,Advertising,2022/06/26,400.00
Centre de Services Scolaire des Bois-Francs,Advertising,2022/06/28,250.00
Icimédias Inc.,Advertising,2022/06/29,364.00
SADC de la région de Mégantic,Advertising,2022/06/29,150.00
SNRP inc.,Janitorial Services and Maintenance,2022/06/30,454.65
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,185.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,75.50
"Echo de Frontenac, L'",Advertising,2022/07/01,192.60
Cogeco Connexion inc.,Constituency Office Cable,2022/07/02,102.98
Aqua Distribution H.G.,Spring Water,2022/07/05,20.25
École de Danse Je t'aime Canada,Advertising,2022/07/07,200.00
Les Fêtes du Lac William 1990 inc.,Advertising,2022/07/07,500.00
Société d'horticulture et d'écologie de Plessisville,Advertising,2022/07/07,100.00
Municipalité de Stornoway,Advertising,2022/07/08,250.00
NOUVEAU THEATRE ST-PIERRE-BAPTISTE,Advertising,2022/07/08,180.00
CPA Plessisville,Advertising,2022/07/11,250.00
Flixier,Computer Software and Licences,2022/07/11,18.74
Flixier,Computer Software and Licences,2022/07/11,14.00
axion,Constituency Office Internet,2022/07/12,63.95
Canada Post – Postes Canada,Courier Services,2022/07/12,19.63
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,356.57
Comité Fête de la Musique,Advertising,2022/07/13,250.00
House of Commons / Chambre des communes,Special Purchases of Consumable Supplies,2022/07/21,7.78
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/07/21,112.52
BELL CANADA,Constituency Office Internet,2022/07/22,130.95
Cogeco Connexion inc.,Constituency Office Internet,2022/07/23,119.95
House of Commons / Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2022/07/31,17.44
SNRP inc.,Janitorial Services and Maintenance,2022/07/31,454.65
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,185.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,46.30
C.P.I.Z.P.,Office Rental,2022/08/01,450.00
GESTION IMMOBILIÈRE HUGO POULIN INC.,Office Rental,2022/08/01,1682.00
VILLE DE LAC-MÉGANTIC,Office Rental,2022/08/01,365.00
Cogeco Connexion inc.,Constituency Office Cable,2022/08/02,102.98
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,123.87
Aqua Distribution H.G.,Spring Water,2022/08/09,13.50
Association sportive et de bienfaisance du lac de l'est,Advertising,2022/08/10,150.00
Flixier,Computer Software and Licences,2022/08/11,18.36
Association de gymkhana de Chaudière-Appalaches,Advertising,2022/08/18,200.00
JOURNAL MRG,Advertising,2022/08/18,75.00
Verte Irlande,Advertising,2022/08/20,100.00
BELL CANADA,Constituency Office Internet,2022/08/22,130.95
Walmart,Cleaning Products,2022/08/22,3.97
Cogeco Connexion inc.,Constituency Office Internet,2022/08/23,119.95
Kapwing,Computer Software and Licences,2022/08/27,20.00
"Aqua Distribution H.G. ",Spring Water,2022/08/30,13.50
SNRP inc.,Janitorial Services and Maintenance,2022/08/30,454.65
Club de Golf et Curling,Advertising,2022/08/31,450.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,185.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,59.00
C.P.I.Z.P.,Office Rental,2022/09/01,450.00
GESTION IMMOBILIÈRE HUGO POULIN INC.,Office Rental,2022/09/01,1682.00
VILLE DE LAC-MÉGANTIC,Office Rental,2022/09/01,365.00
Zoom,Image/Video Communications Services,2022/09/01,20.00
Cogeco Connexion inc.,Constituency Office Cable,2022/09/02,102.98
Loisirs St-Robert (Frontenac Inc.),Advertising,2022/09/02,200.00
C.P.I.Z.P.,Office Rental,2022/10/01,450.00
GESTION IMMOBILIÈRE HUGO POULIN INC.,Office Rental,2022/10/01,1682.00
VILLE DE LAC-MÉGANTIC,Office Rental,2022/10/01,365.00
