Supplier,Description,Date,Total
Navsaver Publications Inc.,Advertising,2022/04/26,65.00
Navsaver Publications Inc.,Advertising,2022/05/20,65.00
Shaw Communications Inc.,Constituency Office Internet,2022/05/24,224.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,247.75
Navsaver Publications Inc.,Advertising,2022/06/12,65.00
Winnipeg Free Press,Advertising,2022/06/21,429.08
Shaw Business,Constituency Office Internet,2022/06/24,214.00
Canstar Community News,Advertising,2022/06/30,565.03
BENCHMARK ADVERTISING LTD.,Advertising,2022/07/01,825.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,197.25
BOND PRINTING LTD.,Advertising,2022/07/04,209.00
Ethnorama News Winnipeg,Advertising,2022/07/11,150.00
Good Neighbours Active Living Centre Inc.,Advertising,2022/07/11,125.00
Canada Post – Postes Canada,Courier Services,2022/07/12,55.88
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,19.66
Shaw Business,Constituency Office Internet,2022/07/24,214.00
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2022/07/25,280.00
Canstar Community News,Advertising,2022/07/31,565.03
7178680 Manitoba Ltd.,Office Rental Related Fees,2022/08/01,1078.67
7178680 Manitoba Ltd.,Office Rental,2022/08/01,2122.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,168.43
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,18.89
Ethnorama News Winnipeg,Advertising,2022/08/03,150.00
7178680 Manitoba Ltd.,Office Rental Related Fees,2022/09/01,1078.67
7178680 Manitoba Ltd.,Office Rental,2022/09/01,2122.50
7178680 Manitoba Ltd.,Office Rental,2022/10/01,2122.50
7178680 Manitoba Ltd.,Office Rental Related Fees,2022/10/01,1078.67
