Supplier,Description,Date,Total
Festival des Arts de Ruelle,Advertising,2021/10/01,500.00
Ikea,Office Decor,2022/05/15,124.96
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2022/05/20,500.00
Alpar,Advertising,2022/05/25,250.00
Groupe MP-Plus Inc,Professional Development and Training for Members' Employees,2022/05/27,482.88
Groupe MP-Plus Inc,Professional Development and Training for Members' Employees,2022/05/27,362.16
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,123.75
CHUBB FIRE & SECURITY CANADA INC,Protection and Alarm Monitoring (Member's Office Budget),2022/06/03,162.75
Centre de Formation Populaire,Advertising,2022/06/06,300.00
"Fortin, Nicolas",Professional Communication Services,2022/06/06,6000.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/06/10,128.95
RD Furniture,Office Furniture and Fixtures,2022/06/13,359.98
RD Furniture,Office Furniture and Fixtures,2022/06/13,98.99
JAMAIS LU,Advertising,2022/06/14,434.88
Propret Services d'entretien,Janitorial Services and Maintenance,2022/06/30,108.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,123.75
Festival des Arts de Ruelle,Advertising,2022/07/04,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,20.81
Vidéotron s.e.n.c,Constituency Office Internet,2022/07/15,128.95
Musiqthé International,Advertising,2022/07/16,300.00
Propret Services d'entretien,Janitorial Services and Maintenance,2022/07/31,108.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,74.79
S.E.C. BEAUBIEN-ONTARIO,Office Rental,2022/08/01,3013.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,5.40
"Fortier-Leblanc, Alicia",Office Assistant,2022/08/03,1500.00
"Randrianahinoro, Tsanta Marion",Office Assistant,2022/08/05,1500.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/08/12,128.95
Canada Post – Postes Canada,Postage and Parcel Post,2022/08/29,173.28
Propret Services d'entretien,Janitorial Services and Maintenance,2022/08/31,108.00
CHUBB FIRE & SECURITY CANADA CORPORATION,Protection and Alarm Monitoring (Member's Office Budget),2022/09/01,162.75
S.E.C. BEAUBIEN-ONTARIO,Office Rental,2022/09/01,3013.50
Vidéotron s.e.n.c,Constituency Office Internet,2022/09/09,128.95
PHARE ENFANTS ET FAMILLES (LE),Advertising,2022/09/21,400.00
S.E.C. BEAUBIEN-ONTARIO,Office Rental,2022/10/01,3013.50
