Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,91.75
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/06/24,166.87
Aberdeen Publishing LP,Advertising,2022/06/30,554.00
Black Press Group Ltd.,Advertising,2022/06/30,558.50
Castanet Holdings LP,Advertising,2022/06/30,300.00
Okanagan Matters Publications,Advertising,2022/06/30,115.00
"Okanagan Valley Newspaper Group, The",Advertising,2022/06/30,470.00
VALLEY VOICE LTD.,Advertising,2022/06/30,360.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,47.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,137.87
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,86.75
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/07/11,1713.25
Rogers,Employees’ Primary Residence Internet (COVID-19),2022/07/11,125.00
Canada Post – Postes Canada,Courier Services,2022/07/12,17.71
Canada Post – Postes Canada,Courier Services,2022/07/12,89.79
Canada Post – Postes Canada,Courier Services,2022/07/12,25.85
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,96.45
City of Penticton,Public Utilities,2022/07/15,32.94
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/07/19,128.35
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/07/24,166.87
Okanagan Matters Publications,Advertising,2022/07/25,120.00
Black Press Group Ltd.,Advertising,2022/07/31,314.25
Castanet Holdings LP,Advertising,2022/07/31,300.00
"Okanagan Valley Newspaper Group, The",Advertising,2022/07/31,210.00
Penticton Seniors Drop-In Centre Society,Advertising,2022/07/31,50.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/08/01,7.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,227.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,148.72
JNFG DEVELOPMENTS INC.,Office Rental,2022/08/01,1484.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,72.76
Sherbinin Holdings Ltd.,Office Rental,2022/08/01,600.00
Telus,Employees’ Primary Residence Internet (COVID-19),2022/08/01,96.30
TELUS Custom Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2022/08/01,299.40
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,18.50
Rogers,Employees’ Primary Residence Internet (COVID-19),2022/08/11,115.74
City of Penticton,Public Utilities,2022/08/15,32.43
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/08/19,128.35
Okanagan Matters Publications,Advertising,2022/08/24,80.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/08/24,166.87
Black Press Group Ltd.,Advertising,2022/08/31,170.25
Castanet Holdings LP,Advertising,2022/08/31,300.00
Grand & Toy,Digital Communication Equipment,2022/08/31,11.13
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/08/31,16.31
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/08/31,7.37
Grand & Toy,Digital Communication Equipment,2022/08/31,0.37
"Okanagan Valley Newspaper Group, The",Advertising,2022/08/31,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,135.42
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,22.00
JNFG DEVELOPMENTS INC.,Office Rental,2022/09/01,1484.00
Sherbinin Holdings Ltd.,Office Rental,2022/09/01,600.00
Okanagan Matters Publications,Advertising,2022/09/07,80.00
Penticton Seniors' Drop-In Centre Society,Advertising,2022/09/13,25.00
Penticton Seniors' Drop-In Centre Society,Advertising,2022/09/13,25.00
City of Penticton,Public Utilities,2022/09/15,35.62
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/09/19,128.35
JNFG DEVELOPMENTS INC.,Office Rental,2022/10/01,1484.00
Sherbinin Holdings Ltd.,Office Rental,2022/10/01,600.00
