Supplier,Description,Date,Total
SSJB Section Locale de  Wickham,Advertising,2022/04/06,200.00
Table régionale de concertation des personnes ainées CDQ,Advertising,2022/04/30,200.00
Chambre de commerce et d'industrie de Drummond,Advertising,2022/05/20,400.00
Club de Baseball Brewers de Drummondville,Advertising,2022/05/26,300.00
Festibière de Drummondville,Advertising,2022/05/29,500.00
Express Nettoyage L.H. Inc.,Janitorial Services and Maintenance,2022/06/01,270.00
Culture Centre-du-Québec,Advertising,2022/06/03,500.00
Rassemblement pour un pays souverain,Advertising,2022/06/06,200.00
9256-1646 Québec Inc,Advertising,2022/06/07,500.00
MUNICIPALITÉ NOTRE-DAME-DU-BON-CONSEIL VILLAGE,Advertising,2022/06/09,500.00
B. E. Action,Photography and Video Services,2022/06/10,300.00
Organisations unies pour l'independance,Advertising,2022/06/20,300.00
CENTRE COMMUNAUTAIRE SINTRA ST-CHARLES,Advertising,2022/06/22,400.00
Cogeco Connexion inc.,Constituency Office Cable,2022/06/22,67.68
Cogeco Connexion inc.,Constituency Office Internet,2022/06/22,104.95
"Express Drummondville Inc., L`",Advertising,2022/06/22,1219.00
Vingt-55 Média,Advertising,2022/06/22,400.00
Maison des Jeunes de Wickham,Advertising,2022/06/23,500.00
Municipalité de Wickham,Advertising,2022/06/23,50.00
COMITÉ DES LOISIRS DE L'AVENIR,Advertising,2022/06/24,400.00
Lettrage Marc Lambert,External Printing Costs,2022/06/26,45.00
Centre Récréatif Saint-Guillaume Inc,Advertising,2022/06/27,500.00
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2022/06/29,32.69
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/06/29,7.99
Daudelin Photo,Photography and Video Services,2022/06/29,400.00
"Express Drummondville Inc., L`",Advertising,2022/06/29,520.00
CLSC Wickham,Advertising,2022/06/30,400.00
Fleuriste Bergeron,Gifts given as a matter of protocol,2022/06/30,86.00
Postes Canada,"Postage, Parcel Post and Courier Services",2022/06/30,10.82
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,86.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,228.76
Express Nettoyage L.H. Inc.,Janitorial Services and Maintenance,2022/07/01,270.00
Vingt-55 Média,Advertising,2022/07/01,400.00
Jeune Chambre de Drummond,Advertising,2022/07/06,250.00
Loisirs OTJ St-Lucien,Advertising,2022/07/06,250.00
Formation Linguistique Global Lingua inc,Professional Development and Training for Members' Employees,2022/07/11,718.50
Municipalité St-Germain-de-Grantham,Advertising,2022/07/11,500.00
Canada Post – Postes Canada,Courier Services,2022/07/12,7.88
Mun. Saint-Majorique-de-Grantham,Advertising,2022/07/12,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,75.22
Bureau en gros,"Office Supplies, Stationery and Accessories",2022/07/13,130.19
Paparmane,Professional Communication Services,2022/07/14,1815.00
Mun. Saint-Majorique-de-Grantham,Advertising,2022/07/19,500.00
Immobilière ProjetCo inc,Constituency Office Rental and Related Fees,2022/07/21,400.00
Cogeco Connexion inc.,Constituency Office Internet,2022/07/22,104.95
Cogeco Connexion inc.,Constituency Office Cable,2022/07/22,67.68
Pôle d'économie sociale Centre-du-Québec,Advertising,2022/07/22,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,228.76
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,69.30
Express Nettoyage L.H. Inc.,Janitorial Services and Maintenance,2022/08/01,270.00
Immobiliere Projetco Inc,Office Rental,2022/08/01,2938.42
Vingt-55 Média,Advertising,2022/08/01,400.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,76.69
Fondation de la Tablée Populaire,Advertising,2022/08/09,500.00
Fondation du Cégep de Drummondville,Advertising,2022/08/12,500.00
Fondation du Cégep de Drummondville,Advertising,2022/08/12,500.00
Confiserie Miss Jujube inc.,Promotional Items,2022/08/15,414.40
Canada Post – Postes Canada,Postage and Parcel Post,2022/08/16,500.50
Fleuriste Bergeron,Gifts given as a matter of protocol,2022/08/18,87.00
La Source d'Eau,Spring Water,2022/08/18,75.00
Cogeco Connexion inc.,Constituency Office Internet,2022/08/22,104.95
Cogeco Connexion inc.,Constituency Office Cable,2022/08/22,70.73
Addison électronique,"Office Supplies, Stationery and Accessories",2022/08/25,59.99
Canac,"Office Supplies, Stationery and Accessories",2022/08/25,15.99
Lettrage Marc Lambert,Signage,2022/08/26,225.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,168.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,228.76
Express Nettoyage L.H. Inc.,Janitorial Services and Maintenance,2022/09/01,270.00
Immobiliere Projetco Inc,Office Rental,2022/09/01,2938.42
Vingt-55 Média,Advertising,2022/09/01,400.00
Fleuriste Bergeron,Gifts given as a matter of protocol,2022/09/08,87.00
Gestion Léo Vallières Inc.,Office Rental,2022/10/01,3266.00
