Supplier,Description,Date,Total
Imprimerie Blouin Inc,External Printing Costs,2022/03/10,132.50
Tourisme Isle-Aux-Coudres,Advertising,2022/04/18,225.00
ROSPAB,Advertising,2022/04/27,200.00
Groupe Carococo Inc,Writer,2022/04/30,1257.75
Fondation du Centre hospitalier St-Joseph de La Malbaie Inc.,Advertising,2022/05/10,280.00
Larouche Lettrage et Gravure,External Printing Costs,2022/05/26,200.00
Groupe Carococo Inc,Writer,2022/05/31,1257.75
Résidents et Amis du Site Patrimonial de Beauport,Advertising,2022/06/02,250.00
Les Services Aqua-Verre inc.,Janitorial Services and Maintenance,2022/06/03,24.00
"Fondation Ste-Thérèse-de-Lisieux, La",Advertising,2022/06/04,200.00
Déménagement Pro Charlevoix,Storage and Warehousing,2022/06/15,50.00
Postes Canada,"Postage, Parcel Post and Courier Services",2022/06/15,20.45
SNQC,Gifts given as a matter of protocol,2022/06/15,2579.30
Larouche Lettrage et Gravure,External Printing Costs,2022/06/16,100.00
Bolides Fest,Advertising,2022/06/18,250.00
Fondation Hôpital de Baie-Saint-Paul,Advertising,2022/06/21,500.00
"Charlevoisien, Le",Advertising,2022/06/22,290.00
Autour de l'île,Advertising,2022/06/23,250.00
Métro Média,Advertising,2022/06/25,300.00
Radio MF Charlevoix (CIHO FM),Advertising,2022/06/26,488.00
GSP Distribution (Div. Groupe GSP inc.),Advertising,2022/06/27,375.00
Dollorama,"Office Supplies, Stationery and Accessories",2022/06/28,1.25
Dollorama,"Office Supplies, Stationery and Accessories",2022/06/28,2.00
Hart 78,"Office Supplies, Stationery and Accessories",2022/06/28,4.47
Tournoi Provincial de baseball Pee-Wee de Beauport,Advertising,2022/06/29,250.00
Alain Bilodeau,Janitorial Services and Maintenance,2022/06/30,240.00
Groupe Carococo Inc,Writer,2022/06/30,1257.75
Groupe Vocal Ambitus,Advertising,2022/06/30,150.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,158.92
Bell Mobility – Bell Mobilité,Long Distance,2022/07/01,0.10
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,82.60
Canada Post – Postes Canada,Postage and Parcel Post,2022/07/04,423.77
Postes Canada,"Postage, Parcel Post and Courier Services",2022/07/08,169.20
Vidéotron s.e.n.c,Constituency Office Internet,2022/07/08,109.95
Vidéotron s.e.n.c,Constituency Office Internet,2022/07/08,147.95
Métro Média,Advertising,2022/07/09,300.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/07/11,83.00
Les Services Aqua-Verre inc.,Janitorial Services and Maintenance,2022/07/11,24.00
Société d'histoire de Charlevoix,Advertising,2022/07/11,250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,42.22
Regroupement du loisir communautaire de Beauport,Advertising,2022/07/13,250.00
FADOQ - CLUB DU BONHEUR DE STE-THÉRÈSE-DE-LISIEUX,Advertising,2022/07/14,200.00
Métro Média,Advertising,2022/07/16,200.00
Déménagement Pro Charlevoix,Moving Supplies,2022/07/18,50.00
Au Coeur des Arts de Saint-Siméon,Advertising,2022/07/19,250.00
"Grande Ferme, La",Advertising,2022/07/21,500.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/07/25,74.98
Alain Bilodeau,Janitorial Services and Maintenance,2022/07/31,160.00
l'École de musique des Cascades,Advertising,2022/07/31,250.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,239.57
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,12.00
CARREFOUR STE-ANNE,Office Rental,2022/08/01,2565.78
Groupe GSP Inc.,Office Rental,2022/08/01,975.00
GSP Distribution (Div. Groupe GSP inc.),Advertising,2022/08/01,375.00
L'Expo du Plateau des Arts,Advertising,2022/08/01,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,0.36
Imprimerie de Charlevoix,"Office Supplies, Stationery and Accessories",2022/08/05,127.79
Vidéotron s.e.n.c,Constituency Office Internet,2022/08/05,147.95
Vidéotron s.e.n.c,Constituency Office Internet,2022/08/05,105.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,18.00
CARREFOUR STE-ANNE,Office Rental,2022/09/01,2565.78
Groupe GSP Inc.,Office Rental,2022/09/01,975.00
CARREFOUR STE-ANNE,Office Rental,2022/10/01,2565.78
Groupe GSP Inc.,Office Rental,2022/10/01,975.00
