Supplier,Description,Date,Total
Water Depot,Spring Water,2022/05/09,7.98
Dollar Bits & More,"Office Supplies, Stationery and Accessories",2022/05/13,19.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/05/13,33.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,46.75
Water Depot,Spring Water,2022/06/02,7.98
CREEMORE ECHO,Advertising,2022/06/03,586.50
TM Branding,Advertising,2022/06/06,35.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/06/08,4.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/06/08,100.00
Essa Township,Advertising,2022/06/09,250.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/06/10,160.00
Simcoe-York Printing & Publishing Limited,Advertising,2022/06/16,113.36
Star Metroland Media,Advertising,2022/06/19,498.00
Wagg's Ltd,Janitorial Services and Maintenance,2022/06/20,21.40
Wagg's Ltd,Janitorial Services and Maintenance,2022/06/22,25.90
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/06/23,550.00
"PRINT SHOP, THE",External Printing Costs,2022/06/24,517.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/06/24,160.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/06/24,100.00
Corus Sales Inc,Advertising,2022/06/26,980.00
Local Radio Lab Inc.,Advertising,2022/06/26,636.00
Star Metroland Media,Advertising,2022/06/26,1097.00
2449125 ONTARIO INC.,Public Utilities,2022/06/29,27.87
2449125 ONTARIO INC.,Public Utilities,2022/06/29,127.79
Village Media Inc,Advertising,2022/06/29,500.00
"5 N's Publishing House, The",Advertising,2022/06/30,125.00
Riverside Press,Advertising,2022/06/30,270.00
Rogers,Constituency Office Internet,2022/06/30,162.69
Simcoe-York Printing & Publishing Limited,Advertising,2022/06/30,109.00
SJ Landscape,Janitorial Services and Maintenance,2022/06/30,450.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,10.00
Georgian Life Media Inc.,Advertising,2022/07/01,115.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,46.75
Less Annoying CRM,Computer Software and Licences,2022/07/02,79.75
Wagg's Ltd,Janitorial Services and Maintenance,2022/07/04,21.40
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/07/05,100.00
Wagg's Ltd,Janitorial Services and Maintenance,2022/07/06,25.90
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/07/07,160.00
Rogers,Constituency Office Internet,2022/07/08,79.99
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/07/08,4.00
Riverside Press,Advertising,2022/07/11,270.00
Canada Post – Postes Canada,Courier Services,2022/07/12,10.72
Canada Post – Postes Canada,Courier Services,2022/07/12,21.44
Canada Post – Postes Canada,Courier Services,2022/07/12,10.33
Canada Post – Postes Canada,Courier Services,2022/07/12,10.33
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,266.69
Alectra Utilities Corporation,Public Utilities,2022/07/14,90.36
Lovett Pro Lock & Key,"Office Supplies, Stationery and Accessories",2022/07/14,9.40
Simcoe-York Printing & Publishing Limited,Advertising,2022/07/14,113.36
Star Metroland Media,Advertising,2022/07/17,199.00
Star Metroland Media,Advertising,2022/07/17,299.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2022/07/18,64.31
Wagg's Ltd,Janitorial Services and Maintenance,2022/07/18,21.40
Collingwood Blues,Advertising,2022/07/19,1500.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/07/19,100.00
CREEMORE ECHO,Advertising,2022/07/22,391.00
TM Branding,Advertising,2022/07/26,249.96
Simcoe-York Printing & Publishing Limited,Advertising,2022/07/28,113.36
Corus Sales Inc.,Advertising,2022/07/31,1225.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/07/31,381.43
Grand & Toy,Cleaning Products,2022/07/31,43.98
Local Radio Lab Inc.,Advertising,2022/07/31,795.00
Rogers,Constituency Office Internet,2022/07/31,67.26
SJ Landscape,Janitorial Services and Maintenance,2022/07/31,450.00
Star Metroland Media,Advertising,2022/07/31,299.00
Star Metroland Media,Advertising,2022/07/31,199.00
2449125 ONTARIO INC.,Office Rental,2022/08/01,1500.00
452 Victoria Inc.,Office Rental,2022/08/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,53.00
Georgian Life Media Inc.,Advertising,2022/08/01,115.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,39.21
Wagg's Ltd,Janitorial Services and Maintenance,2022/08/01,21.40
2449125 ONTARIO INC.,Public Utilities,2022/08/02,27.27
2449125 ONTARIO INC.,Public Utilities,2022/08/02,131.27
Less Annoying CRM Invoice,Computer Software and Licences,2022/08/02,98.71
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,9.75
Wagg's Ltd,Janitorial Services and Maintenance,2022/08/03,25.90
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/08/03,100.00
"5 N's Publishing House, The",Advertising,2022/08/04,125.00
Simcoe-York Printing & Publishing Limited,Advertising,2022/08/04,149.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/08/04,160.00
Rogers,Constituency Office Cable,2022/08/08,67.09
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/08/08,4.00
Village Media Inc,Advertising,2022/08/09,500.00
Simcoe-York Printing & Publishing Limited,Advertising,2022/08/11,113.36
Alectra Utilities Corporation,Public Utilities,2022/08/12,138.92
CREEMORE ECHO,Advertising,2022/08/12,391.00
Star Metroland Media,Advertising,2022/08/14,299.00
Star Metroland Media,Advertising,2022/08/14,199.00
Wagg's Ltd,Janitorial Services and Maintenance,2022/08/15,21.40
Canada Post – Postes Canada,Postage and Parcel Post,2022/08/16,578.37
Wagg's Ltd,Janitorial Services and Maintenance,2022/08/17,25.90
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/08/17,100.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2022/08/18,64.10
Simcoe-York Printing & Publishing Limited,Advertising,2022/08/18,599.00
"5 N's Publishing House, The",Advertising,2022/08/19,125.00
Canadian Tire,Gifts given as a matter of protocol,2022/08/19,14.99
Fred's Paving Co. Ltd.,Office Renovations,2022/08/19,8895.00
"Weatherall, Matthew","Constituency Office Rental and Related Fees ",2022/08/19,160.00
LCBO,Gifts given as a matter of protocol,2022/08/23,31.90
Shoppers Drug Mart,Gifts given as a matter of protocol,2022/08/23,44.50
Simcoe-York Printing & Publishing Limited,Advertising,2022/08/25,113.36
Corus Sales Inc.,Advertising,2022/08/28,980.00
Local Radio Lab Inc.,Advertising,2022/08/28,636.00
2449125 ONTARIO INC.,Public Utilities,2022/08/30,152.97
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/08/30,100.00
Grand & Toy,Office Furniture and Fixtures,2022/08/31,107.82
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/08/31,508.17
Grand & Toy,"Freight, Express and Cartage",2022/08/31,4.86
Grand & Toy,Bulk Paper Purchases,2022/08/31,59.10
Grand & Toy,Cleaning Products,2022/08/31,44.64
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/08/31,82.91
Rogers,Constituency Office Internet,2022/08/31,79.99
Star Metroland Media,Advertising,2022/08/31,199.00
Star Metroland Media,Advertising,2022/08/31,299.00
Wagg's Ltd,Janitorial Services and Maintenance,2022/08/31,25.90
2449125 ONTARIO INC.,Office Rental,2022/09/01,1500.00
452 Victoria Inc.,Office Rental,2022/09/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,55.00
Georgian Life Media Inc.,Advertising,2022/09/01,115.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/09/01,160.00
Less Annoying CRM,Computer Software and Licences,2022/09/02,81.24
2449125 ONTARIO INC.,Public Utilities,2022/09/07,28.08
Royal Bank of Canada,Banking Fees and Cheque Orders,2022/09/08,4.00
Simcoe-York Printing & Publishing Limited,Advertising,2022/09/08,494.00
Simcoe-York Printing & Publishing Limited,Advertising,2022/09/08,113.36
CREEMORE ECHO,Advertising,2022/09/09,330.00
Village Media Inc,Advertising,2022/09/09,500.00
Star Metroland Media,Advertising,2022/09/11,199.00
Star Metroland Media,Advertising,2022/09/11,299.00
Wagg's Ltd,Janitorial Services and Maintenance,2022/09/12,21.40
Alectra Utilities Corporation,Public Utilities,2022/09/14,126.70
Wagg's Ltd,Janitorial Services and Maintenance,2022/09/14,25.90
"Water Depot ",Spring Water,2022/09/15,9.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/09/16,160.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2022/09/16,100.00
2449125 ONTARIO INC.,Office Rental,2022/10/01,1500.00
452 Victoria Inc.,Office Rental,2022/10/01,1500.00
