Supplier,Description,Date,Total
"Club, The",Advertising,2022/04/01,240.00
Momentuum BPO Inc.,Computer Software and Licences,2022/04/01,1833.33
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/04/14,27.96
BLACKBURN MEDIA INC.,Advertising,2022/04/24,30.00
Manley's (1983) Limited,"Office Supplies, Stationery and Accessories",2022/05/03,22.88
Manley's (1983) Limited,Cleaning Products,2022/05/04,9.98
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/05/12,27.96
Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2022/05/14,9.99
Reliance Home Comfort,Equipment Rental (non-hospitality related),2022/05/17,19.51
National Post,"Printed Matter, Books, Newspapers and Subscriptions",2022/05/18,9.95
Pam Chmielewski,Janitorial Services and Maintenance,2022/05/24,75.00
Blue Water Power Distribution Corporation,Public Utilities,2022/05/26,74.29
Enbridge,Public Utilities,2022/05/26,96.70
Pam Chmielewski,Janitorial Services and Maintenance,2022/05/30,75.00
TOWN OF PETROLIA,Advertising,2022/05/30,525.00
Culligan Water,Equipment Rental (non-hospitality related),2022/05/31,9.95
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,631.79
Pam Chmielewski,Janitorial Services and Maintenance,2022/06/06,75.00
Cogeco Connexion inc.,Constituency Office Internet,2022/06/08,154.90
Manley's (1983) Limited,"Office Supplies, Stationery and Accessories",2022/06/09,84.45
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/06/09,27.96
Reliance Home Comfort,Equipment Rental (non-hospitality related),2022/06/10,19.51
Blue Water Power Distribution Corporation,Public Utilities,2022/06/13,147.33
No Frills,Office Plants and Flowers,2022/06/13,20.00
Pam Chmielewski,Janitorial Services and Maintenance,2022/06/13,75.00
Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2022/06/14,9.99
L'Action,Advertising,2022/06/16,650.00
National Post,"Printed Matter, Books, Newspapers and Subscriptions",2022/06/18,9.95
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/06/20,39.99
Pam Chmielewski,Janitorial Services and Maintenance,2022/06/20,75.00
A&W Locksmith,Shredding,2022/06/21,50.00
A&W Locksmith,Shredding,2022/06/21,50.00
Plympton-Wyoming Agricultural Society,Advertising,2022/06/21,125.00
Enbridge,Public Utilities,2022/06/22,42.89
Postmedia Network Inc.,Advertising,2022/06/25,199.00
