Supplier,Description,Date,Total
Staples Preferred,"Office Supplies, Stationery and Accessories",2022/05/13,274.65
ESSEX FREE PRESS,Advertising,2022/05/16,393.25
Amherstburg River Town Times,Advertising,2022/05/18,390.00
"Jahn, Nancy",Office Assistant,2022/05/18,2000.00
Zoom Video Communications,Image/Video Communications Services,2022/05/20,20.00
Mailchimp,Professional Communication Services,2022/05/26,30.38
Allegra Marketing Print Mail Image 360,Promotional Items,2022/05/27,1960.00
Staples Canada,"Office Supplies, Stationery and Accessories",2022/05/27,13.18
Tapping Associates,Communications Officer,2022/05/30,1590.00
"Harrow News & County Print Plus, The",Advertising,2022/05/31,559.08
McKenna Pouget,Janitorial Services and Maintenance,2022/05/31,160.00
A2E Commerce Inc,Gifts given as a matter of protocol,2022/06/02,152.01
Cogeco Connexion inc.,Constituency Office Internet,2022/06/04,249.95
Bulk Barn,Gifts given as a matter of protocol,2022/06/10,131.99
ESSEX FREE PRESS,Advertising,2022/06/14,330.00
Amherstburg River Town Times,Advertising,2022/06/15,375.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/06/16,86.23
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/06/16,366.81
Canadian Tire,Cleaning Products,2022/06/16,19.99
Windsor Life Magazine,Advertising,2022/06/17,1521.00
ESSEX FREE PRESS,Advertising,2022/06/20,581.75
Zoom Video Communications Inc,Image/Video Communications Services,2022/06/20,20.00
Amherstburg River Town Times,Advertising,2022/06/22,390.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/06/22,122.00
Mailchimp,Professional Communication Services,2022/06/26,30.69
ESSEX FREE PRESS,Advertising,2022/06/27,411.13
Amherstburg River Town Times,Advertising,2022/06/29,390.00
"Harrow News & County Print Plus, The",Advertising,2022/06/29,724.00
McKenna Pouget,Janitorial Services and Maintenance,2022/06/30,160.00
Bell Mobility – Bell Mobilité,Long Distance,2022/07/01,0.24
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,53.34
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,126.00
Tapping Associates,Communications Officer,2022/07/02,1987.50
Zehrs,Cleaning Products,2022/07/03,5.05
Cogeco Connexion inc.,Constituency Office Internet,2022/07/04,249.95
Cogeco Connexion inc.,Constituency Office Cable,2022/07/04,91.64
costco,Spring Water,2022/07/04,3.49
ESSEX FREE PRESS,Advertising,2022/07/04,231.00
"Jahn, Nancy",Office Assistant,2022/07/06,2000.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/07/07,12.83
Dollarama,"Office Supplies, Stationery and Accessories",2022/07/07,4.50
Dollarama,Office Plants and Flowers,2022/07/07,9.50
Home Hardware,Cleaning Products,2022/07/07,10.08
Party City,"Office Supplies, Stationery and Accessories",2022/07/07,9.98
Safe & Sound Alarms,"Office Supplies, Stationery and Accessories",2022/07/10,14.99
Safe & Sound Alarms,Repair of Machinery and Office Furniture,2022/07/10,250.00
Safe & Sound Alarms,Protection and Alarm Monitoring (Member's Office Budget),2022/07/10,131.97
Canada Post – Postes Canada,Courier Services,2022/07/12,13.26
Canada Post – Postes Canada,Courier Services,2022/07/12,13.26
Canada Post – Postes Canada,Courier Services,2022/07/12,17.36
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,231.25
Bulk Barn,Gifts given as a matter of protocol,2022/07/14,203.97
BIZ X MAGAZINE,Advertising,2022/07/15,650.00
staples preferred,"Office Supplies, Stationery and Accessories",2022/07/17,94.90
Zoom Video Communications,Image/Video Communications Services,2022/07/20,20.00
ESSEX FREE PRESS,Advertising,2022/07/25,562.00
"Shutterstock, Inc.",Image/Video Communications Services,2022/07/25,71.88
"Harrow News & County Print Plus, The",Advertising,2022/07/26,235.00
Mailchimp,Professional Communication Services,2022/07/26,30.51
Amherstburg River Town Times,Advertising,2022/07/27,390.00
Home Hardware,Spring Water,2022/07/27,14.95
McKenna Pouget,Janitorial Services and Maintenance,2022/07/31,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,126.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,27.00
Tapping Associates,Communications Officer,2022/08/01,1590.00
Tengchong Investment Inc.,Office Rental,2022/08/01,1729.75
Tengchong Investment Inc.,Office Rental Related Fees,2022/08/01,805.92
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,2.37
Cogeco Connexion inc.,Constituency Office Internet,2022/08/04,249.95
Cogeco Connexion inc.,Constituency Office Cable,2022/08/04,63.95
Canada Post,"Postage, Parcel Post and Courier Services",2022/08/05,20.43
Home Sense,Office Decor,2022/08/05,69.98
Home Sense,Office Plants and Flowers,2022/08/05,39.99
Canada Post – Postes Canada,Postage and Parcel Post,2022/08/16,490.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,115.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,126.00
Tengchong Investment Inc.,Office Rental Related Fees,2022/09/01,805.92
Tengchong Investment Inc.,Office Rental,2022/09/01,1729.75
Tengchong Investment Inc.,Office Rental Related Fees,2022/10/01,805.92
Tengchong Investment Inc.,Office Rental,2022/10/01,1729.75
