Supplier,Description,Date,Total
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/04/01,196.51
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/04/01,44.41
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/04/01,156.93
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/04/30,77.22
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/06/02,88.33
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/07/05,82.43
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/08/05,109.16
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/09/02,110.77
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/10/05,113.07
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/11/03,90.18
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/12/06,95.31
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/01/06,54.12
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/01/06,107.82
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/01/06,83.09
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/01/20,130.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/02/03,127.66
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/02/03,64.64
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/02/03,198.48
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/02/22,135.00
Meridian OneCap,Photocopier Rental and Related Costs,2022/02/25,234.11
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2022/02/28,42.99
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/03/04,125.53
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/03/04,156.43
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/03/04,168.76
Meridian OneCap,Equipment Rental (non-hospitality related),2022/04/01,207.87
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/04/04,102.14
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/04/04,115.72
Meridian OneCap,Photocopier Rental and Related Costs,2022/04/12,207.87
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2022/04/17,53.93
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/04/20,140.00
LoSpecchio,Advertising,2022/04/30,211.60
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/05/05,92.72
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/05/05,82.67
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/05/06,265.00
Choice Communication (Canada) Ltd.,Advertising,2022/05/09,109.25
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/05/20,140.00
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2022/05/30,48.51
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,255.79
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/06/02,95.97
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/06/03,67.17
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/06/03,94.05
Meridian OneCap,Photocopier Rental and Related Costs,2022/06/09,207.87
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/06/14,79.98
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/06/20,140.00
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2022/06/24,52.66
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/06/30,120.49
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2022/06/30,32.01
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,255.79
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/07/05,65.11
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2022/07/05,94.99
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2022/07/06,50.60
Choice Communication (Canada) Ltd.,Advertising,2022/07/07,311.71
Canada Post – Postes Canada,Courier Services,2022/07/12,40.43
Choice Communication (Canada) Ltd.,Advertising,2022/07/18,163.88
Choice Communication (Canada) Ltd.,Advertising,2022/07/18,61.39
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2022/07/20,160.00
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,36.88
Dollarama,"Office Supplies, Stationery and Accessories",2022/07/22,10.00
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/07/25,1.65
Grand & Toy,Digital Communication Equipment,2022/07/31,0.70
Grand & Toy,Cleaning Products,2022/07/31,113.97
Grand & Toy,Digital Communication Equipment,2022/07/31,8.21
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,407.53
TORONTO COMMUNITY HOUSING CORP.,Office Rental,2022/08/01,3496.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,0.13
Forestdale Heights Lodge BBC,Advertising,2022/08/03,100.00
Rogers,Constituency Office Cable,2022/08/04,65.92
Rogers,Constituency Office Internet,2022/08/04,170.54
Walmart,Office Furniture and Fixtures,2022/08/16,23.94
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/08/31,229.13
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/08/31,121.84
Grand & Toy,Cleaning Products,2022/08/31,40.40
TORONTO COMMUNITY HOUSING CORP.,Office Rental,2022/09/01,3496.80
TORONTO COMMUNITY HOUSING CORP.,Office Rental,2022/10/01,3496.80
