Supplier,Description,Date,Total
Kapwing,Computer Software and Licences,2022/05/12,30.47
Kapwing,Computer Software and Licences,2022/06/12,30.47
Amazon.ca,"Office Supplies, Stationery and Accessories",2022/06/13,299.39
Creative Outdoor,Advertising,2022/06/13,1453.20
"CFCR - Community Radio Society of Saskatoon, Inc.",Advertising,2022/06/15,300.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/06/30,86.23
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/06/30,366.81
"Caswell, Brandy",Janitorial Services and Maintenance,2022/06/30,200.00
"Caswell, Brandy",Repair of Machinery and Office Furniture,2022/06/30,100.00
Water Matters DBA Culligan,"Postage, Parcel Post and Courier Services",2022/06/30,2.93
Water Matters DBA Culligan,Spring Water,2022/06/30,16.37
Water Matters DBA Culligan,Equipment Rental (non-hospitality related),2022/06/30,12.23
Water Matters DBA Culligan,Spring Water,2022/06/30,-20.47
Water Matters DBA Culligan,Spring Water,2022/06/30,20.47
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,37.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,237.87
Postcard Portables Saskatoon,Advertising,2022/07/01,706.66
Postcard Portables Saskatoon,Advertising,2022/07/01,-506.66
Shaw Cable,Constituency Office Internet,2022/07/01,212.00
Shaw Cable,Constituency Office Internet,2022/07/01,-10.60
CITY OF SASKATOON,Public Utilities,2022/07/02,146.66
Meta,Advertising,2022/07/02,50.00
Meta,Advertising,2022/07/02,25.00
Meta,Advertising,2022/07/02,5.46
Meta,Advertising,2022/07/02,44.93
Meta,Advertising,2022/07/02,50.00
Meta,Advertising,2022/07/02,50.00
Meta,Advertising,2022/07/02,100.00
Meta,Advertising,2022/07/02,50.00
Meta,Advertising,2022/07/02,25.00
Meta,Advertising,2022/07/02,25.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/07/04,182.50
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/07/07,122.00
ATM General Contracting Inc.,Office Renovations,2022/07/12,106.00
Canada Post – Postes Canada,Courier Services,2022/07/12,15.81
Canada Post – Postes Canada,Courier Services,2022/07/12,27.68
Canada Post – Postes Canada,Courier Services,2022/07/12,65.56
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,726.02
GPC Labworks,External Printing Costs,2022/07/13,30.00
GPC Labworks,External Printing Costs,2022/07/13,30.00
GPC Labworks,External Printing Costs,2022/07/13,10.00
"CFCR - Community Radio Society of Saskatoon, Inc.",Advertising,2022/07/19,300.00
"Caswell, Brandy",Janitorial Services and Maintenance,2022/07/31,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/07/31,1094.02
Grand & Toy,Cleaning Products,2022/07/31,91.81
Water Matters DBA Culligan,Spring Water,2022/07/31,32.27
102128946 Saskatchewan Ltd.,Office Rental,2022/08/01,1695.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,244.17
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,138.00
CITY OF SASKATOON,Public Utilities,2022/08/01,163.63
Postcard Portables,Advertising,2022/08/01,706.66
Shaw Cable,Constituency Office Internet,2022/08/01,212.00
Shaw Cable,Constituency Office Internet,2022/08/01,-10.60
Meta,Advertising,2022/08/02,80.00
Meta,Advertising,2022/08/02,50.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,63.75
Canada Post,"Postage, Parcel Post and Courier Services",2022/08/03,17.70
Canada Post,"Postage, Parcel Post and Courier Services",2022/08/03,6.55
Cowan Imaging Group,Signage,2022/08/09,37.10
Cowan Imaging Group,Signage,2022/08/09,38.16
Cowan Imaging Group,Signage,2022/08/09,93.79
Mount Royal Community Association (MRCA),Advertising,2022/08/09,100.00
SASKENERGY,Public Utilities,2022/08/10,40.97
Amazon,"Framing, Outside Supplier",2022/08/11,174.92
Amazon,"Framing, Outside Supplier",2022/08/11,87.46
Kapwing,Computer Software and Licences,2022/08/12,30.47
Canada Post – Postes Canada,Postage and Parcel Post,2022/08/16,182.71
Creative Outdoor Advertising,Advertising,2022/08/17,1681.20
Quinn and Kim's Flowers,Gifts given as a matter of protocol,2022/08/18,103.95
Mount Royal Community Association (MRCA),Advertising,2022/08/26,100.00
"Caswell, Brandy",Janitorial Services and Maintenance,2022/08/27,200.00
Water Matters DBA Culligan,Equipment Rental (non-hospitality related),2022/08/31,12.67
102128946 Saskatchewan Ltd.,Office Rental,2022/09/01,1695.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,73.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,239.67
Postcard Portables,Advertising,2022/09/01,706.66
Reed Security,Protection and Alarm Monitoring (Member's Office Budget),2022/09/01,418.49
Meta,Advertising,2022/09/02,25.00
Meta,Advertising,2022/09/02,50.00
Meta,Advertising,2022/09/02,47.47
Meta,Advertising,2022/09/02,30.00
Meta,Advertising,2022/09/02,27.80
Meta,Advertising,2022/09/02,10.38
Meta,Advertising,2022/09/02,7.17
Meta,Advertising,2022/09/02,25.00
Saskatoon Co-op 8th St Liquor,Gifts given as a matter of protocol,2022/09/07,55.19
Kapwing,Computer Software and Licences,2022/09/12,30.47
SaskEnergy,Public Utilities,2022/09/12,43.58
House of Commons / Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2022/09/30,95.47
102128946 Saskatchewan Ltd.,Office Rental,2022/10/01,1695.00
