Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/06/01,41.00
Ingrid Greer B&B Cleaning,Janitorial Services and Maintenance,2022/06/02,150.00
BROADWAY EXPORTERS IMPORTERS INC.,Pins and Flags,2022/06/07,300.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/07,140.82
Dollorama,"Office Supplies, Stationery and Accessories",2022/06/15,4.52
Ingrid Greer B&B Cleaning,Janitorial Services and Maintenance,2022/06/21,150.00
Creatiful Studio,Professional Communication Services,2022/06/28,300.00
Creatiful Studio,Professional Communication Services,2022/06/28,400.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/06/30,12.63
Star Metroland Media,Advertising,2022/06/30,700.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/07/01,15.80
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/07/01,222.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/07/01,35.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/07/07,139.53
Canada Post – Postes Canada,Courier Services,2022/07/12,40.83
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/07/12,223.44
Dolarama,"Office Supplies, Stationery and Accessories",2022/07/14,16.39
Neighbour Today Inc.,Advertising,2022/07/27,345.00
Indeed,"Temporary, Administrative Services",2022/07/31,227.04
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/08/01,13.40
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/08/01,222.00
Erisont Realty Inc.,Office Rental,2022/08/01,3277.10
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/08/01,139.53
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/08/01,24.10
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/08/02,173.77
Indeed,"Temporary, Administrative Services",2022/08/11,500.75
Ingrid Greer B&B Cleaning,Janitorial Services and Maintenance,2022/08/11,225.00
Creatiful Studio,Communications Officer,2022/08/23,200.00
Creatiful Studio,Communications Officer,2022/08/23,400.00
Creatiful Studio,Communications Officer,2022/08/23,200.00
Creatiful Studio,Communications Officer,2022/08/23,400.00
Elite Window Cleaning,Janitorial Services and Maintenance,2022/08/24,145.00
Indeed,"Temporary, Administrative Services",2022/08/31,206.59
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/09/01,222.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/09/01,20.60
Erisont Realty Inc.,Office Rental,2022/09/01,3277.10
BTNX INC.,Rapid Antigen Tests (COVID-19),2022/09/02,149.00
Ingrid Greer B&B Cleaning,Janitorial Services and Maintenance,2022/09/09,150.00
Star Metroland Media,Advertising,2022/09/11,1100.00
Erisont Realty Inc.,Office Rental,2022/10/01,3277.10
