Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0230465,2022/04/24,2022/05/06,,,,,,,2324.4100,0.0000,0.0000,1.0000,0,0,2324.41
T0230465,2022/04/24,2022/05/06,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/04/24,Edmonton,Ottawa,,,,,,,
T0230465,2022/04/24,2022/05/06,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/05/06,Ottawa,Edmonton,,,,,,,
T0231828,2022/05/01,2022/05/01,,,,,,,572.1200,0.0000,0.0000,0.5000,0,0,572.12
T0231828,2022/05/01,2022/05/01,"Maj-Pfleger, Aulden",Employee,To travel to/from constituency and Ottawa,2022/05/01,Edmonton,Ottawa,,,,,,,
T0230470,2022/05/08,2022/05/21,,,,,,,2284.1800,0.0000,0.0000,1.0000,0,0,2284.18
T0230470,2022/05/08,2022/05/21,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/05/08,Edmonton,Ottawa,,,,,,,
T0230470,2022/05/08,2022/05/21,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/05/21,Ottawa,Edmonton,,,,,,,
T0230473,2022/05/28,2022/06/10,,,,,,,2322.8900,0.0000,0.0000,1.0000,0,0,2322.89
T0230473,2022/05/28,2022/06/10,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/05/28,Edmonton,Ottawa,,,,,,,
T0230473,2022/05/28,2022/06/10,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,Edmonton,,,,,,,
T0231085,2022/06/12,2022/06/17,,,,,,,2323.3000,0.0000,0.0000,1.0000,0,0,2323.30
T0231085,2022/06/12,2022/06/17,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/06/12,Edmonton,Ottawa,,,,,,,
T0231085,2022/06/12,2022/06/17,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Edmonton,,,,,,,
T0231408,2022/06/19,2022/06/25,,,,,,,2495.2900,0.0000,0.0000,1.0000,0,0,2495.29
T0231408,2022/06/19,2022/06/25,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/06/19,Edmonton,Ottawa,,,,,,,
T0231408,2022/06/19,2022/06/25,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/06/25,Ottawa,Edmonton,,,,,,,
T0231849,2022/06/25,2022/07/03,,,,,,,1080.9600,830.0800,294.4200,1.0000,0,0,2205.46
T0231849,2022/06/25,2022/07/03,"Milne, David",Employee,To travel to/from constituency and Ottawa,2022/06/25,Ottawa,Edmonton,,,,,,,
T0231849,2022/06/25,2022/07/03,"Milne, David",Employee,To travel to/from constituency and Ottawa,2022/07/03,Edmonton,Ottawa,,,,,,,
200582403,2022/07/01,2022/07/31,,,,,,,0.0000,2003.4400,0.0000,0,0,0,2003.44
200582403,2022/07/01,2022/07/31,"Cooper, Michael",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0233185,2022/07/19,2022/07/30,,,,,,,2411.8200,0.0000,0.0000,1.0000,0,0,2411.82
T0233185,2022/07/19,2022/07/30,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/07/19,Edmonton,Ottawa,,,,,,,
T0233185,2022/07/19,2022/07/30,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2022/07/30,Ottawa,Edmonton,,,,,,,
200590030,2022/08/01,2022/08/31,,,,,,,0.0000,2003.4400,0.0000,0,0,0,2003.44
200590030,2022/08/01,2022/08/31,"Cooper, Michael",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
200600064,2022/09/01,2022/09/30,,,,,,,0.0000,2003.4400,0.0000,0,0,0,2003.44
200600064,2022/09/01,2022/09/30,"Cooper, Michael",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607355,2022/10/01,2022/10/31,,,,,,,0.0000,2003.4400,0.0000,0,0,0,2003.44
200607355,2022/10/01,2022/10/31,"Cooper, Michael",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
