Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0232126,2022/06/15,2022/06/18,,,,,,,173.5400,0.0000,19.7800,1.0000,0,0,193.32
T0232126,2022/06/15,2022/06/18,"Coen, John",Employee,To travel to/from constituency and Ottawa,2022/06/15,Markham,Ottawa,,,,,,,
T0232126,2022/06/15,2022/06/18,"Coen, John",Employee,To travel to/from constituency and Ottawa,2022/06/18,Ottawa,Toronto,,,,,,,
200582440,2022/07/01,2022/07/31,,,,,,,0.0000,2020.0000,0.0000,0,0,0,2020.00
200582440,2022/07/01,2022/07/31,"Jaczek, Hon. Helena",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0232129,2022/07/08,2022/07/15,,,,,,,83.4600,0.0000,0.0000,0.0000,0.0000,0,83.46
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,Attending event with Member,2022/07/08,Markham,Whitchurch-Stouffville,,,,,,,
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,Attending event with Member,2022/07/08,Whitchurch-Stouffville,Markham,,,,,,,
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,Attending event with Member,2022/07/09,Richmond Hill,Markham,,,,,,,
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,Attending event with Member,2022/07/09,Markham,Richmond Hill,,,,,,,
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,To conduct constituency office business,2022/07/11,Markham,East Gwillimbury,,,,,,,
T0232129,2022/07/08,2022/07/15,"Arcuri, Sabrina",Employee,To conduct constituency office business,2022/07/11,East Gwillimbury,Markham,,,,,,,
200590067,2022/08/01,2022/08/31,,,,,,,0.0000,2020.0000,0.0000,0,0,0,2020.00
200590067,2022/08/01,2022/08/31,"Jaczek, Hon. Helena",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
T0234055,2022/08/16,2022/08/18,,,,,,,0.0000,492.6800,39.3300,0,0.0000,0,532.01
T0234055,2022/08/16,2022/08/18,"Jaczek, Hon. Helena",Member,To attend a regional or provincial caucus meeting,2022/08/16,Markham,Niagara Falls,,,,,,,
T0234055,2022/08/16,2022/08/18,"Jaczek, Hon. Helena",Member,To attend a regional or provincial caucus meeting,2022/08/18,Niagara Falls,Markham,,,,,,,
200600099,2022/09/01,2022/09/30,,,,,,,0.0000,2020.0000,0.0000,0,0,0,2020.00
200600099,2022/09/01,2022/09/30,"Jaczek, Hon. Helena",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607390,2022/10/01,2022/10/31,,,,,,,0.0000,2020.0000,0.0000,0,0,0,2020.00
200607390,2022/10/01,2022/10/31,"Jaczek, Hon. Helena",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
