Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0235166,2022/05/19,2022/05/19,,,,,,,478.1000,0.0000,0.0000,0.5000,0,0,478.10
T0235166,2022/05/19,2022/05/19,"Duggan, Pamela",Employee,To travel to/from constituency and Ottawa,2022/05/19,Ottawa,Edmonton,,,,,,,
T0230861,2022/06/12,2022/06/17,,,,,,,2742.0400,1044.0100,277.9500,1.0000,0,0,4064.00
T0230861,2022/06/12,2022/06/17,"Kurek, Damien",Member,To travel to/from constituency and Ottawa,2022/06/12,Camrose,Ottawa,,,,,,,
T0230861,2022/06/12,2022/06/17,"Kurek, Damien",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Camrose,,,,,,,
T0232529,2022/06/14,2022/06/14,,,,,,,252.0400,0.0000,42.3600,0.0000,0,0,294.40
T0232529,2022/06/14,2022/06/14,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/14,Consort,Three Hills,,,,,,,
T0232529,2022/06/14,2022/06/14,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/14,Three Hills,Consort,,,,,,,
T0230962,2022/06/18,2022/06/20,,,,,,,239.2800,0.0000,125.9200,0.0000,0,0,365.20
T0230962,2022/06/18,2022/06/20,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/18,Camrose,Killam,,,,,,,
T0230962,2022/06/18,2022/06/20,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/18,Killam,Camrose,,,,,,,
T0230962,2022/06/18,2022/06/20,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/20,Camrose,Wainwright,,,,,,,
T0230962,2022/06/18,2022/06/20,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/20,Wainwright,Camrose,,,,,,,
T0231306,2022/06/19,2022/06/23,,,,,,,2485.5700,417.6100,231.3900,1.0000,0,0,3134.57
T0231306,2022/06/19,2022/06/23,"Kurek, Damien",Member,To travel to/from constituency and Ottawa,2022/06/21,Camrose,Ottawa,,,,,,,
T0231306,2022/06/19,2022/06/23,"Kurek, Damien",Member,To travel to/from constituency and Ottawa,2022/06/23,Ottawa,Camrose,,,,,,,
T0231787,2022/06/25,2022/06/29,,,,,,,994.3600,0.0000,210.4000,0.0000,0.0000,0,1204.76
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/25,Camrose,Wainwright,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/25,Wainwright,Camrose,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend meetings about constituency issues,2022/06/27,Camrose,Wainwright,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To conduct constituency office business,2022/06/27,Wainwright,Camrose,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To conduct constituency office business,2022/06/27,Camrose,Consort,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/28,Consort,Three Hills,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend a constituency or community event,2022/06/28,Three Hills,Consort,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend meetings with stakeholders about business of the House,2022/06/29,Consort,Dundurn,,,,,,,
T0231787,2022/06/25,2022/06/29,"Kurek, Damien",Member,To attend meetings with stakeholders about business of the House,2022/06/29,Dundurn,Consort,,,,,,,
T0232128,2022/07/01,2022/07/01,,,,,,,395.0400,0.0000,73.6100,0.0000,0,0,468.65
