Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0233069,2022/04/29,2022/07/06,,,,,,,104.4500,0.0000,0.0000,0.0000,0,0,104.45
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a conference,2022/04/29,Pointe-Claire,Montréal,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend meetings with stakeholders about business of the House,2022/07/06,Montréal,Pointe-Claire,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a conference,2022/04/29,Montréal,Pointe-Claire,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a constituency or community event,2022/05/12,Pointe-Claire,Sainte-Anne-de-Bellevue,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a constituency or community event,2022/05/12,Sainte-Anne-de-Bellevue,Pointe-Claire,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a conference,2022/05/18,Pointe-Claire,Sainte-Anne-de-Bellevue,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend a conference,2022/05/18,Sainte-Anne-de-Bellevue,Pointe-Claire,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend meetings with stakeholders about business of the House,2022/06/27,Pointe-Claire,Montréal,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend meetings with stakeholders about business of the House,2022/06/27,Montréal,Pointe-Claire,,,,,,,
T0233069,2022/04/29,2022/07/06,"Chartier, Alexa",Employee,To attend meetings with stakeholders about business of the House,2022/07/06,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,,,,,,,242.5400,0.0000,0.0000,0.0000,0,0,242.54
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/03,Sainte-Anne-de-Bellevue,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/24,Sainte-Anne-de-Bellevue,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/24,Pointe-Claire,Sainte-Anne-de-Bellevue,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/27,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/27,Montréal,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/27,Pointe-Claire,Kirkland,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/27,Kirkland,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Pointe-Claire,Sainte-Anne-de-Bellevue,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Sainte-Anne-de-Bellevue,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/03,Pointe-Claire,Sainte-Anne-de-Bellevue,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Pointe-Claire,Beaconsfield,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Beaconsfield,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Beaconsfield,Sainte-Anne-de-Bellevue,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/01,Sainte-Anne-de-Bellevue,Beaconsfield,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/07/06,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/07/06,Montréal,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/07/06,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/07/06,Montréal,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/06/28,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/06/28,Montréal,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/05,Pointe-Claire,Beaconsfield,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/07/11,Pointe-Claire,Montréal,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/07/11,Montréal,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/07/22,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings about constituency issues,2022/07/22,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/31,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/07/31,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/05,Beaconsfield,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend meetings with stakeholders about business of the House,2022/06/05,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/12,Pointe-Claire,Pointe-Claire,,,,,,,
T0233054,2022/06/03,2022/07/31,"Scarpaleggia, Francis",Member,To attend a constituency or community event,2022/06/12,Pointe-Claire,Pointe-Claire,,,,,,,
