Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0233340,2022/04/01,2022/08/05,,,,,,,0.0000,0.0000,3164.4600,0.0000,0,0,3164.46
T0233340,2022/04/01,2022/08/05,"Thompson, Joanne",Member,To travel to/from constituency and Ottawa,2022/04/01,Ottawa,St. John's,,,,,,,
T0233337,2022/04/24,2022/05/21,,,,,,,0.0000,5041.1800,0.0000,0,0,0,5041.18
T0233337,2022/04/24,2022/05/21,"Thompson, Joanne",Member,Secondary Residence,2022/04/24,Ottawa,Ottawa,,,,,,,
T0231869,2022/05/21,2022/06/24,,,,,,,0.0000,6807.9900,0.0000,0,0,0,6807.99
T0231869,2022/05/21,2022/06/24,"Thompson, Joanne",Member,Secondary Residence,2022/05/21,Ottawa,Ottawa,,,,,,,
T0233284,2022/06/10,2022/06/12,,,,,,,1329.5400,0.0000,103.3500,1.0000,0,0,1432.89
T0233284,2022/06/10,2022/06/12,"Thompson, Joanne",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,St. John's,,,,,,,
T0233284,2022/06/10,2022/06/12,"Thompson, Joanne",Member,To travel to/from constituency and Ottawa,2022/06/12,St. John's,Ottawa,,,,,,,
T0233230,2022/07/23,2022/08/01,,,,,,,1580.4600,1057.1900,468.1700,1.0000,0,0,3105.82
T0233230,2022/07/23,2022/08/01,"Knight, Colleen",Employee,To travel to/from constituency and Ottawa,2022/07/23,Ottawa,St. John's,,,,,,,
T0233230,2022/07/23,2022/08/01,"Knight, Colleen",Employee,To travel to/from constituency and Ottawa,2022/08/01,St. John's,Ottawa,,,,,,,
T0233251,2022/07/26,2022/07/30,,,,,,,1380.0200,1730.1300,310.0400,0,1.0000,0,3420.19
T0233251,2022/07/26,2022/07/30,"Knight, Colleen",Employee,Attending event with Member,2022/07/26,St. John's,Battle Harbour,,,,,,,
T0233248,2022/07/26,2022/07/30,,,,,,,1928.5300,395.3200,310.0400,0,1.0000,0,2633.89
T0233248,2022/07/26,2022/07/30,"Thompson, Joanne",Member,To attend a regional or provincial caucus meeting,2022/07/26,St. John's,Battle Harbour,,,,,,,
T0233250,2022/07/26,2022/07/30,,,,,,,1508.6800,0.0000,0.0000,0,1.0000,0,1508.68
T0233250,2022/07/26,2022/07/30,,Designated Traveller,Attending event with Member,2022/07/26,St. John's,Happy Valley-Goose Bay,,,,,,,
T0233250,2022/07/26,2022/07/30,,Designated Traveller,Attending event with Member,2022/07/30,Happy Valley-Goose Bay,St. John's,,,,,,,
T0233248,2022/07/26,2022/07/30,"Thompson, Joanne",Member,To attend a regional or provincial caucus meeting,2022/07/30,Battle Harbour,St. John's,,,,,,,
T0233251,2022/07/26,2022/07/30,"Knight, Colleen",Employee,To attend a regional or provincial caucus meeting,2022/07/30,Battle Harbour,St. John's,,,,,,,
