Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0230333,2022/06/06,2022/06/10,,,,,,,1036.0300,890.5100,127.4600,1.0000,0,0,2054.00
T0230333,2022/06/06,2022/06/10,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/06,Toronto,Ottawa,,,,,,,
T0230333,2022/06/06,2022/06/10,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,Toronto,,,,,,,
T0231490,2022/06/13,2022/06/17,,,,,,,34.7500,0.0000,0.0000,0,0.0000,0,34.75
T0231490,2022/06/13,2022/06/17,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/06/13,Ottawa,Ottawa,,,,,,,
T0230856,2022/06/13,2022/06/17,,,,,,,820.3300,874.0600,195.5800,1.0000,0,0,1889.97
T0230856,2022/06/13,2022/06/17,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/13,Toronto,Ottawa,,,,,,,
T0231490,2022/06/13,2022/06/17,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/06/16,Ottawa,Ottawa,,,,,,,
T0230856,2022/06/13,2022/06/17,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Toronto,,,,,,,
T0231797,2022/06/14,2022/06/17,,,,,,,785.8700,0.0000,0.0000,1.0000,0,0,785.87
T0231797,2022/06/14,2022/06/17,"Rakhra, Ajay",Employee,To travel to/from constituency and Ottawa,2022/06/14,Toronto,Ottawa,,,,,,,
T0231797,2022/06/14,2022/06/17,"Rakhra, Ajay",Employee,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Toronto,,,,,,,
T0232871,2022/06/16,2022/06/17,,,,,,,175.7800,0.0000,0.0000,0.0000,0,0,175.78
T0232871,2022/06/16,2022/06/17,"Ganesh, Nadina",Employee,To attend training,2022/06/16,Mississauga,Ottawa,,,,,,,
T0231217,2022/06/20,2022/06/24,,,,,,,812.9400,877.2100,116.6900,1.0000,0,0,1806.84
T0231217,2022/06/20,2022/06/24,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/20,Toronto,Ottawa,,,,,,,
T0231217,2022/06/20,2022/06/24,"Valdez, Rechie",Member,To travel to/from constituency and Ottawa,2022/06/24,Ottawa,Toronto,,,,,,,
T0232205,2022/06/24,2022/06/29,,,,,,,2310.3000,375.1300,21.3000,0,1.0000,0,2706.73
T0232205,2022/06/24,2022/06/29,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/06/24,Toronto,Winnipeg,,,,,,,
T0232205,2022/06/24,2022/06/29,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/06/29,Edmonton,Toronto,,,,,,,
T0233459,2022/08/05,2022/08/07,,,,,,,2194.5100,283.1700,84.7200,0,1.0000,0,2562.40
T0233459,2022/08/05,2022/08/07,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/08/05,Toronto,Saskatoon,,,,,,,
T0233459,2022/08/05,2022/08/07,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/08/07,Saskatoon,Toronto,,,,,,,
T0235009,2022/08/17,2022/08/19,,,,,,,44.6400,504.2700,175.8000,0,0.0000,0,724.71
T0235009,2022/08/17,2022/08/19,"Valdez, Rechie",Member,To attend a regional or provincial caucus meeting,2022/08/17,Mississauga,Niagara,,,,,,,
T0234572,2022/08/26,2022/08/27,,,,,,,814.2100,175.1500,47.3800,0,1.0000,0,1036.74
T0234572,2022/08/26,2022/08/27,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/08/26,Toronto,Montreal,,,,,,,
T0234572,2022/08/26,2022/08/27,"Valdez, Rechie",Member,To attend meetings with stakeholders about business of the House,2022/08/27,Montreal,Toronto,,,,,,,
T0234635,2022/08/28,2022/09/02,,,,,,,887.0600,1083.0200,428.6700,0,0.0000,0,2398.75
T0234635,2022/08/28,2022/09/02,"Valdez, Rechie",Member,To attend language training,2022/08/28,Toronto,Quebec City,,,,,,,
T0234635,2022/08/28,2022/09/02,"Valdez, Rechie",Member,To attend language training,2022/09/02,Quebec City,Toronto,,,,,,,
T0235010,2022/09/07,2022/09/11,,,,,,,656.6000,0.0000,0.0000,1.0000,0,0,656.60
T0235010,2022/09/07,2022/09/11,"Campbell, Matthew",Employee,To travel to/from constituency and Ottawa,2022/09/07,Ottawa,Toronto,,,,,,,
T0235010,2022/09/07,2022/09/11,"Campbell, Matthew",Employee,To travel to/from constituency and Ottawa,2022/09/11,Toronto,Ottawa,,,,,,,
