Supplier,Description,Date,Total
SPORTS SCENE PUBLICATIONS INC,Advertising,2022/08/30,225.00
Amazon,Office Equipment,2022/08/31,54.99
Amazon,"Office Supplies, Stationery and Accessories",2022/08/31,32.94
Servus Credit Union,Banking Fees and Cheque Orders,2022/08/31,8.75
"Udemy, Inc",Professional Development and Training for Members' Employees,2022/08/31,162.89
A-1 Storage,Storage and Warehousing,2022/09/01,75.00
Amazon,Computer Equipment,2022/09/06,89.95
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/09/12,95.00
Parliamentary Boutique,Gifts given as a matter of protocol,2022/09/21,25.20
Best Shredding,Shredding,2022/09/26,34.46
Home Depot,"Office Supplies, Stationery and Accessories",2022/09/27,9.84
Black Press Group Ltd.,Advertising,2022/09/30,980.75
Grand & Toy,Digital Communication Equipment,2022/09/30,20.61
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/09/30,23.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,119.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,33.38
A-1 Storage,Storage and Warehousing,2022/10/01,75.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,52.00
House of Commons / Chambre des communes,Office Rental,2022/10/03,3.03
Costco,Office Furniture and Fixtures,2022/10/04,199.98
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/10/05,61.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/10/05,115.00
Zoom,Image/Video Communications Services,2022/10/05,200.00
Canadian Camera Service Centre,Photography and Video Services,2022/10/06,22.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/10/12,95.00
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/10/20,104.88
SPORTS SCENE PUBLICATIONS INC,Advertising,2022/10/20,175.00
Servus Credit Union,Banking Fees and Cheque Orders,2022/10/21,3.75
Grand & Toy,"Freight, Express and Cartage",2022/10/31,8.61
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,229.13
A-1 Storage,Storage and Warehousing,2022/11/01,75.00
Phantom Farms 2021 Ltd.,Office Rental Related Fees,2022/11/01,912.80
Phantom Farms 2021 Ltd.,Office Rental,2022/11/01,1089.81
Alberta Native News,Advertising,2022/11/03,167.50
ECA Review,Advertising,2022/11/03,196.50
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/11/05,115.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/11/05,61.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/11/08,86.23
Canada Post – Postes Canada,Courier Services,2022/11/09,39.97
Canada Post – Postes Canada,Courier Services,2022/11/09,25.10
Strand 360,Gifts given as a matter of protocol,2022/11/09,201.98
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/11/11,183.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/11/12,95.00
Stingray Radio Inc.,Advertising,2022/11/13,490.00
Stingray Radio Inc.,Advertising,2022/11/13,480.00
Canada Post – Postes Canada,Courier Services,2022/11/14,178.48
Canada Post – Postes Canada,Courier Services,2022/11/15,34.84
Canada Post – Postes Canada,Courier Services,2022/11/15,21.80
Canada Post – Postes Canada,Courier Services,2022/11/15,23.70
Canada Post – Postes Canada,Courier Services,2022/11/15,177.93
BETH RICHARDSON (CHAUTAUQUA),Advertising,2022/11/16,115.00
SPORTS SCENE PUBLICATIONS INC,Advertising,2022/11/21,175.00
Touch Canada Broadcasting Inc,Advertising,2022/11/27,353.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/11/28,291.99
Black Press Group Ltd.,Advertising,2022/11/30,1834.37
Blackgold Radio Inc.,Advertising,2022/11/30,225.00
CFDV-FM,Advertising,2022/11/30,400.00
CHUB-FM a Div. of Jim Pattison Broadcasting,Advertising,2022/11/30,400.00
Golden West Broadcasting Ltd.,Advertising,2022/11/30,306.00
Phantom Farms 2021 Ltd.,Office Rental,2022/12/01,1089.81
Phantom Farms 2021 Ltd.,Office Rental Related Fees,2022/12/01,912.80
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/12/05,115.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/12/05,61.00
Phantom Farms 2021 Ltd.,Office Rental Related Fees,2023/01/01,912.80
Phantom Farms 2021 Ltd.,Office Rental,2023/01/01,1089.81
