Supplier,Description,Date,Total
Canva US Inc,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/10,128.23
Make a wish - Benefit Show,Advertising,2022/04/03,200.00
Zoom Video Communications Inc,Image/Video Communications Services,2022/06/20,20.00
Adobe Inc,Computer Software and Licenses,2022/06/29,38.99
Post Media - Norfolk and Tillsonburg News,Advertising,2022/06/30,110.00
Zoom Video Communications Inc,Image/Video Communications Services,2022/07/20,20.00
The Haldimand Press 2017 Inc.,Advertising,2022/07/28,48.00
Adobe Inc,Computer Software and Licenses,2022/07/30,38.99
Port Rowan Good News,Advertising,2022/08/08,53.00
Superstore,Spring Water,2022/08/17,9.87
Zoom Video Communications Inc,Image/Video Communications Services,2022/08/20,20.00
Haldimand Press,Advertising,2022/08/26,48.00
Adobe Inc,Computer Software and Licenses,2022/08/30,38.99
Post Media - Norfolk and Tillsonburg News,Advertising,2022/08/31,110.00
Sticker-it Signs and Graphics,Advertising,2022/09/01,124.17
Sobeys,"Office Supplies, Stationery and Accessories",2022/09/07,23.40
Eastlink,Constituency Office Internet,2022/09/17,114.95
Zoom Video Communications Inc,Image/Video Communications Services,2022/09/20,20.00
Staples,"Office Supplies, Stationery and Accessories",2022/09/21,74.98
Amazon.ca,Office Decor,2022/09/27,43.17
Amazon,"Office Supplies, Stationery and Accessories",2022/09/28,18.86
Adobe Inc,Computer Software and Licenses,2022/09/29,38.99
Canadian Tire,Cleaning Products,2022/09/29,9.99
Dollar Tree,"Office Supplies, Stationery and Accessories",2022/09/29,3.00
Home Hardware,Office Decor,2022/09/29,92.33
Staples,"Office Supplies, Stationery and Accessories",2022/09/29,48.32
TD Bank,Banking Fees and Cheque Orders,2022/09/29,19.00
Winners,"Office Supplies, Stationery and Accessories",2022/09/29,14.99
Grand & Toy,Cleaning Products,2022/09/30,5.50
Pais Farms Inc,Gifts given as a matter of protocol,2022/09/30,160.00
The Haldimand Press 2017 Inc,Advertising,2022/09/30,353.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,43.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,2.31
Sobeys,Office Decor,2022/10/03,32.47
Sticker-It Signs Graphics Print,Signage,2022/10/03,142.02
Walmart,"Office Supplies, Stationery and Accessories",2022/10/03,9.97
Staples Canada,"Office Supplies, Stationery and Accessories",2022/10/05,60.29
Twitter,Computer Software and Licenses,2022/10/05,6.49
Pais Farms Inc,Gifts given as a matter of protocol,2022/10/10,800.00
Sobeys,Cleaning Products,2022/10/11,15.98
The Source,"Office Supplies, Stationery and Accessories",2022/10/11,12.99
Eastlink,Constituency Office Internet,2022/10/17,114.95
MailerLite,Professional Communication Services,2022/10/19,55.22
Zoom Video Communications Inc,Image/Video Communications Services,2022/10/20,20.00
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/10/28,22.05
Adobe Inc,Computer Software and Licenses,2022/10/30,38.99
TD Bank,Banking Fees and Cheque Orders,2022/10/31,22.00
2273925 ONTARIO INC.,Office Rental,2022/11/01,2772.91
Twitter,"Printed Matter, Books, Newspapers and Subscriptions",2022/11/05,6.49
Canada Post – Postes Canada,Courier Services,2022/11/09,14.39
Staples,"Office Supplies, Stationery and Accessories",2022/11/10,9.99
Eastlink,Constituency Office Internet,2022/11/17,117.72
MailerLite,Professional Communication Services,2022/11/19,41.25
Zoom Video Communications Inc,Image/Video Communications Services,2022/11/20,20.00
Canadian Tire,Office Decor,2022/11/24,119.96
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/11/24,119.76
Canadian Tire,Office Plants and Flowers,2022/11/24,37.98
Adobe Inc,Computer Software and Licenses,2022/11/29,38.99
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/11/29,9.95
Staples,"Postage, Parcel Post and Courier Services",2022/11/29,46.56
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/11/30,612.91
2273925 ONTARIO INC.,Office Rental,2022/12/01,2772.91
Dollarama,Office Decor,2022/12/02,3.50
Canadian Tire,Office Decor,2022/12/03,99.32
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/12/03,124.91
Canadian Tire,Office Decor,2022/12/05,58.89
Twitter,"Printed Matter, Books, Newspapers and Subscriptions",2022/12/05,6.49
2273925 ONTARIO INC.,Office Rental,2023/01/01,2828.38
