Supplier,Description,Date,Total
Great River Media Inc.,Advertising,2022/04/01,600.00
"Oscar, The",Advertising,2022/04/02,140.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/01,92.86
"Oscar, The",Advertising,2022/06/01,140.00
Great River Media Inc.,Advertising,2022/06/06,600.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/06/22,5.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/06/23,10.03
Capital Pride / La fierté dans la Capitale,Advertising,2022/06/30,145.83
"Oscar, The",Advertising,2022/07/01,140.00
Great River Media Inc.,Advertising,2022/07/04,600.00
Ottawa Community Sport Media Team,Advertising,2022/08/22,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/09/02,143.06
Kapwing,Captioning and Interpretation Services,2022/09/04,30.47
"Oscar, The",Advertising,2022/09/05,145.00
Zoom,Image/Video Communications Services,2022/09/07,20.00
Zoom,Image/Video Communications Services,2022/09/13,20.00
BELL CANADA,Constituency Office Internet,2022/09/14,134.95
Glebe Report Association,Advertising,2022/09/16,235.00
amCreative,Professional Communication Services,2022/09/23,100.00
Choice Communication (Canada) Ltd.,Advertising,2022/09/23,150.00
Stapes,"Office Supplies, Stationery and Accessories",2022/09/26,42.78
cn2i - Coopérative Nationale de l information Indépendante,Advertising,2022/09/27,149.38
Staples,"Office Supplies, Stationery and Accessories",2022/09/29,67.06
Dollarama,"Office Supplies, Stationery and Accessories",2022/09/30,12.03
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,152.01
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,122.06
Black Ottawa Scene,Advertising,2022/10/01,50.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/01,151.79
Dollarama,"Framing, Outside Supplier",2022/10/01,4.25
ECO LATINO,Advertising,2022/10/01,160.00
Great River Media Inc.,Advertising,2022/10/03,600.00
Jewish Federation of Ottawa,Advertising,2022/10/04,118.00
Kapwing,Captioning and Interpretation Services,2022/10/04,30.47
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/04,149.39
Staples Canada,"Office Supplies, Stationery and Accessories",2022/10/04,105.65
Arab Canada Newspaper,Advertising,2022/10/07,300.00
Zoom,Image/Video Communications Services,2022/10/07,20.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/10/11,14.58
Dollarama,"Office Supplies, Stationery and Accessories",2022/10/13,25.08
Dollarama,Office Decor,2022/10/13,14.83
Impact Hub,Public Meeting Room Rentals,2022/10/13,465.00
"Mainstreeter, The",Advertising,2022/10/13,121.00
Staples Canada,"Office Supplies, Stationery and Accessories",2022/10/13,24.17
Zoom,Image/Video Communications Services,2022/10/13,20.00
Bell Canada,Constituency Office Internet,2022/10/14,134.95
Centretown Buzz,Advertising,2022/10/14,370.00
Glebe Report Association,Advertising,2022/10/14,235.00
amCreative,Professional Communication Services,2022/10/18,300.00
Dollarama,"Framing, Outside Supplier",2022/10/19,4.25
Apple,Voice Communication Equipment,2022/10/20,25.00
COWPER MARKETING GROUP,Advertising,2022/10/21,799.00
Jewish Federation of Ottawa,Advertising,2022/10/27,118.00
Sooter's,"Framing, Outside Supplier",2022/10/27,27.99
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/28,165.59
"DONATUCCI, ROMEO",Office Rental,2022/11/01,2517.70
"Oscar, The",Advertising,2022/11/01,145.00
InTouch Braille,External Printing Costs,2022/11/02,137.90
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/11/02,146.23
Black Ottawa Scene,Advertising,2022/11/03,50.00
Tiny Hearts Magazine,Advertising,2022/11/03,106.25
Kapwing,Captioning and Interpretation Services,2022/11/04,30.47
cn2i - Coopérative Nationale de l'information Indépendante,Advertising,2022/11/05,99.54
Great River Media Inc.,Advertising,2022/11/07,600.00
Zoom,Computer Software and Licenses,2022/11/07,20.00
Apple,Image/Video Communications Services,2022/11/08,3.99
Arab Canada Newspaper,Advertising,2022/11/10,300.00
BELL CANADA,Constituency Office Internet,2022/11/14,134.95
Carleton University,Insurance Premiums,2022/11/15,4.46
Grand & Toy,Bulk Paper Purchases,2022/11/30,55.80
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/11/30,974.68
"DONATUCCI, ROMEO",Office Rental,2022/12/01,2517.70
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/12/02,144.77
House of Commons / Chambre des communes,External Printing Costs,2022/12/13,456.00
"DONATUCCI, ROMEO",Office Rental,2023/01/01,2517.70
