Supplier,Description,Date,Total
Culligan Water,Spring Water,2022/08/09,42.50
Culligan Water,Spring Water,2022/08/11,15.00
Shaw Cable,Members’ Primary Residence Internet,2022/09/08,91.00
Chapters Crowfoot,"Office Supplies, Stationery and Accessories",2022/09/09,87.48
Walmart,"Office Supplies, Stationery and Accessories",2022/09/09,32.95
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/09/10,86.23
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/09/16,1066.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/09/20,183.00
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/09/21,10.99
Grand & Toy,Other Consumable Supplies From Stores,2022/09/30,13.89
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/09/30,15.28
Grand & Toy,Cleaning Products,2022/09/30,44.11
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,79.92
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,13.65
Security Depot,Protection and Alarm Monitoring (Member's Office Budget),2022/10/01,98.85
Culligan Water,Spring Water,2022/10/03,15.00
Shaw Communication,Members’ Primary Residence Internet,2022/10/08,91.00
Wild About Flowers,Gifts given as a matter of protocol,2022/10/18,84.50
1000163866 Ontario Ltd.,Communications Officer,2022/10/25,4000.00
Grand & Toy,Cleaning Products,2022/10/31,48.44
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,458.26
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/10/31,48.61
Culligan Water,Spring Water,2022/11/01,15.00
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental Related Fees,2022/11/01,1577.65
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental,2022/11/01,3098.33
Shaw Communications,Members’ Primary Residence Internet,2022/11/08,91.00
Canada Post – Postes Canada,Courier Services,2022/11/09,64.65
Canada Post – Postes Canada,Courier Services,2022/11/15,15.23
Canada Post – Postes Canada,Courier Services,2022/11/15,13.34
Staples,"Office Supplies, Stationery and Accessories",2022/11/17,17.91
Grammarly Premium,Computer Software and Licenses,2022/11/29,182.80
Grand & Toy,Other Consumable Supplies From Stores,2022/11/30,38.98
Grand & Toy,Cleaning Products,2022/11/30,37.01
Grand & Toy,Cleaning Products,2022/11/30,13.47
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/11/30,16.80
Culligan Water,Spring Water,2022/12/01,15.00
Culligan Water,Spring Water,2022/12/01,24.00
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental,2022/12/01,3098.33
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental Related Fees,2022/12/01,1577.65
House of Commons / Chambre des communes,External Printing Costs,2022/12/13,870.00
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental,2023/01/01,3098.33
Riverpark Properties Ltd ITF Arcuri Development Corp.,Office Rental Related Fees,2023/01/01,1577.65
