Supplier,Description,Date,Total
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/01,92.85
La Tribune Canadienne Grecque 1990 Ltée,Advertising,2022/07/05,50.00
Foire du Vieux-Sainte-Rose,Advertising,2022/08/16,500.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/09/02,143.05
"SUBURBAN, THE",Advertising,2022/09/21,100.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/09/23,57.98
Entretien Ménager AV,Janitorial Services and Maintenance,2022/09/27,300.00
2M.Media,Advertising,2022/09/29,360.50
Fonds 1804 pour la persévérance scolaire,Advertising,2022/09/29,200.00
ALPA,Advertising,2022/09/30,100.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/09/30,56.23
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/09/30,458.26
Papeterie St-Sauveur,"Office Supplies, Stationery and Accessories",2022/09/30,17.45
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,96.11
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,3.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/10/01,4.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,153.38
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/01,151.79
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/04,149.39
BELL CANADA,Constituency Office Cable,2022/10/05,92.90
AQDR,Advertising,2022/10/07,25.00
BELL CANADA,Constituency Office Internet,2022/10/10,160.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2022/10/15,83.95
ENSEMBLE VOCAL ARTÉMIS,Advertising,2022/10/17,125.00
Amaro,Spring Water,2022/10/19,15.00
Radio Humsafar,Advertising,2022/10/26,45.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/28,165.59
Entretien Ménager AV,Janitorial Services and Maintenance,2022/10/31,500.00
AQDR,Advertising,2022/11/01,25.00
"Immeubles Lussier & Fortin inc., Les",Office Rental,2022/11/01,2422.05
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/11/02,146.23
BELL CANADA,Constituency Office Cable,2022/11/05,92.90
Canada Post – Postes Canada,Courier Services,2022/11/09,10.34
Canada Post – Postes Canada,Courier Services,2022/11/09,7.26
Canada Post – Postes Canada,Courier Services,2022/11/09,8.75
Canada Post – Postes Canada,Courier Services,2022/11/09,12.74
BELL CANADA,Constituency Office Internet,2022/11/10,160.00
Opéra bouffe du Québec,Advertising,2022/11/10,100.00
2M.Media,Advertising,2022/11/11,466.10
Canada Post – Postes Canada,Courier Services,2022/11/14,7.29
Canada Post – Postes Canada,Courier Services,2022/11/15,6.84
Canada Post – Postes Canada,Courier Services,2022/11/15,8.78
Canada Post – Postes Canada,Courier Services,2022/11/15,8.27
Canada Post – Postes Canada,Courier Services,2022/11/15,11.35
Assurances Groupe Vézina,Constituency Office Insurance,2022/11/16,1746.30
Assurances Groupe Vézina,Constituency Office Insurance,2022/11/16,1746.30
Choeur Chante-Clair,Advertising,2022/11/21,300.00
ALTA,Advertising,2022/11/22,30.00
"Fondation Culture et Arts Visuels de Laval, la",Advertising,2022/11/23,500.00
FADOQ-Région Laval,Advertising,2022/11/24,250.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2022/11/29,77.19
Entretien Ménager AV,Janitorial Services and Maintenance,2022/11/29,400.00
"Immeubles Lussier & Fortin inc., Les",Office Rental,2022/12/01,2422.05
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/12/02,144.77
AQDR,Advertising,2022/12/05,25.00
Cittadino Canadese,Advertising,2022/12/13,60.00
Filipino Star,Advertising,2022/12/14,67.50
"SUBURBAN, THE",Advertising,2022/12/15,100.00
Metro Media,Advertising,2022/12/17,62.50
"Immeubles Lussier & Fortin inc., Les",Office Rental,2023/01/01,2470.49
