Supplier,Description,Date,Total
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/01,92.85
ASIAN WORLD TODAY INC.,Advertising,2022/07/04,600.00
Parvasi Weekly Inc.,Advertising,2022/07/04,500.00
Choice Communication (Canada) Ltd.,Advertising,2022/07/18,61.39
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,51.75
"METERGY SOLUTIONS ",Public Utilities,2022/08/09,720.63
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/08/11,610.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/08/13,86.23
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/08/24,86.23
Choice Communication (Canada) Ltd.,Advertising,2022/08/25,31.02
ROGERS,Constituency Office Cable,2022/08/31,141.72
ROGERS,Constituency Office Internet,2022/08/31,186.16
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/08/31,570.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/09/02,143.05
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/09/30,34.72
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,0.82
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,330.94
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,24.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/01,151.79
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/04,149.39
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/10/20,61.34
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/28,165.59
Grand & Toy,Cleaning Products,2022/10/31,61.60
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,287.98
Grand & Toy,Digital Communication Equipment,2022/10/31,44.25
13092852 Canada Inc.,Office Rental Related Fees,2022/11/01,1892.06
13092852 Canada Inc.,Office Rental,2022/11/01,2348.08
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/11/02,146.23
Canada Post – Postes Canada,Courier Services,2022/11/14,10.80
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/11/30,1145.65
13092852 Canada Inc.,Office Rental,2022/12/01,2348.08
13092852 Canada Inc.,Office Rental Related Fees,2022/12/01,1892.06
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/12/02,144.77
13092852 Canada Inc.,Office Rental,2023/01/01,2378.98
13092852 Canada Inc.,Office Rental Related Fees,2023/01/01,1892.06
