Supplier,Description,Date,Total
Telus,Protection and Alarm Monitoring (Member's Office Budget),2022/08/02,1.48
"Elk Ridge Resort ",Public Meeting Room Rentals,2022/08/22,117.41
Elk Ridge Resort,Public Meeting Room Rentals,2022/08/23,113.57
"101172441 Sask. Ltd. ",Advertising,2022/09/03,260.00
Foam Lake Review Ltd,Advertising,2022/09/05,511.50
Canada Post,"Postage, Parcel Post and Courier Services",2022/09/06,23.49
WYNYARD ADVANCE,Advertising,2022/09/08,604.50
"Staples ","Office Supplies, Stationery and Accessories",2022/09/26,139.88
Telus,Protection and Alarm Monitoring (Member's Office Budget),2022/09/27,1.75
"Pierce, Jeffrey",Communications Officer,2022/09/28,2000.00
"Pierce, Jeffrey",Communications Officer,2022/09/28,2000.00
"Culligan ",Spring Water,2022/09/30,11.25
"Culligan ",Spring Water,2022/09/30,13.60
TD - Canada Trust,Banking Fees and Cheque Orders,2022/09/30,23.81
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,11.07
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,116.22
"Access Communications Co-Op ",Constituency Office Cable,2022/10/01,169.45
"Access Communications Co-Operative ",Constituency Office Cable,2022/10/01,79.45
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,165.10
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/10/01,52.45
Bell Mobility – Bell Mobilité,Long Distance,2022/10/01,6.96
Lindsay Hoemsen Creative Services,Photography and Video Services,2022/10/03,265.00
Staples,"Office Supplies, Stationery and Accessories",2022/10/04,113.40
Forum Media,Advertising,2022/10/06,95.00
Sask Energy,Public Utilities,2022/10/11,44.70
Sask Power,Public Utilities,2022/10/11,115.44
Kapwing Pro,Web Site Hosting/Domain Name,2022/10/17,24.00
SLK Maintenance,Janitorial Services and Maintenance,2022/10/20,265.00
Koallo,Web Site Hosting/Domain Name,2022/10/21,249.00
Telus,Protection and Alarm Monitoring (Member's Office Budget),2022/10/25,3.52
Grasslands News Group,Advertising,2022/10/27,75.00
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2022/10/27,108.07
Culligan Stewart Water Cond. Ltd.,Spring Water,2022/10/31,13.73
Culligan Stewart Water Cond. Sk. Ltd.,Spring Water,2022/10/31,11.35
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,1943.02
"TD - Canada Trust ",Banking Fees and Cheque Orders,2022/10/31,17.95
101108364 SASK LTD.,Office Rental,2022/11/01,900.00
Access Communications,Constituency Office Cable,2022/11/01,79.45
Access Communications,Constituency Office Internet,2022/11/01,169.45
Niesner Properties Inc.,Office Rental Related Fees,2022/11/01,515.00
Niesner Properties Inc.,Office Rental,2022/11/01,1495.00
Custom Pack & Ship,"Postage, Parcel Post and Courier Services",2022/11/03,366.00
Foam Lake Review Ltd,Advertising,2022/11/07,143.25
Sask Energy,Public Utilities,2022/11/08,130.27
SaskPower,Public Utilities,2022/11/08,113.55
Staples Canada,"Office Supplies, Stationery and Accessories",2022/11/08,127.19
Zoom Video Communications Inc,Image/Video Communications Services,2022/11/08,22.20
WYNYARD ADVANCE,Advertising,2022/11/09,184.38
Forum Media,Advertising,2022/11/10,132.00
GRASSLANDS NEWS GROUP,Advertising,2022/11/11,150.00
Chabad-Lubavitch of Regina,Advertising,2022/11/14,225.00
Canada Post – Postes Canada,Courier Services,2022/11/15,38.17
"Kapwing Inc. ",Web Site Hosting/Domain Name,2022/11/17,24.00
"Pierce, Jeffrey",Communications Officer,2022/11/17,2000.00
SLK Maintenance,Janitorial Services and Maintenance,2022/11/21,265.00
101172441 Saskatchewan Ltd.,Advertising,2022/11/27,40.00
Culligan Stewart Water Cond. SK,Spring Water,2022/11/30,13.60
Culligan Stewart Water Cond. Sk. Ltd,Spring Water,2022/11/30,11.35
TD-Canada Trust,Banking Fees and Cheque Orders,2022/11/30,18.12
101108364 SASK LTD.,Office Rental,2022/12/01,900.00
Access Communications Co-Operative Ltd.,Constituency Office Cable,2022/12/01,79.45
"Access Communications Ltd. ",Constituency Office Internet,2022/12/01,169.45
Niesner Properties Inc.,Office Rental,2022/12/01,1495.00
Niesner Properties Inc.,Office Rental Related Fees,2022/12/01,515.00
Pilot Butte News & Views,Advertising,2022/12/06,45.00
Staples Canada,"Office Supplies, Stationery and Accessories",2022/12/07,65.13
"Pierce, Jeffrey",Communications Officer,2022/12/12,2000.00
Niesner Properties Inc.,Office Rental Related Fees,2023/01/01,515.00
Niesner Properties Inc.,Office Rental,2023/01/01,1495.00
