Supplier,Description,Date,Total
SNQ Richelieu-Saint-Laurent,"Office Supplies, Stationery and Accessories",2021/04/08,1200.95
Le marché bio-local,Advertising,2022/03/03,434.88
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/04/17,91.00
SEMAINIER PAROISSIAL,Advertising,2022/05/17,310.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/05/17,91.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/06/17,80.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/07/17,80.00
SEMAINIER PAROISSIAL,Advertising,2022/08/03,310.00
Club Idéal,Advertising,2022/08/17,150.00
Riverains du Collège Charles-Lemoyne,Advertising,2022/08/17,500.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/08/17,80.00
Association de Hockey Mineur du Roussillon,Advertising,2022/08/25,250.00
Excellence Sportive Montérégie,Advertising,2022/08/25,500.00
La Maison Lavande,Office Decor,2022/08/31,65.85
Fleuriste Rive Sud,Gifts given as a matter of protocol,2022/09/01,120.99
Gestion Dominick Cordeau,Janitorial Services and Maintenance,2022/09/06,845.00
Événements spéciaux Saint-Mathieu,Advertising,2022/09/15,500.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/09/17,80.00
Distribution SG,Spring Water,2022/09/22,30.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/09/23,89.95
Vidéotron s.e.n.c,Constituency Office Cable,2022/09/23,44.85
CLUB OPTIMISTE LA PRAIRIE INC.,Advertising,2022/09/24,500.00
FIZZ,Employees’ Primary Residence Internet (COVID-19),2022/09/24,50.00
Société d'histoire de La Prairie-de-la-Magdeleine,Advertising,2022/09/24,500.00
Société d'histoire de La Prairie-de-la-Magdeleine,Gifts given as a matter of protocol,2022/09/25,125.00
Ligue de Soccer de la Voie Maritime,Advertising,2022/09/28,250.00
Ligue de Soccer de la Voie Maritime,Advertising,2022/09/28,250.00
"Banque Laurentienne ",Banking Fees and Cheque Orders,2022/09/30,31.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,7.42
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,42.48
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,191.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/10/01,51.00
Gestion Dominick Cordeau,Janitorial Services and Maintenance,2022/10/08,325.00
Régie intermunicipale d'incendie de Saint-Constant et Sainte-Catherine,Advertising,2022/10/11,600.00
Régie Intermunicipale d'Incendie de Saint-Constant et Sainte-Catherine,Advertising,2022/10/11,600.00
Groupe Lavoie Inc,Advertising,2022/10/12,500.00
HYDRO QUÉBEC,Public Utilities,2022/10/13,401.69
"Aristocrate Fleuriste Inc, L'",Gifts given as a matter of protocol,2022/10/18,70.00
Chambre de Commerce et d'Industrie du Grand Roussillon,Advertising,2022/10/18,500.00
Cercle des amis de Bernard Landry,Advertising,2022/10/19,400.00
Vidéotron s.e.n.c,Constituency Office Cable,2022/10/21,44.85
Vidéotron s.e.n.c,Constituency Office Internet,2022/10/21,57.45
ARAMO,Advertising,2022/10/24,300.00
Événements spéciaux Saint-Mathieu,Advertising,2022/10/24,500.00
FIZZ,Employees’ Primary Residence Internet (COVID-19),2022/10/24,50.00
"Énergir, s.e.c.",Public Utilities,2022/10/25,17.14
"Énergir, s.e.c.",Public Utilities,2022/10/25,47.23
SNQ Richelieu-Saint-Laurent,Gifts given as a matter of protocol,2022/10/25,90.00
Banque Laurentienne,Banking Fees and Cheque Orders,2022/10/31,10.50
"Bureau en gros ",Computer Equipment,2022/10/31,63.16
Faubourg Delson,Office Rental Related Fees,2022/11/01,725.92
Faubourg Delson,Office Rental,2022/11/01,1870.17
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/11/02,105.00
VILLE DE SAINTE-CATHERINE,Advertising,2022/11/10,500.00
Bureau en Gros,"Office Supplies, Stationery and Accessories",2022/11/12,101.98
FONDATION ANNA-LABERGE,Advertising,2022/11/14,500.00
Instapresse Inc.,Signage,2022/11/15,480.00
Walmart,Computer Equipment,2022/11/16,119.48
Walmart,"Office Supplies, Stationery and Accessories",2022/11/16,34.98
COSTCO,Gifts given as a matter of protocol,2022/11/17,69.99
Vidéotron s.e.n.c,Constituency Office Cable,2022/11/18,44.85
Vidéotron s.e.n.c,Constituency Office Internet,2022/11/18,74.95
"Énergir, s.e.c.",Public Utilities,2022/11/21,151.45
FIZZ,Employees’ Primary Residence Internet (COVID-19),2022/11/24,50.00
Maison d'Hébergement l'Égide,Advertising,2022/11/24,500.00
FCHO,Advertising,2022/11/28,500.00
DJAM,Advertising,2022/11/29,500.00
VILLE DE SAINTE-CATHERINE,Advertising,2022/11/30,500.00
CSR Roussillon (OSQ),Advertising,2022/12/01,500.00
Faubourg Delson,Office Rental,2022/12/01,1870.17
Faubourg Delson,Office Rental Related Fees,2022/12/01,725.92
Club Idéal,Advertising,2022/12/04,250.00
CJE- Carrefour Jeunesse Emploi Roussillon,Advertising,2022/12/08,500.00
Faubourg Delson,Office Rental,2023/01/01,1870.17
Faubourg Delson,Office Rental Related Fees,2023/01/01,725.92
