Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0237132,2022/09/01,2022/09/30,,,,,,,59.7900,0.0000,0.0000,0.0000,0,0,59.79
T0237132,2022/09/01,2022/09/30,"Lemire, Marlène",Employee,To attend a constituency or community event,2022/09/01,Drummondville,Drummondville,,,,,,,
T0237132,2022/09/01,2022/09/30,"Lemire, Marlène",Employee,To attend a constituency or community event,2022/09/22,Drummondville,Drummondville,,,,,,,
T0237132,2022/09/01,2022/09/30,"Lemire, Marlène",Employee,To attend a constituency or community event,2022/09/23,Drummondville,Drummondville,,,,,,,
T0237132,2022/09/01,2022/09/30,"Lemire, Marlène",Employee,To attend a constituency or community event,2022/09/24,Drummondville,Drummondville,,,,,,,
T0237132,2022/09/01,2022/09/30,"Lemire, Marlène",Employee,To attend a constituency or community event,2022/09/30,Drummondville,Drummondville,,,,,,,
T0235891,2022/09/19,2022/09/23,,,,,,,311.4000,0.0000,516.7400,1.0000,0,0,828.14
T0235891,2022/09/19,2022/09/23,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/09/19,Drummondville,Ottawa,,,,,,,
T0235891,2022/09/19,2022/09/23,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/09/23,Ottawa,Drummondville,,,,,,,
T0237122,2022/09/20,2022/09/20,,,,,,,8.5400,0.0000,0.0000,0.0000,0,0,8.54
T0237122,2022/09/20,2022/09/20,"Béliveau, Andrée-Anne",Employee,To attend a constituency or community event,2022/09/20,Drummondville,Drummondville,,,,,,,
T0236884,2022/10/02,2022/10/07,,,,,,,320.5800,0.0000,396.7900,1.0000,0,0,717.37
T0236884,2022/10/02,2022/10/07,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/03,Drummondville,Ottawa,,,,,,,
T0236884,2022/10/02,2022/10/07,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/06,Ottawa,Drummondville,,,,,,,
T0237121,2022/10/03,2022/10/03,,,,,,,317.4400,0.0000,0.0000,1.0000,0,0,317.44
T0237121,2022/10/03,2022/10/03,"Béliveau, Andrée-Anne",Employee,To travel to/from constituency and Ottawa,2022/10/03,Drummondville,Ottawa,,,,,,,
T0237121,2022/10/03,2022/10/03,"Béliveau, Andrée-Anne",Employee,To travel to/from constituency and Ottawa,2022/10/03,Ottawa,Drummondville,,,,,,,
T0237685,2022/10/16,2022/10/21,,,,,,,641.1600,0.0000,345.3100,2.0000,0,0,986.47
T0237685,2022/10/16,2022/10/21,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/16,Drummondville,Ottawa,,,,,,,
T0237685,2022/10/16,2022/10/21,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/18,Ottawa,Drummondville,,,,,,,
T0237685,2022/10/16,2022/10/21,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/19,Drummondville,Ottawa,,,,,,,
T0237685,2022/10/16,2022/10/21,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/21,Ottawa,Drummondville,,,,,,,
T0238144,2022/10/23,2022/10/29,,,,,,,320.5800,0.0000,365.8900,1.0000,0,0,686.47
T0238144,2022/10/23,2022/10/29,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/24,Drummondville,Ottawa,,,,,,,
T0238144,2022/10/23,2022/10/29,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/28,Ottawa,Drummondville,,,,,,,
T0238860,2022/10/31,2022/11/05,,,,,,,641.1600,0.0000,427.6800,2.0000,0,0,1068.84
T0238860,2022/10/31,2022/11/05,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/10/31,Drummond,Ottawa,,,,,,,
T0238860,2022/10/31,2022/11/05,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/01,Ottawa,Drummond,,,,,,,
T0238860,2022/10/31,2022/11/05,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/02,Drummond,Ottawa,,,,,,,
T0238860,2022/10/31,2022/11/05,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/04,Ottawa,Drummond,,,,,,,
200616283,2022/11/01,2022/11/30,,,,,,,0.0000,1885.0000,0.0000,0,0,0,1885.00
200616283,2022/11/01,2022/11/30,"Champoux, Martin",Member,Secondary Residence,2022/11/01,GATINEAU,GATINEAU,,,,,,,
T0239719,2022/11/13,2022/11/18,,,,,,,641.1600,0.0000,448.2600,2.0000,0,0,1089.42
T0239719,2022/11/13,2022/11/18,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/14,Drummondville,Ottawa,,,,,,,
T0239719,2022/11/13,2022/11/18,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/16,Ottawa,Drummondville,,,,,,,
T0239719,2022/11/13,2022/11/18,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/17,Drummondville,Ottawa,,,,,,,
T0239719,2022/11/13,2022/11/18,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/18,Ottawa,Drummondville,,,,,,,
T0240226,2022/11/20,2022/11/25,,,,,,,320.5800,0.0000,600.5800,1.0000,0,0,921.16
T0240226,2022/11/20,2022/11/25,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/20,Drummondville,Ottawa,,,,,,,
T0240227,2022/11/20,2022/11/25,,,,,,,320.5800,0.0000,0.0000,1.0000,0,0,320.58
T0240227,2022/11/20,2022/11/25,,Designated Traveller,To travel to/from constituency and Ottawa,2022/11/21,Drummondville,Ottawa,,,,,,,
T0240227,2022/11/20,2022/11/25,,Designated Traveller,To travel to/from constituency and Ottawa,2022/11/25,Ottawa,Drummondville,,,,,,,
T0240226,2022/11/20,2022/11/25,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/25,Ottawa,Drummondville,,,,,,,
T0240832,2022/11/28,2022/12/02,,,,,,,320.5800,0.0000,534.6000,1.0000,0,0,855.18
T0240832,2022/11/28,2022/12/02,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/11/29,Drummondville,Ottawa,,,,,,,
T0240832,2022/11/28,2022/12/02,"Champoux, Martin",Member,To travel to/from constituency and Ottawa,2022/12/02,Ottawa,Drummondville,,,,,,,
