Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0237349,2022/09/06,2022/09/10,,,,,,,5598.6700,736.7400,0.0000,0,1.0000,0,6335.41
T0237349,2022/09/06,2022/09/10,"Collins, Laurel",Member,To attend a national caucus meeting,2022/09/06,Victoria,Halifax,,,,,,,
T0237349,2022/09/06,2022/09/10,"Collins, Laurel",Member,To attend a national caucus meeting,2022/09/10,Halifax,Victoria,,,,,,,
T0237895,2022/09/18,2022/09/23,,,,,,,2713.0200,754.8500,305.7100,1.0000,0,0,3773.58
T0237895,2022/09/18,2022/09/23,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/09/19,Victoria,Ottawa,,,,,,,
T0237895,2022/09/18,2022/09/23,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/09/22,Ottawa,Victoria,,,,,,,
T0237925,2022/10/16,2022/10/21,,,,,,,2684.1600,216.7300,372.0100,1.0000,0,0,3272.90
T0237925,2022/10/16,2022/10/21,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/10/16,Victoria,Ottawa,,,,,,,
T0237925,2022/10/16,2022/10/21,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/10/20,Ottawa,Victoria,,,,,,,
T0240327,2022/11/27,2022/12/09,,,,,,,2568.2600,1195.5400,1120.4500,1.0000,0,0,4884.25
T0240327,2022/11/27,2022/12/09,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/11/27,Victoria,Ottawa,,,,,,,
T0240327,2022/11/27,2022/12/09,"Collins, Laurel",Member,To travel to/from constituency and Ottawa,2022/12/08,Ottawa,Victoria,,,,,,,
T0239356,2022/12/05,2022/12/09,,,,,,,1033.3900,0.0000,514.0200,1.0000,0,0,1547.41
T0239356,2022/12/05,2022/12/09,"Teuling, Gregory",Employee,To travel to/from constituency and Ottawa,2022/12/05,Victoria,Ottawa,,,,,,,
T0239356,2022/12/05,2022/12/09,"Teuling, Gregory",Employee,To travel to/from constituency and Ottawa,2022/12/09,Ottawa,Victoria,,,,,,,
