Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0235431,2022/09/06,2022/09/14,,,,,,,1284.9000,0.0000,0.0000,0,1.0000,0,1284.90
T0235431,2022/09/06,2022/09/14,,Designated Traveller,To unite the family with the Member,2022/09/06,London,Saint Andrews,,,,,,,
T0235424,2022/09/06,2022/09/14,,,,,,,1321.2800,1341.7200,134.2400,0,1.0000,0,2797.24
T0235424,2022/09/06,2022/09/14,"Fragiskatos, Peter",Member,To attend a national caucus meeting,2022/09/06,London,Saint John,,,,,,,
T0235424,2022/09/06,2022/09/14,"Fragiskatos, Peter",Member,To attend a national caucus meeting,2022/09/14,Saint John,Ottawa,,,,,,,
T0235431,2022/09/06,2022/09/14,,Designated Traveller,To unite the family with the Member,2022/09/14,Saint Andrews,London,,,,,,,
T0235428,2022/09/14,2022/09/16,,,,,,,368.4800,388.2300,103.3500,0.5000,0,0,860.06
T0235428,2022/09/14,2022/09/16,"Fragiskatos, Peter",Member,To travel to/from constituency and Ottawa,2022/09/16,Ottawa,London,,,,,,,
T0235429,2022/09/16,2022/09/16,,,,,,,181.3400,0.0000,0.0000,0,0.0000,0,181.34
T0235429,2022/09/16,2022/09/16,"Gauss, Ryan",Employee,To drive Member to/from terminal,2022/09/16,London,Mississauga,,,,,,,
T0235429,2022/09/16,2022/09/16,"Gauss, Ryan",Employee,To drive Member to/from terminal,2022/09/16,Mississauga,London,,,,,,,
T0236438,2022/09/18,2022/09/23,,,,,,,805.0900,970.5800,294.6000,1.0000,0,0,2070.27
T0236438,2022/09/18,2022/09/23,"Fragiskatos, Peter",Member,To travel to/from constituency and Ottawa,2022/09/18,London,Ottawa,,,,,,,
T0236438,2022/09/18,2022/09/23,"Fragiskatos, Peter",Member,To travel to/from constituency and Ottawa,2022/09/23,Ottawa,London,,,,,,,
T0237076,2022/09/25,2022/09/29,,,,,,,809.2300,776.4600,191.2500,1.0000,0,0,1776.94
T0237076,2022/09/25,2022/09/29,"Fragiskatos, Peter",Member,To travel to/from constituency and Ottawa,2022/09/25,London,Ottawa,,,,,,,
T0237076,2022/09/25,2022/09/29,"Fragiskatos, Peter",Member,To travel to/from constituency and Ottawa,2022/09/29,Ottawa,London,,,,,,,
T0237077,2022/10/02,2022/10/07,,,,,,,768.8100,970.5800,198.3900,1.0000,0,0,1937.78
