Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0234939,2022/07/11,2022/09/07,,,,,,,1379.7300,0.0000,0.0000,1.0000,0,0,1379.73
T0234939,2022/07/11,2022/09/07,"Godfrey, Jake",Employee,To travel to/from constituency and Ottawa,2022/07/11,Ottawa,Cornwall,,,,,,,
T0234939,2022/07/11,2022/09/07,"Godfrey, Jake",Employee,To travel to/from constituency and Ottawa,2022/09/07,Cornwall,Ottawa,,,,,,,
T0235529,2022/09/01,2022/09/30,,,,,,,169.5400,0.0000,0.0000,0.0000,0,0,169.54
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/03,Cornwall,Kensington,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/03,Kensington,Mount Tryon,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/07,Cornwall,Kensington,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/07,Kensington,Mount Tryon,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/14,Cornwall,Kensington,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/03,Mount Tryon,Cornwall,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/14,Kensington,Mount Tryon,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/21,Cornwall,Kensington,,,,,,,
T0235529,2022/09/01,2022/09/30,"Waddell, Alan",Employee,To conduct constituency office business,2022/09/21,Kensington,Mount Tryon,,,,,,,
T0235730,2022/09/09,2022/09/13,,,,,,,486.0800,649.5500,378.4000,0,0.0000,0,1514.03
T0235730,2022/09/09,2022/09/13,"MacDonald, Heath",Member,To attend a regional or provincial caucus meeting,2022/09/09,Cornwall,Saint John,,,,,,,
T0235730,2022/09/09,2022/09/13,"MacDonald, Heath",Member,To attend a national caucus meeting,2022/09/11,Saint John,St. Andrews,,,,,,,
T0235730,2022/09/09,2022/09/13,"MacDonald, Heath",Member,To attend a national caucus meeting,2022/09/13,St. Andrews,Cornwall,,,,,,,
T0235730,2022/09/09,2022/09/13,"MacDonald, Heath",Member,To attend a national caucus meeting,2022/09/09,Cornwall,Saint John,,,,,,,
T0235741,2022/09/18,2022/09/22,,,,,,,885.4000,776.4600,346.5000,1.0000,0,0,2008.36
T0235741,2022/09/18,2022/09/22,"MacDonald, Heath",Member,To travel to/from constituency and Ottawa,2022/09/18,Charlottetown,Ottawa,,,,,,,
T0235741,2022/09/18,2022/09/22,"MacDonald, Heath",Member,To travel to/from constituency and Ottawa,2022/09/18,Charlottetown,Ottawa,,,,,,,
T0235741,2022/09/18,2022/09/22,"MacDonald, Heath",Member,To travel to/from constituency and Ottawa,2022/09/22,Ottawa,Charlottetown,,,,,,,
T0237263,2022/09/26,2022/10/15,,,,,,,426.2800,0.0000,0.0000,0.0000,0.0000,0,426.28
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To conduct constituency office business,2022/09/26,Cornwall,Stanley Bridge,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/29,Cornwall,Kensington,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/29,Kensington,Malpeque Bay,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/29,Malpeque Bay,New London,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/29,New London,Cornwall,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/30,Cornwall,Nine Mile Creek,,,,,,,
T0237263,2022/09/26,2022/10/15,"MacDonald, Heath",Member,To attend meetings about constituency issues,2022/09/30,Nine Mile Creek,Argyle Shore,,,,,,,
