Supplier,Description,Date,Total
Xerox,Photocopier Rental and Related Costs,2022/05/01,120.49
Independent,"Office Supplies, Stationery and Accessories",2022/05/23,11.78
Xerox,Photocopier Rental and Related Costs,2022/06/01,120.49
Choice Communication (Canada) Ltd.,Advertising,2022/07/22,51.75
Xerox,Photocopier Rental and Related Costs,2022/07/31,79.02
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,263.50
Xerox,Photocopier Rental and Related Costs,2022/09/29,120.49
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,297.00
Rexall,Cleaning Products,2022/10/05,2.99
Guardtek Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/10/18,395.92
Staples,"Office Supplies, Stationery and Accessories",2022/10/27,71.57
Xerox,Photocopier Rental and Related Costs,2022/10/28,120.49
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,167.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,42.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,24.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,186.50
Choice Communication (Canada) Ltd.,Advertising,2022/11/07,123.46
Universal Promotions & Publishers,Advertising,2022/11/10,62.50
"Canadian Springs ",Spring Water,2022/11/27,9.99
"Zoom Video Communications ",Image/Video Communications Services,2022/11/27,73.00
Rogers,Constituency Office Internet,2022/11/29,89.99
Rogers,Constituency Office Cable,2022/11/29,14.99
Xerox,Photocopier Rental and Related Costs,2022/11/29,120.49
POST CITY MAGAZINES,Advertising,2022/11/30,558.00
"TD Canada Trust ",Banking Fees and Cheque Orders,2022/11/30,3.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,42.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,15.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,186.50
Canada Post / Shoppers Drugmart,"Postage, Parcel Post and Courier Services",2022/12/21,60.68
"Canadian Springs ",Spring Water,2022/12/25,9.99
"Zoom Video Communications ",Image/Video Communications Services,2022/12/27,73.00
Rogers,Constituency Office Internet,2022/12/29,89.99
Rogers,Constituency Office Cable,2022/12/29,14.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,7.97
Grand & Toy,Cleaning Products,2022/12/31,10.99
