Supplier,Description,Date,Total
Canada Post – Postes Canada,Courier Services,2022/03/22,13.97
Canada Post – Postes Canada,Courier Services,2022/03/22,15.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,0.30
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,65.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,4.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,65.90
Digital Post Acadia,"Postage, Parcel Post and Courier Services",2022/12/20,100.63
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,5.69
Grand & Toy,Other Consumable Supplies From Stores,2022/12/31,46.44
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/12/31,916.52
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,415.01
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,65.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,24.00
House of Commons / Chambre des communes,Householders – Paper Recovery,2023/01/01,230.70
LCPF Realty Inc. and Southland Park Inc.,Office Rental Related Fees,2023/01/01,-2312.09
LCPF Realty Inc. and Southland Park Inc.,Office Rental,2023/01/01,-2670.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/02/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/02/01,65.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/03/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/03/01,15.60
Canada Post – Postes Canada,Courier Services,2023/03/20,10.70
Canada Post – Postes Canada,Courier Services,2023/03/20,44.05
Canada Post – Postes Canada,Courier Services,2023/03/20,86.17
Canada Post – Postes Canada,Courier Services,2023/03/22,15.05
Canada Post – Postes Canada,Courier Services,2023/03/22,14.76
Canada Post – Postes Canada,Courier Services,2023/03/22,15.59
Canada Post – Postes Canada,Courier Services,2023/03/23,12.13
Canada Post – Postes Canada,Courier Services,2023/03/23,22.41
Canada Post – Postes Canada,Courier Services,2023/03/23,14.22
Canada Post – Postes Canada,Courier Services,2023/03/23,14.84
Canada Post – Postes Canada,Courier Services,2023/03/31,33.48
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2023/03/31,0.01
