Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,304.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,267.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,-18.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,290.75
Dollarama,Gifts given as a matter of protocol,2022/11/03,15.60
Staples Canada,"Office Supplies, Stationery and Accessories",2022/11/03,12.18
Floral Scents,Gifts given as a matter of protocol,2022/11/05,95.51
Pembina Valley Computers,"Office Supplies, Stationery and Accessories",2022/11/08,20.05
Canada Post,"Postage, Parcel Post and Courier Services",2022/11/14,54.80
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/11/17,80.46
Go Daddy,Web Site Hosting/Domain Name,2022/11/20,8.99
Connie's Cleaning,Janitorial Services and Maintenance,2022/11/23,31.25
GoDaddy,Web Site Hosting/Domain Name,2022/11/28,13.99
Morden Home Hardware,Spring Water,2022/11/29,14.00
Eagleye Printing & Design,External Printing Costs,2022/11/30,267.50
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2022/12/01,1.80
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,491.75
Hinz-Photomoment,Gifts given as a matter of protocol,2022/12/05,179.31
Fixpal,Repair of Telecommunication Equipment,2022/12/06,143.27
MORDEN AGENCIES INC.,Constituency Office Insurance,2022/12/06,1105.00
JEWISH POST & NEWS,Advertising,2022/12/07,101.66
Connie's Cleaning,Janitorial Services and Maintenance,2022/12/09,37.50
Postmedia Network Inc.,Advertising,2022/12/10,280.00
Big And Colourful,Advertising,2022/12/16,1022.00
MORRIS CURLING CLUB MCT,Advertising,2022/12/16,500.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/12/17,81.32
Unique Graphics inc.,Advertising,2022/12/19,210.00
GoDaddy,Web Site Hosting/Domain Name,2022/12/20,8.99
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/12/23,80.25
SOUTHEAST JOURNAL,Advertising,2022/12/23,200.00
Postmedia Network Inc.,Advertising,2022/12/24,140.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/12/27,80.25
GoDaddy,Web Site Hosting/Domain Name,2022/12/28,13.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,26.20
Golden West Broadcasting Ltd.,Advertising,2022/12/31,380.00
Golden West Broadcasting Ltd.,Advertising,2022/12/31,380.00
Golden West Broadcasting Ltd.,Advertising,2022/12/31,380.00
Postmedia Network Inc.,Advertising,2022/12/31,140.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2022/12/31,208.76
