Supplier,Description,Date,Total
New Pathway Ukrainian News,Advertising,2022/06/29,108.00
KONTAKT ENTERTAINMENT & COMM. CORP,Advertising,2022/08/25,365.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,401.04
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,520.04
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2022/10/01,0.90
Momentuum BPO Inc.,Computer Software and Licenses,2022/10/27,928.22
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,32.00
Bell Mobility – Bell Mobilité,Long Distance,2022/11/01,1.05
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,10.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,32.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,442.29
Eastman Media,Advertising,2022/11/16,95.00
Santa Parade of Lights,Equipment Rental (non-hospitality related),2022/11/22,50.00
New Pathway Ukrainian News,Advertising,2022/11/24,108.33
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,10.00
Bell Mobility – Bell Mobilité,Long Distance,2022/12/01,0.07
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,235.54
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/12/05,95.18
Zoom,Image/Video Communications Services,2022/12/19,40.00
Big And Colourful,Advertising,2022/12/22,1238.50
Heather Halipchuk,Janitorial Services and Maintenance,2022/12/23,140.00
CJ Radio,Advertising,2022/12/28,299.00
New Pathway Ukrainian News,Advertising,2022/12/29,238.33
CIBC,Banking Fees and Cheque Orders,2022/12/30,11.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,95.45
Golden West Broadcasting Ltd.,Advertising,2022/12/31,555.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/12/31,30.47
Grand & Toy,Bulk Paper Purchases,2022/12/31,74.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,32.85
WINNIPEG JEWISH REVIEW,Advertising,2022/12/31,130.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,10.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,32.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2023/01/01,222.79
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2023/01/01,166.87
EASTMAN TOURISM,Advertising,2023/01/02,250.00
Lac du Bonnet Lions Club,Advertising,2023/01/02,325.00
High Speed Crow,Members’ Primary Residence Internet,2023/01/03,202.00
MADD Canada,Advertising,2023/01/03,135.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2023/01/05,95.18
Heather Halipchuk,Janitorial Services and Maintenance,2023/01/06,140.00
TEULON CURLING CLUB,Advertising,2023/01/12,250.00
Eventbrite,Professional Development and Training for Members' Employees,2023/01/13,75.00
Selkirk Transit Authority,Advertising,2023/01/13,300.00
MANITOBA HYDRO,Public Utilities,2023/01/17,436.27
Zoom,Image/Video Communications Services,2023/01/19,40.00
