Supplier,Description,Date,Total
St. Francis &amp; St. Clare of Assisi Parish Saint Mother Teresa of Kolkata Church,Advertising,2022/04/01,200.00
Streamyard Inc,Image/Video Communications Services,2022/04/14,31.74
Streamyard Inc,Image/Video Communications Services,2022/05/14,31.74
Print 101 Ltd.,External Printing Costs,2022/05/19,8.06
Streamyard Inc.,Image/Video Communications Services,2022/06/14,31.74
Lawtons,"Office Supplies, Stationery and Accessories",2022/07/06,4.48
Streamyard Inc,Image/Video Communications Services,2022/07/14,31.74
Bangladesh Canada Friendship Society,Advertising,2022/07/15,500.00
Print 101 Ltd.,External Printing Costs,2022/07/15,58.20
Atlantic Photo Supply Halifax,External Printing Costs,2022/08/02,10.00
ADOBE,Computer Software and Licenses,2022/08/06,111.99
Streamyard Inc,Image/Video Communications Services,2022/08/14,31.74
Dollarama,"Office Supplies, Stationery and Accessories",2022/08/22,10.00
Mulgrave Park Caring and Learning Centre,Advertising,2022/08/27,500.00
ADOBE,Computer Software and Licenses,2022/09/06,111.99
Streamyard INC,Image/Video Communications Services,2022/09/14,31.74
Print 101 Limited,External Printing Costs,2022/09/23,19.21
Spryfield Lions Rink and Recreation Society,Advertising,2022/09/30,800.00
Lawtons,"Office Supplies, Stationery and Accessories",2022/10/04,12.99
ADOBE,Computer Software and Licenses,2022/10/06,111.99
Streamyard Inc,Image/Video Communications Services,2022/10/14,31.74
PARENT-CHILD GUIDE,Advertising,2022/10/18,225.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/10/19,86.23
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/10/19,272.05
Squarespace,Web Site Hosting/Domain Name,2022/10/27,6.14
Print 101 Limited,External Printing Costs,2022/10/31,110.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,32.00
Bell Mobility – Bell Mobilité,Long Distance,2022/11/01,0.60
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,99.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,42.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,129.72
"Lawtons ","Office Supplies, Stationery and Accessories",2022/11/01,13.32
ADOBE,Computer Software and Licenses,2022/11/06,111.99
Squarespace,Web Site Hosting/Domain Name,2022/11/11,41.89
Streamyard Inc.,Image/Video Communications Services,2022/11/14,31.74
Costco,"Office Supplies, Stationery and Accessories",2022/11/21,21.99
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,30.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,129.72
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,8.80
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,42.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,32.00
CBP Marketing Inc.,Promotional Items,2022/12/01,403.20
House of Commons / Chambre des communes,Householders – Paper Recovery,2022/12/01,17.03
Veith House,Advertising,2022/12/02,500.00
EASTLINK,Constituency Office Internet,2022/12/03,209.95
SMU Sobey MBA Society,Advertising,2022/12/05,500.00
ADOBE,Computer Software and Licenses,2022/12/06,111.99
"Layne Compagny Ltd., The",External Printing Costs,2022/12/07,4278.00
Squarespace,Web Site Hosting/Domain Name,2022/12/11,29.20
Squarespace,Web Site Hosting/Domain Name,2022/12/11,41.89
PARENT-CHILD GUIDE,Advertising,2022/12/12,225.00
Daniel Doherty Limited,Advertising,2022/12/14,175.00
Streamyard Inc,Image/Video Communications Services,2022/12/14,31.74
Queen Square Development LTD,Constituency Office Common Area Fees,2022/12/15,78.52
Upstream Music Association,Advertising,2022/12/15,85.00
Trayvone Clayton,Advertising,2022/12/16,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,27.88
St. Mark's Food Box Committee,Advertising,2022/12/31,300.00
