Supplier,Description,Date,Total
Revue les oeuvres des pompiers de Laval,Advertising,2022/02/17,285.00
Canada Post – Postes Canada,Courier Services,2022/03/22,77.13
Festival Portugal International de Montréal,Advertising,2022/06/10,200.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,331.75
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/10/04,29.99
Amazon,Appliances,2022/10/05,154.97
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/10/18,547.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,32.46
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,136.75
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2022/11/01,0.90
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,166.25
L'initiative,Advertising,2022/11/02,56.66
C.C.R.V.A Centre Communautaire le Rendez-Vous des Ainés,Advertising,2022/11/23,130.00
"Fondation Culture et Arts Visuels de Laval, la",Advertising,2022/11/23,500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,32.46
LusoPresse Inc.,Advertising,2022/12/01,64.80
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,169.25
Bureau en Gros,"Office Supplies, Stationery and Accessories",2022/12/02,19.78
Real Canadian Superstore,Office Decor,2022/12/02,21.00
Intact,Constituency Office Insurance,2022/12/03,68.38
Robert Plante Greenhouses,Office Plants and Flowers,2022/12/03,219.70
Farm Boy,Office Plants and Flowers,2022/12/04,79.93
Dollarama,Office Decor,2022/12/05,6.00
Voice of Community Publisher Co.,Advertising,2022/12/07,57.69
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2022/12/09,480.00
Relais Communautaire de Laval,Advertising,2022/12/09,250.00
Costa Hovris Creative Designer,Professional Communication Services,2022/12/11,75.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/12/12,84.97
Costa Hovris Creative Designer,Professional Communication Services,2022/12/12,75.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2022/12/12,651.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/12/13,122.00
Il Cittadino Canadese,Advertising,2022/12/13,60.00
Costa Hovris Creative Designer,Professional Communication Services,2022/12/14,75.00
The North American Filipino Star,Advertising,2022/12/14,67.50
Le Groupe communautaire L Itinéraire,Advertising,2022/12/15,228.00
The Suburban Newspaper,Advertising,2022/12/15,100.00
