Supplier,Description,Date,Total
BMO,Banking Fees and Cheque Orders,2022/04/29,1.25
BMO,Banking Fees and Cheque Orders,2022/06/30,2.75
BMO,Banking Fees and Cheque Orders,2022/07/29,1.25
LABB Computer Solutions,Members’ Primary Residence Internet,2022/08/01,99.00
BMO,Banking Fees and Cheque Orders,2022/08/31,5.25
STARLINK,Members’ Primary Residence Internet,2022/08/31,140.00
LABB Computer Solutions,Members’ Primary Residence Internet,2022/09/01,99.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,291.54
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,235.29
STARLINK,Members’ Primary Residence Internet,2022/10/01,140.00
BMO,Banking Fees and Cheque Orders,2022/10/31,17.50
STARLINK,Members’ Primary Residence Internet,2022/10/31,140.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,106.25
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,69.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,89.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,36.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/11/01,10.15
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,229.29
BMO,Banking Fees and Cheque Orders,2022/11/30,5.00
BMO,Banking Fees and Cheque Orders,2022/11/30,6.00
Culligan Water,Spring Water,2022/11/30,15.00
Culligan Water,Spring Water,2022/11/30,15.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,89.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,69.90
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,11.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,36.00
Rogers Wireless – Rogers sans-fil,Long Distance,2022/12/01,4.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,364.54
STARLINK,Members’ Primary Residence Internet,2022/12/01,140.00
GUTHRIE WOODS PRODUCTS LIMITED,"Postage, Parcel Post and Courier Services",2022/12/07,149.78
GUTHRIE WOODS PRODUCTS LIMITED,Promotional Items,2022/12/07,3575.00
Liberty Security Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/12/08,443.88
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/12/12,89.98
Culligan Water,Spring Water,2022/12/14,28.00
Dollarama,Office Decor,2022/12/16,13.50
Staples,"Office Supplies, Stationery and Accessories",2022/12/16,23.45
Kosmos Restaurant & Lounge,Public Meeting Room Rentals,2022/12/17,100.00
Tim Hortons,Gifts given as a matter of protocol,2022/12/17,94.95
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/12/21,1196.05
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/12/24,155.95
BMO,Banking Fees and Cheque Orders,2022/12/30,14.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,10.27
Black Press Group Ltd.,Advertising,2022/12/31,510.50
Postmedia Network Inc.,Advertising,2022/12/31,2027.75
STARLINK,Members’ Primary Residence Internet,2022/12/31,140.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,14.19
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,158.64
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,36.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,23.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,69.90
Rogers Wireless – Rogers sans-fil,Long Distance,2023/01/01,8.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2023/01/01,254.54
2188050 ALBERTA LTD.,Public Utilities,2023/01/02,42.62
Apple Canada Inc.,Repair of Telecommunication Equipment,2023/01/03,183.00
Audiense Limited,Computer Software and Licenses,2023/01/07,62.20
Twitter,Computer Software and Licenses,2023/01/14,15.01
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2023/01/19,89.98
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2023/01/19,651.00
Eventbrite,Professional Development and Training for Members' Employees,2023/01/20,225.00
Costco Wholesale,Computer Equipment,2023/01/23,589.98
Apple Canada Inc.,Repair of Telecommunication Equipment,2023/01/24,122.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2023/01/24,155.95
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2023/01/25,194.93
2188050 ALBERTA LTD.,Public Utilities,2023/01/30,45.72
BMO,Banking Fees and Cheque Orders,2023/01/31,8.75
Grand & Toy,"Office Supplies, Stationery and Accessories",2023/01/31,55.75
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2023/01/31,45.98
Grand & Toy,Office Furniture and Fixtures,2023/01/31,251.40
Grand & Toy,Digital Communication Equipment,2023/01/31,58.55
