Supplier,Description,Date,Total
"Adobe Inc. ",Computer Software and Licenses,2022/07/29,44.06
"Adobe Inc. ",Computer Software and Licenses,2022/08/29,44.06
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,307.79
COWPER MARKETING GROUP,Advertising,2022/09/15,474.05
Lowe's,Office Renovations,2022/09/21,27.14
Star Metroland Media,Advertising,2022/09/25,200.00
"Adobe Inc. ",Computer Software and Licenses,2022/09/29,44.06
"BADEN OUTLOOK, THE",Advertising,2022/10/04,125.00
Star Metroland Media,Advertising,2022/10/09,375.00
"Adobe Inc. ",Computer Software and Licenses,2022/10/29,44.06
Star Metroland Media,Advertising,2022/10/31,150.00
"Wilmot-Tavistock Gazette, The",Advertising,2022/10/31,225.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,285.54
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,218.54
"BADEN OUTLOOK, THE",Advertising,2022/11/03,135.00
"Wilmot-Tavistock Gazette, The",Advertising,2022/11/08,225.00
Canada Post,"Postage, Parcel Post and Courier Services",2022/11/11,55.81
Embracing Change,Advertising,2022/11/11,145.00
B&H Photo & Video,Photographic Equipment,2022/11/12,476.90
"The Record ","Printed Matter, Books, Newspapers and Subscriptions",2022/11/12,59.99
"Waterloo Region Record ","Printed Matter, Books, Newspapers and Subscriptions",2022/11/12,31.00
Star Metroland Media,Advertising,2022/11/13,375.00
Star Metroland Media,Advertising,2022/11/13,270.00
KITCHENER CITIZEN- WEST EDITION,Advertising,2022/11/19,400.00
KITCHENER CITIZEN- WEST EDITION,Advertising,2022/11/19,400.00
KITCHENER CITIZEN- WEST EDITION,Advertising,2022/11/19,400.00
KITCHENER WILMOT HYDRO INC.,Public Utilities,2022/11/21,166.36
Zerhs,Gifts given as a matter of protocol,2022/11/23,21.50
KITCHENER CITIZEN- WEST EDITION,Advertising,2022/11/27,400.00
"Zoom Video Communications ",Image/Video Communications Services,2022/11/27,22.60
auscomp,Computer Software and Licenses,2022/11/28,76.11
Canva,Computer Software and Licenses,2022/11/28,16.99
"Adobe Inc. ",Computer Software and Licenses,2022/11/29,44.06
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/11/29,41.62
Lowes,"Office Supplies, Stationery and Accessories",2022/11/29,56.21
Walmart,"Office Supplies, Stationery and Accessories",2022/11/29,13.78
"Wilmot-Tavistock Gazette, The",Advertising,2022/11/30,200.00
CITY OF KITCHENER,Public Utilities,2022/12/01,43.67
JDI Cleaning Systems,Janitorial Services and Maintenance,2022/12/01,245.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,280.79
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/12/02,150.00
Home Hardware,"Office Supplies, Stationery and Accessories",2022/12/03,8.49
Shoppers Drug Mart,Gifts given as a matter of protocol,2022/12/03,21.55
BELL CANADA,Constituency Office Internet,2022/12/04,74.73
Costco,"Office Supplies, Stationery and Accessories",2022/12/06,32.48
"BADEN OUTLOOK, THE",Advertising,2022/12/14,125.00
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2022/12/15,467.00
Star Metroland Media,Advertising,2022/12/18,235.00
KITCHENER WILMOT HYDRO INC.,Public Utilities,2022/12/20,159.86
"Wilmot-Tavistock Gazette, The",Advertising,2022/12/27,225.00
Zoom Video Communications,Image/Video Communications Services,2022/12/27,22.60
Canva,Computer Software and Licenses,2022/12/28,16.99
Adobe,Image/Video Communications Services,2022/12/29,38.99
KITCHENER CITIZEN- WEST EDITION,Advertising,2022/12/30,400.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,8.57
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,9.38
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2023/01/01,150.81
JDI Cleaning Systems,Janitorial Services and Maintenance,2023/01/01,245.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2023/01/01,231.29
Schlegel Urban Developments Corp.,Office Rental Related Fees,2023/01/01,61.36
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2023/01/02,144.77
CITY OF KITCHENER,Public Utilities,2023/01/03,62.97
BELL CANADA,Constituency Office Internet,2023/01/04,72.21
Township of Wilmot,Public Meeting Room Rentals,2023/01/13,60.44
Sobeys,"Office Supplies, Stationery and Accessories",2023/01/17,26.97
KITCHENER CITIZEN- WEST EDITION,Advertising,2023/01/18,400.00
"Cote Lock and Security ",Repair of Office Equipment,2023/01/19,12.50
"Dollarama ","Office Supplies, Stationery and Accessories",2023/01/19,9.60
KITCHENER WILMOT HYDRO INC.,Public Utilities,2023/01/19,147.08
Sobeys,"Office Supplies, Stationery and Accessories",2023/01/20,31.50
Staples,Computer Equipment,2023/01/22,80.68
"Sobeys ","Office Supplies, Stationery and Accessories",2023/01/23,12.99
Zoom Video Communications,Image/Video Communications Services,2023/01/27,22.60
Canva,Computer Software and Licenses,2023/01/28,16.99
Adobe,Image/Video Communications Services,2023/01/29,38.99
CITY OF KITCHENER,Public Utilities,2023/02/01,69.17
JDI Cleaning Systems,Janitorial Services and Maintenance,2023/02/01,245.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2023/02/01,143.59
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2023/02/01,10.55
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2023/02/01,242.29
Schlegel Urban Developments Corp.,Office Rental Related Fees,2023/02/01,61.36
Schlegel Urban Developments Corp.,Office Rental,2023/02/01,1673.33
