Supplier,Description,Date,Total
Canada Post – Postes Canada,Courier Services,2022/03/22,13.44
Zoom Video Communication Ltd,Computer Equipment,2022/04/16,21.00
Zoom Video Communication Ltd,Computer Equipment,2022/05/16,21.00
Zoom Video Communication Ltd,Computer Equipment,2022/06/16,21.00
Zoom Video Communications Inc,Computer Equipment,2022/07/16,21.00
Zoom Video Communication Ltd,Computer Equipment,2022/08/16,21.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,217.50
Zoom Video Communication Ltd,Computer Equipment,2022/09/16,21.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,212.50
BC/Yukon Command the Royal Canadian Legion (BC/Y RCL),Advertising,2022/10/14,113.96
Zoom Video Communications Ltd,Computer Equipment,2022/10/16,21.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,0.60
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,24.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,30.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,294.75
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/11/03,64.98
Zoom Video Communications Ltd,Computer Equipment,2022/11/16,21.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,2.40
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,30.00
CBP Marketing Inc.,Promotional Items,2022/12/01,1293.63
House of Commons / Chambre des communes,Language Training,2022/12/01,554.42
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,275.50
Zoom Video Communication Ltd,Computer Equipment,2022/12/16,21.00
TELUS Communications Inc.,Constituency Office Internet,2022/12/17,105.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/12/22,69.00
BC HYDRO,Public Utilities,2022/12/29,122.40
FORTIS BC-NATURAL GAS,Public Utilities,2022/12/29,240.85
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,99.52
