Supplier,Description,Date,Total
Choice Communication (Canada) Ltd.,Advertising,2022/08/25,197.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/09/01,245.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/10/01,223.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,12.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,93.32
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,30.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/11/01,215.25
LMP Publication Limited Partnership,Advertising,2022/11/07,159.28
Myron,Promotional Items,2022/11/08,1062.08
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,18.60
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,30.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,843.02
House of Commons / Chambre des communes,Householders – Paper Recovery,2022/12/01,10.22
House of Commons / Chambre des communes,Language Training,2022/12/01,583.60
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/12/01,224.50
Zoom Video Communications INC.,Image/Video Communications Services,2022/12/11,220.42
Jewish Independent,Advertising,2022/12/12,255.00
MAILCHIMP,Professional Communication Services,2022/12/16,302.20
1st Choice Carpet Cleaning,Janitorial Services and Maintenance,2022/12/19,325.00
SHAW BUSINESS,Constituency Office Cable,2022/12/20,69.02
SHAW BUSINESS,Constituency Office Internet,2022/12/20,148.60
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,9.13
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2022/12/31,210.48
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2022/12/31,208.76
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2022/12/31,209.41
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2022/12/31,212.30
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,154.47
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,8.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,93.04
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2023/01/01,150.81
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2023/01/01,214.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2023/01/02,144.78
Zoom Video Communications Inc.,Image/Video Communications Services,2023/01/11,220.42
MAILCHIMP,Professional Communication Services,2023/01/16,346.38
Safe & Secure Locksmith,"Office Supplies, Stationery and Accessories",2023/01/19,42.00
Shaw Business,Constituency Office Internet,2023/01/20,217.62
JJ Bean Coffee Roasters,Gifts given as a matter of protocol,2023/01/27,18.00
Murchie's Fine Tea,Gifts given as a matter of protocol,2023/01/27,9.90
Stock Home Design,Gifts given as a matter of protocol,2023/01/27,25.00
Team Sales Ltd.,Gifts given as a matter of protocol,2023/01/27,152.96
Your Dollar Store With More,Gifts given as a matter of protocol,2023/01/27,21.13
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2023/01/29,598.00
Canada Post – Postes Canada,Postage and Parcel Post,2023/01/30,13.58
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/02/01,93.53
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/02/01,16.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/02/01,30.00
Burrard Pacific Realty & Management Inc.,Office Rental,2023/02/01,3442.80
