Supplier,Description,Date,Total
Le Sillage,Advertising,2022/04/25,200.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/04/29,128.95
Sport-Média Marketing,Advertising,2022/06/23,969.00
iStock Sales,Computer Software and Licenses,2022/07/01,276.37
Amazon,"Office Supplies, Stationery and Accessories",2022/07/06,42.73
Amazon,Office Decor,2022/07/06,319.90
Ikea,Office Renovations,2022/07/07,59.00
Centre Publicitaire Québec,Advertising,2022/07/11,500.00
Coopérative nationale de l'information indépendante,"Printed Matter, Books, Newspapers and Subscriptions",2022/07/12,9.95
Coopérative nationale de l'information indépendante,"Printed Matter, Books, Newspapers and Subscriptions",2022/08/12,9.95
Coopérative nationale de l'information indépendante,"Printed Matter, Books, Newspapers and Subscriptions",2022/09/12,9.95
Métro Média,Advertising,2022/09/17,458.00
Métro Média,Advertising,2022/09/17,415.00
IStock Sales,Computer Software and Licenses,2022/10/01,276.38
PROMOTIONS SPORTIVES (GB),Advertising,2022/10/05,350.00
Coopérative nationale de l'information indépendante,"Printed Matter, Books, Newspapers and Subscriptions",2022/10/12,9.95
Antidote Media Inc.,Advertising,2022/11/01,1600.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,32.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,163.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,56.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/11/01,129.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,8.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/11/01,0.30
Bureau en Gros,Banking Fees and Cheque Orders,2022/11/01,39.99
Ligue de Poches La Détente,Advertising,2022/11/03,250.00
Métro Média,Advertising,2022/11/05,458.00
Métro Média,Advertising,2022/11/05,566.00
"Parent, Marie-Claude",Photography and Video Services,2022/11/09,763.75
"COPIES DE LA CAPITALE INC., LES",Professional Communication Services,2022/11/10,45.00
"COPIES DE LA CAPITALE INC., LES",External Printing Costs,2022/11/10,460.15
Coopérative nationale de l'information indépendate,"Printed Matter, Books, Newspapers and Subscriptions",2022/11/12,9.95
Métro Média,Advertising,2022/11/12,415.00
Chorale AZIMUTS,Advertising,2022/11/17,250.00
Club Optimiste de Saint-Émile,Advertising,2022/11/27,200.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/11/29,131.17
"Sidibé, Rosaly",Office Support,2022/11/30,2225.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,196.85
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,30.00
Bell Mobility – Bell Mobilité,Long Distance,2022/12/01,1.35
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,27.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/12/01,8.70
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/12/01,129.84
Vidéotron s.e.n.c,Constituency Office Cable,2022/12/02,82.83
Club FADOQ Les Aînés de NDL,Advertising,2022/12/03,250.00
École La Passerelle Haute-Saint-Charles,Advertising,2022/12/03,200.00
Chevaliers de Colomb de Lac-Saint-Charles,Advertising,2022/12/05,500.00
CPA Beauport - Charlesbourg,Advertising,2022/12/05,150.00
Poste Canada / Pharmaprix,"Postage, Parcel Post and Courier Services",2022/12/08,1.30
SEMAINIER PAROISSIAL,Advertising,2022/12/09,75.00
SEMAINIER PAROISSIAL,Advertising,2022/12/09,125.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2022/12/09,100.05
AISQ,Advertising,2022/12/10,200.00
Chevaliers de Colomb Conseil 6289 - Charlesbourg,Advertising,2022/12/10,500.00
Club FADOQ Les Joyeux Retraités de Charlesbourg,Advertising,2022/12/10,250.00
"Coeur de Charlesbourg, Le",Advertising,2022/12/10,200.00
Corps de cadets 2628 de Charlesbourg,Advertising,2022/12/10,200.00
Résidence de la Jolibourg II,Advertising,2022/12/10,250.00
Sairah Inc.,Advertising,2022/12/10,350.00
Service d'Entraide du Bon Pasteur,Advertising,2022/12/10,500.00
Bureau en Gros,External Printing Costs,2022/12/12,83.97
Coopérative nationale de l'information indépendante,"Printed Matter, Books, Newspapers and Subscriptions",2022/12/12,9.95
Choeur Des Hivers,Advertising,2022/12/13,150.00
Fabrique St-Charles-Borromée - Service d’entraide St-Rodrigue,Advertising,2022/12/16,350.00
Ass. des Locataires de Jolibourg 1,Advertising,2022/12/17,250.00
Carrefour Familles Monoparentales,Advertising,2022/12/17,200.00
Chevaliers de Colomb Notre-Dame-des-Laurentides,Advertising,2022/12/17,250.00
Club de l'âge d'Or LSC,Advertising,2022/12/17,500.00
Club des Ainés Actifs d'Orsainville,Advertising,2022/12/17,200.00
Métro Média,Advertising,2022/12/17,458.00
ACSM  filiale de Québec,Advertising,2022/12/19,200.00
deuil-jeunesse,Advertising,2022/12/19,250.00
Loisirs des Hauts-Sentiers,Advertising,2022/12/19,250.00
Noël au Trait-Carré,Advertising,2022/12/19,500.00
Centre Multi-Services Le Complice,Advertising,2022/12/20,250.00
Gang des 4 X 4,Advertising,2022/12/20,250.00
Maison des jeunes La Marginale,Advertising,2022/12/20,200.00
Métro Média,Advertising,2022/12/24,415.00
KOALLO INC.,Web Site Hosting/Domain Name,2022/12/29,249.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/30,89.97
Vidéotron s.e.n.c,Constituency Office Internet,2022/12/30,131.17
"Sidibé, Rosaly",Office Support,2022/12/31,2225.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/12/31,136.79
Antidote Media Inc.,Advertising,2023/01/01,1600.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,27.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,186.73
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,129.84
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,30.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2023/01/01,40.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2023/01/01,24.00
iStock Sales,Computer Software and Licenses,2023/01/01,276.37
Bureau en gros,"Office Supplies, Stationery and Accessories",2023/01/06,242.98
Vidéotron s.e.n.c,Constituency Office Cable,2023/01/06,82.83
Comité Paroissial de Saint-Émile Inc.,Advertising,2023/01/10,250.00
Société d'histoire de Charlesbourg,Advertising,2023/01/10,250.00
