Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0244151,2022/09/19,2023/01/29,,,,,,,144.8800,0.0000,0.0000,0,0.0000,0,144.88
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/09/19,Welland,Niagara-on-the-Lake,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2023/01/29,Niagara Falls,Welland,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/09/19,Niagara-on-the-Lake,Welland,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/09/26,Welland,Niagara-on-the-Lake,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/09/26,Niagara-on-the-Lake,Welland,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/11/11,Welland,Fort Erie,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2022/11/11,Fort Erie,Welland,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2023/01/07,Welland,Niagara Falls,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2023/01/07,Niagara Falls,Welland,,,,,,,
T0244151,2022/09/19,2023/01/29,"Jeffs, April",Employee,To represent the Member at an event,2023/01/29,Welland,Niagara Falls,,,,,,,
T0242325,2022/10/30,2022/11/30,,,,,,,118.2100,0.0000,0.0000,0,0,0,118.21
T0242325,2022/10/30,2022/11/30,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2022/10/30,Niagara Falls,Ottawa,,,,,,,
T0242325,2022/10/30,2022/11/30,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2022/11/05,Niagara Falls,Ottawa,,,,,,,
T0242325,2022/10/30,2022/11/30,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2022/11/13,Niagara Falls,Ottawa,,,,,,,
T0241514,2022/11/27,2022/12/09,,,,,,,66.7100,0.0000,0.0000,0,0,0,66.71
T0241514,2022/11/27,2022/12/09,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2022/11/27,Niagara Falls,Ottawa,,,,,,,
T0241514,2022/11/27,2022/12/09,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2022/12/09,Ottawa,Niagara Falls,,,,,,,
T0242821,2022/12/16,2022/12/16,,,,,,,16.9600,0.0000,0.0000,0.0000,0,0,16.96
T0242821,2022/12/16,2022/12/16,"Stockton, Jennifer",Employee,To conduct constituency office business,2022/12/16,Niagara Falls,Fort Erie,,,,,,,
T0242821,2022/12/16,2022/12/16,"Stockton, Jennifer",Employee,To conduct constituency office business,2022/12/16,Fort Erie,Fort Erie,,,,,,,
T0244800,2023/01/25,2023/02/03,,,,,,,1133.0200,0.0000,0.0000,1.0000,0,0,1133.02
T0244800,2023/01/25,2023/02/03,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2023/01/25,Niagara Falls,Ottawa,,,,,,,
T0244800,2023/01/25,2023/02/03,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2023/02/03,Ottawa,Niagara Falls,,,,,,,
200643139,2023/02/01,2023/02/28,,,,,,,0.0000,2784.0000,0.0000,0,0,0,2784.00
200643139,2023/02/01,2023/02/28,"Baldinelli, Tony",Member,Secondary Residence,2023/02/01,OTTAWA,OTTAWA,,,,,,,
T0245183,2023/02/05,2023/02/10,,,,,,,1096.2300,0.0000,0.0000,1.0000,0,0,1096.23
