Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0243553,2022/10/12,2022/10/22,,,,,,,9030.8300,0.0000,0.0000,1.0000,0,0,9030.83
T0243553,2022/10/12,2022/10/22,"Bérubé, Sylvie",Member,To attend a constituency or community event,2022/10/12,Québec,Aupaluk,,,,,,,
T0243553,2022/10/12,2022/10/22,"Bérubé, Sylvie",Member,To attend a constituency or community event,2022/10/12,Aupaluk,Québec,,,,,,,
T0243553,2022/10/12,2022/10/22,"St-Amant, Eric",Employee,Attending event with Member,2022/10/12,Québec,Aupaluk,,,,,,,
T0243553,2022/10/12,2022/10/22,"St-Amant, Eric",Employee,Attending event with Member,2022/10/12,Aupaluk,Québec,,,,,,,
T0242964,2022/12/01,2022/12/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0242964,2022/12/01,2022/12/31,"Bérubé, Sylvie",Member,Secondary Residence,2022/12/01,Gatineau,Gatineau,,,,,,,
T0242645,2022/12/21,2022/12/22,,,,,,,260.7200,144.3800,90.1400,0.0000,0,0,495.24
T0242645,2022/12/21,2022/12/22,"Bérubé, Sylvie",Member,To attend meetings about constituency issues,2022/12/21,Val-d'Or,Matagami,,,,,,,
T0242645,2022/12/21,2022/12/22,"Bérubé, Sylvie",Member,To attend meetings about constituency issues,2022/12/22,Matagami,Val-d'Or,,,,,,,
T0244395,2023/01/01,2023/01/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0244395,2023/01/01,2023/01/31,"Bérubé, Sylvie",Member,Secondary Residence,2023/01/01,Gatineau,Gatineau,,,,,,,
T0243016,2023/01/06,2023/01/06,,,,,,,69.3200,0.0000,0.0000,0,0.0000,0,69.32
T0243016,2023/01/06,2023/01/06,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/06,Val-d'Or,Senneterre,,,,,,,
T0243016,2023/01/06,2023/01/06,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/06,Senneterre,Val-d'Or,,,,,,,
T0243388,2023/01/13,2023/01/15,,,,,,,416.9000,0.0000,0.0000,1.0000,0,0,416.90
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/13,Val-d'Or,Gatineau,,,,,,,
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/15,Val-d'Or,Gatineau,,,,,,,
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/15,Val-d'Or,Gatineau,,,,,,,
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/15,Gatineau,Val-d'Or,,,,,,,
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/15,Gatineau,Val-d'Or,,,,,,,
T0243388,2023/01/13,2023/01/15,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/15,Gatineau,Val-d'Or,,,,,,,
T0243939,2023/01/26,2023/01/26,,,,,,,155.9600,0.0000,35.1400,0.0000,0,0,191.10
T0243939,2023/01/26,2023/01/26,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/01/26,Val-d'Or,Lebel-sur-Quévillon,,,,,,,
T0243939,2023/01/26,2023/01/26,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/01/26,Lebel-sur-Quévillon,Val-d'Or,,,,,,,
T0244479,2023/01/27,2023/02/10,,,,,,,491.0000,0.0000,1359.3300,1.0000,0,0,1850.33
T0244479,2023/01/27,2023/02/10,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/01/27,Val-d'Or,Ottawa,,,,,,,
T0244479,2023/01/27,2023/02/10,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/02/10,Ottawa,Val-d'Or,,,,,,,
T0246320,2023/02/01,2023/02/28,,,,,,,0.0000,1400.0000,0.0000,0,0,0,1400.00
T0246320,2023/02/01,2023/02/28,"Bérubé, Sylvie",Member,Secondary Residence,2023/02/01,Gatineau,Gatineau,,,,,,,
T0244484,2023/02/02,2023/02/05,,,,,,,416.9000,0.0000,0.0000,1.0000,0,0,416.90
T0244484,2023/02/02,2023/02/05,,Designated Traveller,To unite the family with the Member,2023/02/02,Val-d'Or,Gatineau,,,,,,,
T0244484,2023/02/02,2023/02/05,,Designated Traveller,To unite the family with the Member,2023/02/05,Gatineau,Val-d'Or,,,,,,,
T0245151,2023/02/10,2023/02/12,,,,,,,39.0000,0.0000,0.0000,0.0000,0,0,39.00
T0245151,2023/02/10,2023/02/12,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/10,Val-d'Or,Dubuisson,,,,,,,
T0245151,2023/02/10,2023/02/12,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/10,Dubuisson,Val-d'Or,,,,,,,
T0245151,2023/02/10,2023/02/12,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/12,Val-d'Or,Vassan,,,,,,,
T0245151,2023/02/10,2023/02/12,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/12,Vassan,Val-d'Or,,,,,,,
T0245073,2023/02/11,2023/02/12,,,,,,,364.9200,103.6300,70.2800,0,0.0000,0,538.83
T0245073,2023/02/11,2023/02/12,"Perreault, Lynda",Employee,To conduct constituency office business,2023/02/11,Val-d'Or,Chapais,,,,,,,
T0245073,2023/02/11,2023/02/12,"Perreault, Lynda",Employee,To conduct constituency office business,2023/02/12,Chapais,Val-d'Or,,,,,,,
T0245154,2023/02/12,2023/02/18,,,,,,,481.9000,0.0000,499.5100,1.0000,0,0,981.41
T0245154,2023/02/12,2023/02/18,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/02/12,Val-d'Or,Ottawa,,,,,,,
T0245154,2023/02/12,2023/02/18,"Bérubé, Sylvie",Member,To travel to/from constituency and Ottawa,2023/02/18,Ottawa,Val-d'Or,,,,,,,
T0245446,2023/02/15,2023/02/18,,,,,,,416.9000,0.0000,0.0000,1.0000,0,0,416.90
T0245446,2023/02/15,2023/02/18,,Designated Traveller,To unite the family with the Member,2023/02/15,Val-d'Or,Gatineau,,,,,,,
T0245446,2023/02/15,2023/02/18,,Designated Traveller,To unite the family with the Member,2023/02/18,Gatineau,Val-d'Or,,,,,,,
T0245501,2023/02/16,2023/02/17,,,,,,,115.9600,144.3800,119.5700,0.0000,0,0,379.91
T0245501,2023/02/16,2023/02/17,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/16,Lebel-sur-Quévillon,Matagami,,,,,,,
T0245501,2023/02/16,2023/02/17,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/17,Matagami,Lebel-sur-Quévillon,,,,,,,
T0245785,2023/02/21,2023/02/21,,,,,,,64.0000,0.0000,0.0000,0,0.0000,0,64.00
T0245785,2023/02/21,2023/02/21,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/21,Val-d'Or,Senneterre,,,,,,,
T0245785,2023/02/21,2023/02/21,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/21,Senneterre,Val-d'Or,,,,,,,
T0245794,2023/02/22,2023/02/24,,,,,,,155.9600,308.8300,243.7200,0.0000,0.0000,0,708.51
T0245794,2023/02/22,2023/02/24,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/22,Lebel-sur-Quévillon,Val-d'Or,,,,,,,
T0245791,2023/02/22,2023/02/24,,,,,,,600.8400,272.7100,204.0000,0,1.0000,0,1077.55
T0245791,2023/02/22,2023/02/24,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/22,Val-d'Or,Granby,,,,,,,
T0245794,2023/02/22,2023/02/24,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/24,Val-d'Or,Lebel-sur-Quévillon,,,,,,,
T0245791,2023/02/22,2023/02/24,"Bérubé, Sylvie",Member,To conduct constituency office business,2023/02/24,Granby,Val-d'Or,,,,,,,
T0245794,2023/02/22,2023/02/24,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/22,Val-d'Or,Granby,,,,,,,
T0245794,2023/02/22,2023/02/24,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/23,Granby,Gatineau,,,,,,,
T0245794,2023/02/22,2023/02/24,"Fortier, Jenny",Employee,To conduct constituency office business,2023/02/24,Granby,Val-d'Or,,,,,,,
T0245796,2023/02/23,2023/02/23,,,,,,,105.9600,0.0000,64.3600,0,0.0000,0,170.32
T0245796,2023/02/23,2023/02/23,"Perreault, Lynda",Employee,To conduct constituency office business,2023/02/23,Val-d'Or,Rouyn-Noranda,,,,,,,
T0245830,2023/02/23,2023/02/23,,,,,,,0.0000,0.0000,64.3600,0,0.0000,0,64.36
T0245830,2023/02/23,2023/02/23,"Matte, Mélanie",Employee,To conduct constituency office business,2023/02/23,Val-d'Or,Rouyn-Noranda,,,,,,,
T0245796,2023/02/23,2023/02/23,"Perreault, Lynda",Employee,To conduct constituency office business,2023/02/23,Rouyn-Noranda,Val-d'Or,,,,,,,
T0245830,2023/02/23,2023/02/23,"Matte, Mélanie",Employee,To conduct constituency office business,2023/02/23,Rouyn-Noranda,Val-d'Or,,,,,,,
T0246164,2023/03/01,2023/03/01,,,,,,,105.9600,0.0000,49.2900,0,0.0000,0,155.25
T0246164,2023/03/01,2023/03/01,"Bérubé, Sylvie",Member,To participate in a government program initiative,2023/03/01,Val-d'Or,Rouyn-Noranda,,,,,,,
