Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0240563,2022/11/07,2022/11/11,,,,,,,5185.2800,926.2100,394.0600,0,4.0000,0,6505.55
T0240563,2022/11/07,2022/11/11,"Fergus, Hon. Greg",Member,To attend a conference,2022/11/07,Ottawa,Calgary,,,,,,,
T0240563,2022/11/07,2022/11/11,"Fergus, Hon. Greg",Member,To attend a conference,2022/11/08,Calgary,Victoria,,,,,,,
T0240563,2022/11/07,2022/11/11,"Fergus, Hon. Greg",Member,To attend a conference,2022/11/09,Victoria,Vancouver,,,,,,,
T0240563,2022/11/07,2022/11/11,"Fergus, Hon. Greg",Member,To attend a conference,2022/11/09,Vancouver,Montreal (DO NOT USE/NE PAS UTILISER),,,,,,,
T0240563,2022/11/07,2022/11/11,"Martin, Madeleine",Parliamentary Intern,Attending event with Member,2022/11/07,Ottawa,Calgary,,,,,,,
T0240563,2022/11/07,2022/11/11,"Martin, Madeleine",Parliamentary Intern,Attending event with Member,2022/11/08,Calgary,Victoria,,,,,,,
T0240563,2022/11/07,2022/11/11,"Martin, Madeleine",Parliamentary Intern,Attending event with Member,2022/11/09,Victoria,Vancouver,,,,,,,
T0240563,2022/11/07,2022/11/11,"Martin, Madeleine",Parliamentary Intern,Attending event with Member,2022/11/09,Vancouver,Montreal (DO NOT USE/NE PAS UTILISER),,,,,,,
T0243654,2022/12/15,2022/12/17,,,,,,,1594.3500,201.9100,0.0000,0,1.0000,0,1796.26
T0243654,2022/12/15,2022/12/17,"Fergus, Hon. Greg",Member,To attend an authorized funeral,2022/12/15,Ottawa,Winnipeg,,,,,,,
T0243654,2022/12/15,2022/12/17,"Fergus, Hon. Greg",Member,To attend an authorized funeral,2022/12/17,Winnipeg,Ottawa,,,,,,,
