Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0249406,2022/09/09,2022/09/10,,,,,,,656.6000,0.0000,0.0000,0.0000,0,0,656.60
T0249406,2022/09/09,2022/09/10,,Dependant,To travel to/from constituency and Ottawa,2022/09/09,Burlington,Ottawa,,,,,,,
T0249406,2022/09/09,2022/09/10,,Dependant,To travel to/from constituency and Ottawa,2022/09/10,Ottawa,Burlington,,,,,,,
T0249888,2022/11/18,2022/11/18,,,,,,,345.7900,0.0000,0.0000,0.5000,0,0,345.79
T0249888,2022/11/18,2022/11/18,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2022/11/18,Ottawa,Burlington,,,,,,,
T0242223,2022/12/09,2022/12/17,,,,,,,609.7600,851.4600,457.3700,1.0000,0,0,1918.59
T0242223,2022/12/09,2022/12/17,"Jarvis, Kaiya",Employee,To travel to/from constituency and Ottawa,2022/12/09,Burlington,Ottawa,,,,,,,
T0242223,2022/12/09,2022/12/17,"Jarvis, Kaiya",Employee,To travel to/from constituency and Ottawa,2022/12/17,Ottawa,Burlington,,,,,,,
T0242214,2022/12/13,2022/12/15,,,,,,,546.5100,417.6100,248.9300,1.0000,0,0,1213.05
T0242214,2022/12/13,2022/12/15,"Case, Madeleine",Employee,To travel to/from constituency and Ottawa,2022/12/13,Toronto,Ottawa,,,,,,,
T0242275,2022/12/13,2022/12/15,,,,,,,422.7600,417.6100,274.4200,0.5000,0,0,1114.79
T0242275,2022/12/13,2022/12/15,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2022/12/13,Burlington,Ottawa,,,,,,,
T0242194,2022/12/13,2022/12/15,,,,,,,685.9000,208.8000,248.9300,1.0000,0,0,1143.63
T0242194,2022/12/13,2022/12/15,"Suarez Zamora, Claudia",Employee,To travel to/from constituency and Ottawa,2022/12/13,Burlington,Ottawa,,,,,,,
T0242194,2022/12/13,2022/12/15,"Suarez Zamora, Claudia",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Burlington,,,,,,,
T0242214,2022/12/13,2022/12/15,"Case, Madeleine",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Toronto,,,,,,,
T0243692,2023/01/19,2023/01/19,,,,,,,912.1000,0.0000,20.3600,1.0000,0,0,932.46
T0243692,2023/01/19,2023/01/19,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/01/19,Burlington,Ottawa,,,,,,,
T0243692,2023/01/19,2023/01/19,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/01/19,Ottawa,Burlington,,,,,,,
T0245317,2023/01/23,2023/01/23,,,,,,,19.4800,0.0000,0.0000,0,0.0000,0,19.48
T0245317,2023/01/23,2023/01/23,"Case, Madeleine",Employee,Attending event with Member,2023/01/23,Burlington,Oakville,,,,,,,
T0245317,2023/01/23,2023/01/23,"Case, Madeleine",Employee,Attending event with Member,2023/01/23,Oakville,Burlington,,,,,,,
T0245248,2023/01/26,2023/01/30,,,,,,,1141.7000,0.0000,0.0000,0.5000,0,0,1141.70
T0245248,2023/01/26,2023/01/30,,Designated Traveller,To travel to/from constituency and Ottawa,2023/01/30,Ottawa,Burlington,,,,,,,
T0245241,2023/01/26,2023/01/30,,,,,,,354.9500,1265.4300,493.6600,0.5000,0,0,2114.04
T0245241,2023/01/26,2023/01/30,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/01/26,Burlington,Ottawa,,,,,,,
T0245248,2023/01/26,2023/01/30,,Dependant,To travel to/from constituency and Ottawa,2023/01/26,Burlington,Ottawa,,,,,,,
T0245248,2023/01/26,2023/01/30,,Dependant,To travel to/from constituency and Ottawa,2023/01/30,Ottawa,Burlington,,,,,,,
T0245252,2023/02/01,2023/02/02,,,,,,,444.3300,198.3100,182.9500,0.5000,0,0,825.59
T0245252,2023/02/01,2023/02/02,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/02/01,Ottawa,Burlington,,,,,,,
T0245319,2023/02/03,2023/02/03,,,,,,,20.5000,0.0000,0.0000,0,0.0000,0,20.50
T0245319,2023/02/03,2023/02/03,"Case, Madeleine",Employee,Attending event with Member,2023/02/03,Burlington,Oakville,,,,,,,
T0245319,2023/02/03,2023/02/03,"Case, Madeleine",Employee,Attending event with Member,2023/02/03,Oakville,Burlington,,,,,,,
T0245254,2023/02/06,2023/02/09,,,,,,,847.8000,657.9100,381.3400,1.0000,0,0,1887.05
T0245254,2023/02/06,2023/02/09,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/02/06,Burlington,Ottawa,,,,,,,
T0245254,2023/02/06,2023/02/09,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/02/09,Ottawa,Burlington,,,,,,,
T0247447,2023/02/13,2023/02/16,,,,,,,872.6500,657.9100,365.8900,1.0000,0,0,1896.45
T0247447,2023/02/13,2023/02/16,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/02/13,Burlington,Ottawa,,,,,,,
T0247447,2023/02/13,2023/02/16,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/02/16,Ottawa,Burlington,,,,,,,
T0247442,2023/02/16,2023/02/26,,,,,,,513.5200,0.0000,0.0000,1.0000,0,0,513.52
T0247442,2023/02/16,2023/02/26,"Jarvis, Kaiya",Employee,To travel to/from constituency and Ottawa,2023/02/16,Ottawa,Burlington,,,,,,,
T0247442,2023/02/16,2023/02/26,"Jarvis, Kaiya",Employee,To travel to/from constituency and Ottawa,2023/02/16,Burlington,Ottawa,,,,,,,
T0247479,2023/02/17,2023/02/17,,,,,,,78.9200,0.0000,0.0000,0.0000,0,0,78.92
T0247479,2023/02/17,2023/02/17,"Case, Madeleine",Employee,Attending event with Member,2023/02/17,Burlington,Toronto,,,,,,,
T0247479,2023/02/17,2023/02/17,"Case, Madeleine",Employee,Attending event with Member,2023/02/17,Toronto,Burlington,,,,,,,
T0247483,2023/02/25,2023/02/25,,,,,,,10.2400,0.0000,0.0000,0,0.0000,0,10.24
T0247483,2023/02/25,2023/02/25,"Case, Madeleine",Employee,Attending event with Member,2023/02/25,Burlington,Oakville,,,,,,,
T0247483,2023/02/25,2023/02/25,"Case, Madeleine",Employee,Attending event with Member,2023/02/25,Oakville,Burlington,,,,,,,
T0247619,2023/03/09,2023/03/10,,,,,,,631.4500,229.7900,182.9500,1.0000,0,0,1044.19
T0247619,2023/03/09,2023/03/10,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/09,Burlington,Ottawa,,,,,,,
T0247619,2023/03/09,2023/03/10,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/10,Ottawa,Burlington,,,,,,,
T0247498,2023/03/13,2023/03/13,,,,,,,33.5900,0.0000,0.0000,0,0.0000,0,33.59
T0247498,2023/03/13,2023/03/13,"Case, Madeleine",Employee,Attending event with Member,2023/03/13,Burlington,Oakville,,,,,,,
T0247498,2023/03/13,2023/03/13,"Case, Madeleine",Employee,Attending event with Member,2023/03/13,Oakville,Burlington,,,,,,,
T0248219,2023/03/20,2023/03/23,,,,,,,856.2200,710.3700,365.8900,1.0000,0,0,1932.48
T0248219,2023/03/20,2023/03/23,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/20,Burlington,Ottawa,,,,,,,
T0248219,2023/03/20,2023/03/23,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/23,Ottawa,Burlington,,,,,,,
T0248652,2023/03/27,2023/03/29,,,,,,,844.0500,446.9900,274.4200,1.0000,0,0,1565.46
T0248652,2023/03/27,2023/03/29,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/27,Burlington,Ottawa,,,,,,,
T0248652,2023/03/27,2023/03/29,"Gould, Hon. Karina",Member,To travel to/from constituency and Ottawa,2023/03/29,Ottawa,Burlington,,,,,,,
