Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0225817,2022/03/19,2022/03/25,,,,,,,798.9900,0.0000,505.5800,0.5000,0,0,1304.57
T0225817,2022/03/19,2022/03/25,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2022/03/19,Iqaluit,Ottawa,,,,,,,
T0230196,2022/04/10,2022/04/17,,,,,,,5336.0700,0.0000,0.0000,0,0,0,5336.07
T0230196,2022/04/10,2022/04/17,"Sutton-Williams, Leif",Employee,To travel to/from constituency and Ottawa,2022/04/11,Ottawa,Cambridge Bay,,,,,,,
T0230196,2022/04/10,2022/04/17,"Sutton-Williams, Leif",Employee,To conduct constituency office business,2022/04/14,Cambridge Bay,Iqaluit,,,,,,,
T0230196,2022/04/10,2022/04/17,"Sutton-Williams, Leif",Employee,To travel to/from constituency and Ottawa,2022/04/17,Iqaluit,Ottawa,,,,,,,
T0234736,2022/08/29,2022/09/02,,,,,,,2692.0600,656.2500,330.4800,1.0000,0,0,3678.79
T0234736,2022/08/29,2022/09/02,"Idlout, Lori",Member,To attend a constituency or community event,2022/08/29,Iqaluit,Clyde River,,,,,,,
T0234736,2022/08/29,2022/09/02,"Idlout, Lori",Member,To attend a constituency or community event,2022/09/02,Clyde River,Iqaluit,,,,,,,
T0240719,2022/10/16,2022/11/07,,,,,,,642.4500,0.0000,853.9300,0,0.5000,0,1496.38
T0240719,2022/10/16,2022/11/07,"Idlout, Lori",Member,To participate in a government program initiative,2022/11/07,Ottawa,St. John's,,,,,,,
T0241697,2022/11/07,2022/11/09,,,,,,,642.4500,337.8800,0.0000,0,0.5000,0,980.33
T0241697,2022/11/07,2022/11/09,"Aqqiaruq, Joyce",Employee,Attending event with Member,2022/11/07,Ottawa,St. John's,,,,,,,
T0241792,2022/11/07,2022/11/09,,,,,,,667.3700,0.0000,182.9500,0,0.5000,0,850.32
T0241792,2022/11/07,2022/11/09,"Aqqiaruq, Joyce",Employee,Attending event with Member,2022/11/09,St. John's,Ottawa,,,,,,,
T0249933,2022/11/10,2022/11/10,,,,,,,1821.3900,0.0000,0.0000,0.5000,0,0,1821.39
T0249933,2022/11/10,2022/11/10,,Designated Traveller,To travel to/from constituency and Ottawa,2022/11/10,Ottawa,Iqaluit,,,,,,,
T0241696,2022/11/14,2022/11/27,,,,,,,3607.7900,0.0000,294.5500,1.0000,0,0,3902.34
T0241696,2022/11/14,2022/11/27,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2022/11/18,Ottawa,Iqaluit,,,,,,,
T0241696,2022/11/14,2022/11/27,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2022/11/27,Iqaluit,Ottawa,,,,,,,
T0241808,2022/11/21,2022/11/25,,,,,,,1651.3900,646.1500,0.0000,0.5000,0,0,2297.54
T0241808,2022/11/21,2022/11/25,"Barnoski, Sara",Employee,To travel to/from constituency and Ottawa,2022/11/24,Iqaluit,Ottawa,,,,,,,
T0243097,2022/11/28,2022/12/23,,,,,,,0.0000,0.0000,893.9300,0.5000,0,0,893.93
T0243097,2022/11/28,2022/12/23,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2022/12/23,Ottawa,Iqaluit,,,,,,,
T0245764,2022/12/15,2023/01/11,,,,,,,4140.5600,0.0000,0.0000,1.0000,0,0,4140.56
T0245764,2022/12/15,2023/01/11,,Designated Traveller,To unite the family with the Member,2022/12/15,Iqaluit,Ottawa,,,,,,,
T0245764,2022/12/15,2023/01/11,,Designated Traveller,To unite the family with the Member,2023/01/11,Ottawa,Iqaluit,,,,,,,
T0243162,2022/12/23,2022/12/23,,,,,,,1311.2600,0.0000,0.0000,0.5000,0,0,1311.26
T0243162,2022/12/23,2022/12/23,,Designated Traveller,To unite the family with the Member,2022/12/23,Ottawa,Iqaluit,,,,,,,
T0245754,2023/01/17,2023/01/21,,,,,,,2125.1800,0.0000,203.3000,1.0000,0,0,2328.48
T0245754,2023/01/17,2023/01/21,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2023/01/17,Iqaluit,Ottawa,,,,,,,
T0245754,2023/01/17,2023/01/21,"Idlout, Lori",Member,To travel to/from constituency and Ottawa,2023/01/21,Ottawa,Iqaluit,,,,,,,
T0245463,2023/01/21,2023/01/24,,,,,,,6115.5000,1915.2400,750.3000,2.0000,0,0,8781.04
T0245463,2023/01/21,2023/01/24,"Idlout, Lori",Member,To attend a constituency or community event,2023/01/22,Iqaluit,Grise Fiord,,,,,,,
T0245463,2023/01/21,2023/01/24,"Idlout, Lori",Member,To attend a constituency or community event,2023/01/22,Grise Fiord,Arctic Bay,,,,,,,
T0245463,2023/01/21,2023/01/24,"Idlout, Lori",Member,To attend a constituency or community event,2023/01/23,Arctic Bay,Pond Inlet,,,,,,,
T0245463,2023/01/21,2023/01/24,"Idlout, Lori",Member,To attend a constituency or community event,2023/01/24,Pond Inlet,Iqaluit,,,,,,,
T0245463,2023/01/21,2023/01/24,"Bartosh, Melanie",Parliamentary Intern,To attend a constituency or community event,2023/01/22,Iqaluit,Grise Fiord,,,,,,,
T0245463,2023/01/21,2023/01/24,"Patey, Gemma",Employee,To attend a constituency or community event,2023/01/22,Iqaluit,Grise Fiord,,,,,,,
T0245463,2023/01/21,2023/01/24,"Bartosh, Melanie",Parliamentary Intern,To attend a constituency or community event,2023/01/24,Grise Fiord,Iqaluit,,,,,,,
T0245463,2023/01/21,2023/01/24,"Patey, Gemma",Employee,To attend a constituency or community event,2023/01/22,Grise Fiord,Iqaluit,,,,,,,
T0245462,2023/01/21,2023/01/25,,,,,,,8548.3000,0.0000,339.6200,1.0000,0,0,8887.92
T0245462,2023/01/21,2023/01/25,"Bartosh, Melanie",Parliamentary Intern,To travel to/from constituency and Ottawa,2023/01/21,Ottawa,Iqaluit,,,,,,,
T0245431,2023/01/21,2023/01/25,,,,,,,8548.2700,353.3700,339.6200,1.0000,0,0,9241.26
T0245431,2023/01/21,2023/01/25,"Patey, Gemma",Employee,To travel to/from constituency and Ottawa,2023/01/21,Ottawa,Iqaluit,,,,,,,
