Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0248286,2022/04/19,2022/05/26,,,,,,,190.6100,0.0000,0.0000,0.0000,0.0000,0,190.61
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,Attending event with Member,2022/04/19,Essex,Leamington,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,Attending event with Member,2022/05/25,Essex,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,Attending event with Member,2022/05/25,Windsor,Essex,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Essex,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/12,Windsor,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/12,Windsor,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,Attending event with Member,2022/05/26,Windsor,Essex,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,Attending event with Member,2022/04/19,Leamington,Essex,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/12,Essex,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/12,Windsor,Essex,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/12,Essex,Windsor,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/12,Windsor,Essex,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/24,Essex,Amherstburg,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/24,Amherstburg,Leamington,,,,,,,
T0248286,2022/04/19,2022/05/26,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/24,Leamington,Essex,,,,,,,
T0247285,2022/05/26,2022/06/25,,,,,,,0.0000,136.9900,0.0000,0,0,0,136.99
T0247285,2022/05/26,2022/06/25,"Lewis, Chris",Member,Secondary Residence,2022/05/26,Ottawa,Ottawa,,,,,,,
T0249734,2022/05/26,2022/06/25,,,,,,,0.0000,136.9900,0.0000,0,0,0,136.99
T0249734,2022/05/26,2022/06/25,"Lewis, Chris",Member,Secondary Residence,2022/05/26,Ottawa,Ottawa,,,,,,,
T0248323,2022/05/26,2022/07/02,,,,,,,84.4400,0.0000,0.0000,0,0.0000,0,84.44
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Windsor,Windsor,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/26,Windsor,Essex,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Windsor,Essex,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/26,Essex,Windsor,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend a constituency or community event,2022/05/26,Windsor,Essex,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Essex,Tecumseh,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Tecumseh,Essex,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Essex,Tecumseh,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/05/26,Tecumseh,Essex,,,,,,,
T0248323,2022/05/26,2022/07/02,"Hanratty, Steven",Employee,To represent the Member at an event,2022/05/26,Essex,Windsor,,,,,,,
T0247287,2022/06/25,2022/12/25,,,,,,,0.0000,816.9700,0.0000,0,0,0,816.97
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/08/26,Ottawa,Ottawa,,,,,,,
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/11/26,Ottawa,Ottawa,,,,,,,
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/10/26,Ottawa,Ottawa,,,,,,,
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/06/26,Ottawa,Ottawa,,,,,,,
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/09/26,Ottawa,Ottawa,,,,,,,
T0247287,2022/06/25,2022/12/25,"Lewis, Chris",Member,Secondary Residence,2022/07/26,Ottawa,Ottawa,,,,,,,
T0248341,2022/07/07,2022/07/21,,,,,,,220.0000,0.0000,0.0000,0.0000,0.0000,0,220.00
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/07,Essex,Kingsville,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,Attending event with Member,2022/07/15,Essex,LaSalle,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,Attending event with Member,2022/07/15,LaSalle,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/18,Essex,Windsor,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/18,Windsor,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,Essex,LaSalle,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,LaSalle,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,Essex,Windsor,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,Windsor,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,Essex,Windsor,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings with stakeholders about business of the House,2022/07/19,Windsor,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/07,Essex,Kingsville,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/07,Essex,Kingsville,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/07,Essex,Kingsville,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/07,Kingsville,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,Attending event with Member,2022/07/09,Essex,Amherstburg,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,Attending event with Member,2022/07/09,Amherstburg,Essex,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/15,Essex,Windsor,,,,,,,
T0248341,2022/07/07,2022/07/21,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/15,Windsor,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,,,,,,,144.6400,0.0000,0.0000,0.0000,0.0000,0,144.64
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/26,Essex,Tecumseh,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/09/02,Amherstburg,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/09/02,Essex,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To represent the Member at an event,2022/09/09,Essex,Windsor,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To represent the Member at an event,2022/09/09,Windsor,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To represent the Member at an event,2022/09/09,Windsor,Windsor,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/07/26,Tecumseh,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/26,Essex,Windsor,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To represent the Member at an event,2022/07/26,Windsor,Essex,,,,,,,
T0248359,2022/07/26,2022/09/09,"Hanratty, Steven",Employee,To attend meetings about constituency issues,2022/08/03,Essex,Essex,,,,,,,
