Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0243252,2022/09/11,2022/09/17,,,,,,,1099.8900,858.5100,0.0000,0,1.0000,0,1958.40
T0243252,2022/09/11,2022/09/17,"Longfield, Lloyd",Member,To attend a national caucus meeting,2022/09/11,Toronto,Saint John,,,,,,,
T0243254,2022/09/11,2022/09/17,,,,,,,811.3200,0.0000,0.0000,0,1.0000,0,811.32
T0243254,2022/09/11,2022/09/17,,Designated Traveller,Attending event with Member,2022/09/11,Guelph,Saint John,,,,,,,
T0243252,2022/09/11,2022/09/17,"Longfield, Lloyd",Member,To attend a national caucus meeting,2022/09/17,Saint John,Toronto,,,,,,,
T0243254,2022/09/11,2022/09/17,,Designated Traveller,Attending event with Member,2022/09/17,Saint John,Guelph,,,,,,,
T0242321,2022/12/16,2022/12/18,,,,,,,1529.6100,0.0000,0.0000,0,1.0000,0,1529.61
T0242321,2022/12/16,2022/12/18,"Longfield, Lloyd",Member,To attend an authorized funeral,2022/12/16,Guelph,Winnipeg,,,,,,,
T0242324,2022/12/16,2022/12/18,,,,,,,1177.3700,0.0000,0.0000,0,1.0000,0,1177.37
T0242324,2022/12/16,2022/12/18,,Designated Traveller,Attending event with Member,2022/12/16,Guelph,Winnipeg,,,,,,,
T0242324,2022/12/16,2022/12/18,,Designated Traveller,Attending event with Member,2022/12/18,Winnipeg,Guelph,,,,,,,
T0242321,2022/12/16,2022/12/18,"Longfield, Lloyd",Member,To attend an authorized funeral,2022/12/18,Winnipeg,Guelph,,,,,,,
T0244746,2023/01/26,2023/02/01,,,,,,,1052.6600,1316.7400,268.1200,1.0000,0,0,2637.52
T0244746,2023/01/26,2023/02/01,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/01/26,Guelph,Ottawa,,,,,,,
T0244746,2023/01/26,2023/02/01,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/02/01,Ottawa,Guelph,,,,,,,
T0245012,2023/02/06,2023/02/08,,,,,,,1047.3700,438.6100,86.5600,1.0000,0,0,1572.54
T0245012,2023/02/06,2023/02/08,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/02/06,Guelph,Ottawa,,,,,,,
T0245012,2023/02/06,2023/02/08,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/02/08,Ottawa,Guelph,,,,,,,
T0245452,2023/02/13,2023/02/15,,,,,,,1050.9300,438.6100,121.6500,1.0000,0,0,1611.19
T0245452,2023/02/13,2023/02/15,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/02/13,Guelph,Ottawa,,,,,,,
T0245452,2023/02/13,2023/02/15,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/02/15,Ottawa,Guelph,,,,,,,
T0245454,2023/02/15,2023/02/16,,,,,,,1037.9500,229.7900,162.3700,1.0000,0,0,1430.11
T0245454,2023/02/15,2023/02/16,"Cassidy, Lianne",Employee,To travel to/from constituency and Ottawa,2023/02/15,Guelph,Ottawa,,,,,,,
T0245454,2023/02/15,2023/02/16,"Cassidy, Lianne",Employee,To travel to/from constituency and Ottawa,2023/02/16,Ottawa,Guelph,,,,,,,
T0246750,2023/03/02,2023/03/03,,,,,,,445.7800,292.7500,70.8900,0.5000,0,0,809.42
T0246750,2023/03/02,2023/03/03,"Cann, Sarah",Employee,To travel to/from constituency and Ottawa,2023/03/02,Ottawa,Guelph,,,,,,,
T0246750,2023/03/02,2023/03/03,"Cann, Sarah",Employee,To travel to/from constituency and Ottawa,2023/03/03,Guelph,Ottawa,,,,,,,
T0248035,2023/03/20,2023/03/24,,,,,,,998.7100,1045.0700,91.7000,1.0000,0,0,2135.48
T0248035,2023/03/20,2023/03/24,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/03/20,Guelph,Ottawa,,,,,,,
T0248035,2023/03/20,2023/03/24,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/03/24,Ottawa,Guelph,,,,,,,
T0248703,2023/03/27,2023/03/29,,,,,,,1041.0800,438.6100,71.1200,1.0000,0,0,1550.81
T0248703,2023/03/27,2023/03/29,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/03/27,Guelph,Ottawa,,,,,,,
T0248703,2023/03/27,2023/03/29,"Longfield, Lloyd",Member,To travel to/from constituency and Ottawa,2023/03/29,Ottawa,Guelph,,,,,,,
