Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0242331,2022/11/11,2022/11/11,,,,,,,10.4500,0.0000,0.0000,0.0000,0,0,10.45
T0242331,2022/11/11,2022/11/11,"Fleury, Nathalie",Employee,Attending event with Member,2022/11/11,Québec,Québec,,,,,,,
T0242311,2022/12/13,2022/12/15,,,,,,,485.0600,462.0000,223.8800,1.0000,0,0,1170.94
T0242311,2022/12/13,2022/12/15,"Fleury, Nathalie",Employee,To travel to/from constituency and Ottawa,2022/12/13,Charlesbourg,Ottawa,,,,,,,
T0242311,2022/12/13,2022/12/15,"Fleury, Nathalie",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Charlesbourg,,,,,,,
T0242314,2022/12/14,2022/12/15,,,,,,,76.8700,231.0000,132.4100,0.5000,0,0,440.28
T0242314,2022/12/14,2022/12/15,"Lalanne, Frédérique",Employee,To travel to/from constituency and Ottawa,2022/12/14,Québec,Ottawa,,,,,,,
T0242314,2022/12/14,2022/12/15,"Lalanne, Frédérique",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Québec,,,,,,,
T0243602,2023/01/16,2023/01/16,,,,,,,274.1000,0.0000,89.2200,0,1.0000,0,363.32
T0243602,2023/01/16,2023/01/16,"Paul-Hus, Pierre",Member,To attend meetings about constituency issues,2023/01/16,Québec,Montreal,,,,,,,
T0243602,2023/01/16,2023/01/16,"Paul-Hus, Pierre",Member,To attend meetings about constituency issues,2023/01/16,Montreal,Québec,,,,,,,
T0243620,2023/01/16,2023/01/18,,,,,,,467.9000,0.0000,59.7900,0.0000,0,0,527.69
T0243620,2023/01/16,2023/01/18,"Bernard, Joel",Employee,To conduct constituency office business,2023/01/16,Gatineau,Charlesbourg,,,,,,,
T0243620,2023/01/16,2023/01/18,"Bernard, Joel",Employee,To conduct constituency office business,2023/01/18,Charlesbourg,Gatineau,,,,,,,
T0243605,2023/01/18,2023/01/18,,,,,,,143.6700,0.0000,89.2200,0,1.0000,0,232.89
T0243605,2023/01/18,2023/01/18,"Paul-Hus, Pierre",Member,To attend meetings about constituency issues,2023/01/18,Québec,Trois-Rivières,,,,,,,
T0243605,2023/01/18,2023/01/18,"Paul-Hus, Pierre",Member,To attend meetings about constituency issues,2023/01/18,Trois-Rivières,Québec,,,,,,,
T0243967,2023/01/25,2023/01/26,,,,,,,0.0000,234.2600,162.5900,0.0000,0,0,396.85
T0243967,2023/01/25,2023/01/26,"Lalanne, Frédérique",Employee,To travel to/from constituency and Ottawa,2023/01/25,Charlesbourg,Ottawa,,,,,,,
T0243964,2023/01/25,2023/01/26,,,,,,,470.7500,234.2600,162.5900,1.0000,0,0,867.60
T0243964,2023/01/25,2023/01/26,"Fleury, Nathalie",Employee,To travel to/from constituency and Ottawa,2023/01/25,Charlesbourg,Ottawa,,,,,,,
T0243964,2023/01/25,2023/01/26,"Fleury, Nathalie",Employee,To travel to/from constituency and Ottawa,2023/01/26,Ottawa,Charlesbourg,,,,,,,
T0243967,2023/01/25,2023/01/26,"Lalanne, Frédérique",Employee,To travel to/from constituency and Ottawa,2023/01/26,Ottawa,Charlesbourg,,,,,,,
T0243857,2023/01/25,2023/01/28,,,,,,,455.5700,0.0000,297.5900,1.0000,0,0,753.16
T0243857,2023/01/25,2023/01/28,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/01/25,Québec,Ottawa,,,,,,,
T0243857,2023/01/25,2023/01/28,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/01/28,Ottawa,Québec,,,,,,,
T0244417,2023/01/30,2023/02/02,,,,,,,455.5700,0.0000,310.2200,1.0000,0,0,765.79
T0244417,2023/01/30,2023/02/02,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/01/30,Québec,Ottawa,,,,,,,
T0244417,2023/01/30,2023/02/02,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/02,Ottawa,Québec,,,,,,,
200643241,2023/02/01,2023/02/28,,,,,,,0.0000,1850.0000,0.0000,0,0,0,1850.00
200643241,2023/02/01,2023/02/28,"Paul-Hus, Pierre",Member,Secondary Residence,2023/02/01,GATINEAU,GATINEAU,,,,,,,
T0245115,2023/02/05,2023/02/10,,,,,,,485.6000,175.1500,508.8400,1.0000,0,0,1169.59
T0245115,2023/02/05,2023/02/10,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/05,Québec,Ottawa,,,,,,,
T0245115,2023/02/05,2023/02/10,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/10,Ottawa,Québec,,,,,,,
T0245110,2023/02/10,2023/02/10,,,,,,,210.0100,0.0000,0.0000,0,1.0000,0,210.01
T0245110,2023/02/10,2023/02/10,"Bernard, Joel",Employee,Attending event with Member,2023/02/10,Ottawa,Montréal,,,,,,,
T0245110,2023/02/10,2023/02/10,"Bernard, Joel",Employee,Attending event with Member,2023/02/10,Montréal,Ottawa,,,,,,,
T0245995,2023/02/12,2023/02/17,,,,,,,455.5700,0.0000,467.6800,1.0000,0,0,923.25
T0245995,2023/02/12,2023/02/17,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/12,Québec,Ottawa,,,,,,,
T0245571,2023/02/12,2023/02/17,,,,,,,455.5700,0.0000,467.6800,1.0000,0,0,923.25
T0245571,2023/02/12,2023/02/17,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/12,Québec,Ottawa,,,,,,,
T0245571,2023/02/12,2023/02/17,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/17,Ottawa,Québec,,,,,,,
T0245995,2023/02/12,2023/02/17,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/02/17,Ottawa,Québec,,,,,,,
200653032,2023/03/01,2023/03/31,,,,,,,0.0000,1850.0000,0.0000,0,0,0,1850.00
200653032,2023/03/01,2023/03/31,"Paul-Hus, Pierre",Member,Secondary Residence,2023/03/01,GATINEAU,GATINEAU,,,,,,,
T0246370,2023/03/05,2023/03/10,,,,,,,455.5700,0.0000,488.2600,1.0000,0,0,943.83
T0246370,2023/03/05,2023/03/10,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/05,Québec,Ottawa,,,,,,,
T0246370,2023/03/05,2023/03/10,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/10,Ottawa,Québec,,,,,,,
T0246704,2023/03/07,2023/03/07,,,,,,,31.3600,0.0000,0.0000,0.0000,0,0,31.36
T0246704,2023/03/07,2023/03/07,"Fleury, Nathalie",Employee,To represent the Member at an event,2023/03/07,Charlesbourg,Québec,,,,,,,
T0247770,2023/03/12,2023/03/24,,,,,,,616.7900,0.0000,488.2600,1.0000,0,0,1105.05
T0247770,2023/03/12,2023/03/24,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/12,Québec,Ottawa,,,,,,,
T0247770,2023/03/12,2023/03/24,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/24,Ottawa,Québec,,,,,,,
T0247958,2023/03/26,2023/03/30,,,,,,,455.5700,0.0000,437.7200,1.0000,0,0,893.29
T0247958,2023/03/26,2023/03/30,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/26,Québec,Ottawa,,,,,,,
T0247958,2023/03/26,2023/03/30,"Paul-Hus, Pierre",Member,To travel to/from constituency and Ottawa,2023/03/30,Ottawa,Québec,,,,,,,
