Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0242146,2022/11/24,2022/12/15,,,,,,,28.2400,321.2700,147.8600,0.0000,0,0,497.37
T0242146,2022/11/24,2022/12/15,"Depatie, Philippe L",Employee,To attend a constituency or community event,2022/11/24,Trois-Rivières,Trois-Rivières,,,,,,,
T0242146,2022/11/24,2022/12/15,"Depatie, Philippe L",Employee,To attend a constituency or community event,2022/12/02,Trois-Rivières,Trois-Rivières,,,,,,,
T0242146,2022/11/24,2022/12/15,"Depatie, Philippe L",Employee,To travel to/from constituency and Ottawa,2022/12/13,Trois-Rivières,Ottawa,,,,,,,
T0242146,2022/11/24,2022/12/15,"Depatie, Philippe L",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0242592,2022/12/07,2022/12/15,,,,,,,438.6400,321.2700,213.8400,1.0000,0.0000,0,973.75
T0242592,2022/12/07,2022/12/15,"Gélinas, Dominique",Employee,To travel to/from constituency and Ottawa,2022/12/13,Trois-Rivières,Ottawa,,,,,,,
T0242592,2022/12/07,2022/12/15,"Gélinas, Dominique",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0242592,2022/12/07,2022/12/15,"Gélinas, Dominique",Employee,To attend a constituency or community event,2022/12/07,Trois-Rivières,Shawinigan,,,,,,,
T0242592,2022/12/07,2022/12/15,"Gélinas, Dominique",Employee,To attend a constituency or community event,2022/12/07,Shawinigan,Trois-Rivières,,,,,,,
T0242592,2022/12/07,2022/12/15,"Gélinas, Dominique",Employee,To attend a constituency or community event,2022/12/07,Trois-Rivières,Trois-Rivières,,,,,,,
T0242466,2022/12/12,2022/12/21,,,,,,,188.4300,0.0000,0.0000,0.5000,0,0,188.43
T0242466,2022/12/12,2022/12/21,"Villemure, René",Member,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0242127,2022/12/13,2022/12/15,,,,,,,343.5400,326.3700,213.8400,1.0000,0,0,883.75
T0242127,2022/12/13,2022/12/15,"Laurin, Josée",Employee,To travel to/from constituency and Ottawa,2022/12/13,Trois-Rivières,Ottawa,,,,,,,
T0242139,2022/12/13,2022/12/15,,,,,,,377.6600,353.3200,213.8400,1.0000,0,0,944.82
T0242139,2022/12/13,2022/12/15,"Brosseau, Julie",Employee,To travel to/from constituency and Ottawa,2022/12/13,Trois-Rivières,Ottawa,,,,,,,
T0242139,2022/12/13,2022/12/15,"Brosseau, Julie",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0242127,2022/12/13,2022/12/15,"Laurin, Josée",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0242607,2022/12/14,2022/12/15,,,,,,,370.0700,163.1800,127.5000,1.0000,0,0,660.75
T0242607,2022/12/14,2022/12/15,"Fleurent, Maverick",Employee,To travel to/from constituency and Ottawa,2022/12/14,Trois-Rivières,Ottawa,,,,,,,
T0242607,2022/12/14,2022/12/15,"Fleurent, Maverick",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,,,,,,,17.9800,0.0000,0.0000,0.0000,0,0,17.98
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/01/01,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend meetings about constituency issues,2023/02/22,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/01/01,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/01/18,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/01/18,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a conference,2023/01/21,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a conference,2023/01/21,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/02/11,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend a constituency or community event,2023/02/11,Trois-Rivières,Trois-Rivières,,,,,,,
T0246022,2023/01/01,2023/02/27,"Villemure, René",Member,To attend meetings about constituency issues,2023/02/22,Trois-Rivières,Trois-Rivières,,,,,,,
T0243223,2023/01/08,2023/01/11,,,,,,,319.9100,0.0000,320.7600,1.0000,0,0,640.67
T0243223,2023/01/08,2023/01/11,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/01/08,Trois-Rivières,Ottawa,,,,,,,
T0243223,2023/01/08,2023/01/11,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/01/11,Ottawa,Trois-Rivières,,,,,,,
T0243929,2023/01/16,2023/01/17,,,,,,,319.9100,175.1500,34.9200,1.0000,0,0,529.98
T0243929,2023/01/16,2023/01/17,"Lamontagne, Marie-Christine",Employee,To travel to/from constituency and Ottawa,2023/01/16,Ottawa,Trois-Rivières,,,,,,,
T0243929,2023/01/16,2023/01/17,"Lamontagne, Marie-Christine",Employee,To travel to/from constituency and Ottawa,2023/01/17,Trois-Rivières,Ottawa,,,,,,,
T0246028,2023/01/23,2023/02/27,,,,,,,1126.0800,0.0000,320.8700,2.5000,0.5000,0,1446.95
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/01/23,Trois-Rivières,Ottawa,,,,,,,
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/02/10,Ottawa,Trois-Rivières,,,,,,,
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To attend an event as a matter of protocol,2023/01/26,Ottawa,Toronto,,,,,,,
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/02/12,Trois-Rivières,Ottawa,,,,,,,
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/02/18,Ottawa,Trois-Rivières,,,,,,,
T0246028,2023/01/23,2023/02/27,"Villemure, René",Member,To travel to/from constituency and Ottawa,2023/02/23,Trois-Rivières,Ottawa,,,,,,,
200643280,2023/02/01,2023/02/28,,,,,,,0.0000,2250.0000,0.0000,0,0,0,2250.00
200643280,2023/02/01,2023/02/28,"Villemure, René",Member,Secondary Residence,2023/02/01,GATINEAU,GATINEAU,,,,,,,
T0246065,2023/02/09,2023/02/22,,,,,,,26.5600,0.0000,0.0000,0.0000,0,0,26.56
T0246065,2023/02/09,2023/02/22,"Depatie, Philippe L",Employee,To attend a constituency or community event,2023/02/09,Trois-Rivières,Trois-Rivières,,,,,,,
T0246065,2023/02/09,2023/02/22,"Depatie, Philippe L",Employee,To attend a constituency or community event,2023/02/22,Trois-Rivières,Trois-Rivières,,,,,,,
T0246012,2023/02/22,2023/02/23,,,,,,,141.9600,146.3500,104.2800,0,1.0000,0,392.59
T0246012,2023/02/22,2023/02/23,"Gélinas, Dominique",Employee,To attend a conference,2023/02/22,Trois-Rivières,Granby,,,,,,,
T0246012,2023/02/22,2023/02/23,"Gélinas, Dominique",Employee,To attend a conference,2023/02/23,Granby,Trois-Rivières,,,,,,,
T0246012,2023/02/22,2023/02/23,"Villemure, René",Member,To attend a conference,2023/02/23,Granby,Trois-Rivières,,,,,,,
T0247629,2023/02/22,2023/03/31,,,,,,,70.6000,0.0000,0.0000,0.0000,0.0000,0,70.60
T0247629,2023/02/22,2023/03/31,"Brosseau, Julie",Employee,To attend meetings about constituency issues,2023/02/22,Trois-Rivières,Trois-Rivières,,,,,,,
T0247629,2023/02/22,2023/03/31,"Brosseau, Julie",Employee,To represent the Member at an event,2023/03/09,Trois-Rivières,Trois-Rivières,,,,,,,
T0247629,2023/02/22,2023/03/31,"Brosseau, Julie",Employee,To conduct constituency office business,2023/03/11,Trois-Rivières,Trois-Rivières,,,,,,,
T0247629,2023/02/22,2023/03/31,"Brosseau, Julie",Employee,To conduct constituency office business,2023/03/11,Trois-Rivières,Trois-Rivières,,,,,,,
T0247629,2023/02/22,2023/03/31,"Brosseau, Julie",Employee,Attending event with Member,2023/03/11,Trois-Rivières,Trois-Rivières,,,,,,,
